GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",3608585,3841561,4013704,4227000,4331972,4324914,4454484,4503309,4367845,4455100,4263536,4351469,4494659,4535265,4733968,4949843
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",450438,492657,518163,505317,505106,537163,572401,621025,589951,609071,599736,606204,612871,644658,652888,687982
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",38840,36564,36239,42255,43330,41574,36595,41162,43783,58519,56927,50738,54008,60642,60552,66682
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",26126,39982,46281,40907,41112,59009,78110,83663,70700,55914,50893,56008,63392,64787,60161,57014
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",2898,1799,1813,1806,1529,1337,2050,2259,1777,2481,3210,1869,2012,3024,2510,2421
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",12709,20362,24919,20903,13536,16982,16259,18757,24537,23638,27595,24293,26320,27908,31463,35645
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",19383,19848,22869,25205,26200,27250,31220,28301,32947,29047,28798,42285,45388,47946,48726,59343
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",103969,119967,118193,117501,112943,116913,129555,143668,146007,150762,141785,151541,154565,156355,162119,172155
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",80770,73423,75947,72577,72387,76688,84693,90478,78331,77904,76498,66499,66319,67245,80039,77224
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",9139,9978,10763,9433,8467,9586,7249,9533,9137,10007,9034,7884,8002,7559,8197,9366
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",20374,18434,19828,22202,24811,31763,33031,36083,30870,37078,35268,30145,28035,31408,33177,33304
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",4779,4883,3193,3505,8576,7969,6582,6290,4746,5857,7228,6731,8595,11190,9089,8378
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",42780,50764,51129,46737,49170,45636,43451,49276,41428,52897,56864,52947,52301,63288,57115,59911
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",4448,4496,5198,6047,6744,7232,9585,10258,11146,11723,12443,13794,14457,14565,15419,15497
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",57141,63738,68205,62336,62636,59817,56157,59108,54402,51089,48001,55151,44850,47834,43489,49176
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1156,1029,984,1157,845,1007,1162,938,463,431,649,559,359,683,683,669
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",9165,8585,9514,11193,11668,12334,11800,15546,14392,15624,16066,15282,15400,12651,12690,13504
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",16761,18805,23086,21551,21151,22067,24901,25706,25286,26101,28475,30478,28869,27574,27459,27693
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",2926846,3109856,3252066,3466601,3559414,3515590,3596907,3594199,3493592,3577356,3389926,3436404,3583735,3578635,3749981,3925713
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",49096,50681,49895,53102,51645,59750,66714,56095,51730,38474,31588,34813,32698,33093,36792,39628
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",1206,1240,1327,1273,1293,1691,2077,1662,1866,1683,1592,1534,1549,1726,1986,2520
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",4069,3517,3549,3839,4054,5765,5700,6464,6751,6456,6739,7391,7639,7854,7973,8940
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1199756,1253778,1257421,1236825,1195525,1173667,1165468,1164769,1176511,1213201,1187452,1220677,1249219,1259705,1272140,1297815
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",1027,830,810,830,866,1112,1388,2413,10339,12219,14804,22684,10233,10820,11238,11863
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",230018,309825,302698,332785,336527,289231,308113,295194,263112,252631,261060,249918,239880,215887,217551,216171
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",72218,88448,79984,85484,64942,63339,68001,76607,95894,97479,89514,89850,93678,92148,102285,119102
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",8092,9236,8786,13402,11986,21007,28991,29844,50434,59481,59903,79101,88999,100542,135861,170695
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",487353,534086,599981,742388,878488,846838,913831,939582,823416,864549,802761,822262,939642,958235,1001506,1048153
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",17704,8597,11489,17262,21200,36711,28527,34910,29378,32332,31916,29170,24908,27989,38122,39978
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",2828,3652,4307,4588,5643,5218,3885,4866,4252,6172,9375,8284,8041,10939,9136,9868
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",199018,178886,185720,196578,209786,217869,233742,225568,198057,195932,172335,164726,160689,159416,154143,155277
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",1459,1971,1914,1828,1569,1523,1891,2314,1932,2307,1741,1036,920,540,518,645
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",15187,21949,19047,16848,17979,19105,27245,23416,18912,17198,15816,14241,11072,10838,14667,13445
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",275,380,410,495,527,486,731,772,602,751,1183,32,26,64,15,13
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",71756,73661,80320,84126,74825,75894,69553,69718,60269,51577,45709,40473,46164,44935,48221,53669
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",128626,164225,170566,183744,180478,179237,128251,132617,194331,183780,101092,85089,92447,92004,116233,104890
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",113586,112950,176823,191404,204478,218404,248468,235269,201508,226096,236975,255786,266611,259251,277476,288268
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",323573,291943,297021,299799,297604,298742,294333,292119,304298,315039,318371,309338,309320,292647,304117,344776
 "21000","Kentucky",5,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",231301,239047,243475,255082,267451,272161,285175,288085,284303,268672,273874,308861,298053,311972,331099,336147
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
