GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",13914087,14242842,14341007,15253364,15866480,16413659,17714977,18572007,17380622,18654695,19067156,19540550,19729400,19715212,21150203,22215123
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",3074607,3004275,2984373,3131823,3206774,3547795,3836661,4012882,3561073,3580086,3827343,3916521,3984047,4301296,4390954,4624940
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",311565,262388,265627,311103,312495,363035,312511,296363,317090,441580,424026,409325,396209,488218,418754,489762
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",77458,135962,148585,145981,160264,196192,264063,268694,213997,173772,173446,217557,248859,272445,280432,297676
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",4194,4685,5587,7378,10563,8618,14273,17477,13141,11751,13742,12935,17738,19031,19363,23140
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",118023,99023,114486,116930,120608,120903,116977,185097,150239,140314,247446,200046,178785,273243,289023,262500
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",141761,144893,166196,166807,176908,195240,215020,197412,212878,176605,174477,195846,223094,231388,215699,232930
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",589865,564708,575436,625605,634949,678175,757811,773962,659219,594123,646273,772624,779877,815998,829925,856149
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",761487,737240,680020,624444,633336,663469,764327,813397,710413,687453,728008,668373,690480,719210,784720,789870
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",47088,48873,49556,59180,62548,69720,77732,83987,85921,89497,97094,94402,90627,109979,109986,119388
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",111943,117088,109295,123992,132849,237410,274561,293911,185281,176720,184143,173426,173443,183499,189791,195911
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",39091,39865,42818,46465,52426,55062,47991,51142,36235,44737,46936,41524,41819,37017,36830,33152
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",285046,236010,214774,217451,222571,210768,203970,225022,157326,193798,191248,168105,156971,169063,171955,182786
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",47082,39662,44346,51030,58342,75578,92943,99613,105189,115574,130773,157482,166856,170078,191279,202200
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",195775,204346,189353,166393,156913,147637,148820,156465,135801,129578,131781,168312,181577,190665,188443,186999
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",16413,12225,12900,19781,17404,14368,13609,8992,4429,7423,12696,13649,12154,20033,22607,24388
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",80854,79894,89601,104482,103903,102052,99225,136168,132860,143600,148972,138392,139582,149701,164087,176928
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",246961,277413,275792,344801,350696,409571,432830,405181,441054,453560,476283,484521,485979,451727,478060,551161
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",10293226,10682074,10802297,11540835,12065436,12254384,13231229,13903493,13168736,14462130,14620375,14927101,15066014,14707420,15997879,16816501
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",137958,140801,128752,133372,124179,135542,146101,114635,102727,69877,57474,73807,72904,78193,91224,93476
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",5923,6782,7283,7339,7995,10327,12582,10318,12093,11624,11819,12482,13445,14880,16037,17192
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",12596,11405,12262,13273,13959,20044,19351,23729,24277,23324,25153,28545,29646,31938,32482,37210
 "25000","Massachusetts",1,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",2129644,2082551,1967092,2039846,1974831,1976057,1958032,1937600,1949754,2019386,2068319,2162363,2275862,2376837,2471962,2555992
