GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",7527874,8284824,8633869,9245750,9244192,9195078,9686546,9727505,9281401,9680727,9599577,9757092,10100045,10171598,10987497,11135376
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1556043,1651583,1726008,1746202,1781064,1801064,1814077,1924274,1767120,1893881,1972597,2075926,2039962,2151746,2189153,2145597
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",104498,108272,103125,128395,137158,134644,122836,136527,150406,220315,203624,224519,203154,243534,241511,255881
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",84231,107813,122296,113454,109190,102072,97920,111002,90219,80130,98376,121415,120988,112284,133410,133591
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",6261,5924,5877,7406,7525,8915,8472,9700,11326,6869,10851,19347,17500,7459,7329,7045
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",74995,85179,98217,91127,83639,87793,77861,70858,77556,84490,107715,122002,115043,125860,141967,146415
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",44244,46160,48932,51024,57210,62038,59761,52167,57926,44580,44162,49520,54032,53211,51810,57683
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",285121,310777,313895,310469,291867,297097,319454,328792,314201,322524,318488,347526,296088,297886,295772,296678
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",268563,283551,291262,297575,314109,334317,356844,385456,336603,302988,309980,283315,289352,321132,344885,347232
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",56120,50515,47296,47911,48094,54055,50190,50207,45155,73687,62655,66121,49573,50591,63465,61992
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",93865,108658,114167,126664,151437,163142,166227,167371,128545,155630,173808,164031,197775,168320,156204,171658
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",23685,21272,19260,16551,13064,15485,15666,12334,8870,10006,14581,13177,16037,16855,18817,19161
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",160798,143001,149980,149652,157972,158320,152810,170855,130634,168913,168223,156165,159774,175617,150505,151811
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",43910,47161,51455,56540,59734,63613,71783,76117,77053,83396,89903,100775,95999,99748,100546,103049
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",229023,231973,239038,214578,197591,182664,178897,203005,184284,188379,201108,240311,262962,299908,313524,204381
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",6655,6048,4645,8506,10137,10600,7719,5931,5802,5900,7055,5721,3631,4839,6561,5855
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",28130,28755,31713,39385,42624,43590,44272,59749,58791,64020,66243,58968,59292,63640,71372,83927
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",45945,66524,84851,86967,99713,82720,83366,84203,89749,82056,95827,103012,98762,110862,91475,99238
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",5652405,6297706,6564477,7139659,7084560,7002116,7462750,7386916,7096417,7394714,7217316,7219504,7615264,7557858,8311746,8494111
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",88277,82275,88041,98767,85076,103369,114868,92564,85972,64643,54327,68354,70532,70850,77101,112329
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",8071,9730,11455,9966,10127,12915,15141,12176,13976,12993,13089,13227,14517,15855,16794,19955
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",19640,18275,19445,21120,22854,32668,29162,37522,41200,40823,44146,50339,54252,57213,56709,63998
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1916431,2021306,1990602,1969974,1899749,1787683,1730766,1821989,1879419,1887384,1988302,1979656,2047804,2119202,2142104,2156770
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",2730,2035,2144,2682,2636,2829,5474,5226,5130,5521,7439,7458,8599,10289,10632,10806
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",539722,682563,717602,831682,850209,791936,927196,862011,787542,742555,809577,828341,806570,787226,845621,1000118
 "24000","Maryland",2,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",208588,244223,268184,317168,303905,306421,351512,358664,358263,422094,403789,388231,387809,315223,357543,371351
