GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",1334162,1419288,1485615,1605223,1551112,1517677,1508097,1552911,1469621,1475975,1463167,1415983,1421979,1401085,1473614,1520018
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",236034,260425,254832,266365,278306,277566,261831,284259,278449,278952,276925,275405,288792,309874,317819,337527
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",19870,21731,17355,20975,20765,20407,18406,21025,37414,46554,42116,30242,29506,29060,29325,41794
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",3753,6295,6877,8150,8048,9603,9224,8657,9099,7859,8094,8962,9896,13641,16574,18638
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1048,1583,2004,1749,1460,1321,1491,1426,1655,1349,1617,1315,1391,1259,1182,1679
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",31196,41603,40013,41470,58634,47653,34332,38509,36006,35496,39290,41373,50330,60571,54977,57931
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",9010,9658,10133,10373,11822,12886,14285,13366,14898,12487,12246,13842,15274,15530,15433,17954
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",42395,51356,49545,54405,49059,50458,47885,52246,47584,48651,49479,58342,64825,61519,57278,51328
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",44986,46952,46366,45798,46115,49948,54387,59941,51868,48752,45906,43191,41137,42685,45226,49513
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",3282,3511,3653,3803,3948,4497,4705,6361,6810,6770,6526,5314,5629,6085,6861,5755
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",5349,6077,7300,8177,8619,11931,13734,16825,11908,9705,7714,7171,7247,12415,17261,16964
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",5984,5970,4835,5076,3547,3700,3311,3164,2436,3203,4199,4407,3644,3048,3064,3073
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",12958,8981,9257,8341,9290,10073,8544,7676,5539,6086,6307,6269,6406,8063,9688,11769
 "23000","Maine",1,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",2111,1948,1883,2113,2396,2794,3232,3626,3799,3809,4126,5556,5545,6457,7924,8143
