GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",8514711,8990721,8928492,9476818,9394519,9423409,9940059,10190884,9873429,10246881,10292127,10349704,10713890,11224658,11600720,12064301
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",2011683,2081214,1959433,2000905,1996057,2047215,2080083,2218350,2069543,2164165,2239723,2198091,2132177,2355468,2415044,2490460
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",220712,248190,207103,249092,236536,224842,203084,215001,241667,311978,317971,276219,230274,287157,283196,305431
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",33040,59996,64354,51784,54464,70662,88691,92113,71488,62324,62529,75932,85832,96045,93002,97617
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",80445,75414,5558,5929,6137,7752,9323,9217,10141,12457,16235,17758,20341,21379,21156,23079
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",79569,80270,77601,74918,79025,78347,74261,85792,85106,87456,83544,81785,88600,89723,88573,75395
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",65502,65504,69608,68541,74332,82833,91260,82417,94131,77449,77190,84679,89511,92978,89257,94691
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",491224,509161,507712,525964,527650,534117,543090,568120,552150,577513,611782,695451,682397,762553,782956,793237
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",346615,306416,300660,296593,299567,322243,351840,376044,295239,283032,307383,284995,262593,281603,323886,356975
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",25021,24184,21666,23672,21903,21987,19323,19813,16020,13665,13576,11622,11601,12744,13023,14266
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",53579,60550,60946,66791,67234,77625,80038,79270,52251,65780,67209,58824,66650,76265,80419,81249
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",8897,9812,10107,7996,7828,6731,7284,9376,8182,13506,16723,10524,10207,12388,13362,12917
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",185680,178925,170636,167241,160608,163299,152079,161686,127472,166061,158643,144241,143259,153803,159619,167198
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",25810,23898,25442,26917,30149,33285,41071,42610,41579,46394,55094,64372,65953,66717,69313,69383
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",309180,344913,331606,308868,292346,287526,275362,319456,316476,284569,285185,241388,228170,248832,243071,236688
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",2474,2170,1990,1892,1944,1780,2563,2277,1718,2342,2853,3399,4193,6346,7104,8116
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",51754,49067,52333,61415,65219,66537,62021,79543,77216,84793,87525,77625,74912,76770,80690,81817
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",32181,42744,52109,63291,71115,67651,78791,75615,78706,74850,76280,69279,67686,70162,66417,72402
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",6107498,6493774,6543872,7036846,6944448,6911980,7361929,7460968,7296616,7607793,7577579,7611410,8053744,8330721,8601935,8978873
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",79709,83276,79685,84851,83589,115407,113233,89959,86151,64041,56588,68010,70522,69296,73577,81599
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",6398,6964,6831,6406,7019,8756,9067,7390,8236,8259,8347,8321,8736,11041,12403,13732
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",10013,9304,9608,10556,11243,16066,15040,17020,18492,18138,19666,21257,20940,22081,22728,25282
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1985623,2100336,2032922,1992050,1875478,1778019,1698217,1785564,1797213,1835281,1852022,1821013,1888699,1949232,2009322,2101097
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",2114,1442,3678,4205,1766,3890,1192,1608,1369,1522,1725,1997,2475,3500,3848,3422
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",1097428,1359811,1484528,1664727,1778376,1592210,1914348,1924741,1848921,1900961,2007873,1934339,1947541,1827951,1887371,1811243
 "27000","Minnesota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",262722,267599,264313,282416,210945,196916,208345,227745,239374,263734,270911,276059,269304,256347,263330,279991
