GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",7373351,8041243,8118707,8567935,8628454,8752384,10859301,10979186,10269387,10307221,10155535,10648505,10546079,9017178,9597592,9900085
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1614142,1658603,1676922,1705844,1705324,1732560,1793909,1942395,1795479,1815129,1796688,1911315,1911715,2006489,2054766,2155473
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",242060,218115,193692,213004,215222,198628,187547,198715,227127,274953,267122,253411,241061,246801,241118,269483
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",71700,95458,112190,109818,110292,129693,136894,169044,153410,130935,127532,165518,184260,195530,181972,172959
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",6820,8489,9591,11879,9883,12362,7945,7721,7202,8174,7747,13863,12957,9212,4147,4847
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",58436,60330,63891,67239,79451,68345,70423,61474,54015,49729,49916,51743,55809,63585,62447,71567
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",45252,48390,52706,60392,63449,74526,87491,80399,88475,68088,65591,75577,79286,82449,83952,90288
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",319971,356444,353436,362994,343478,348785,355257,383863,348809,382104,378123,418749,424227,462410,480928,500245
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",292198,299247,302394,300296,302696,318099,370728,410873,341710,306850,300609,280890,288470,295966,330902,346854
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",19537,18016,14917,14973,15136,20824,21413,21992,20695,21728,16071,16275,17798,18999,21773,28230
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",31534,31592,31718,34929,57785,75087,76421,100504,61538,58344,50909,54716,55440,63481,66938,72620
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",7969,15431,13349,15458,8771,6330,6762,7100,5848,8576,10894,9569,8840,11851,10487,10657
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",119570,118017,119867,121770,122128,122203,114131,112878,106016,121621,129263,118675,125182,135260,154523,169916
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",13986,12774,13587,14299,15600,17194,20614,22562,21682,23370,26468,33343,34549,35919,39346,40425
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",306042,300987,316990,291564,275053,247315,239021,266996,258707,256704,254044,300610,268850,274421,262030,261838
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",4416,2956,2483,2109,2012,2484,3579,3291,2695,4150,4992,3510,3499,3933,3407,3476
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",20289,21025,21884,26605,25472,23886,22264,26604,25525,29845,29224,29758,32700,36316,38975,41821
 "29000","Missouri",4,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",54364,51333,54227,58518,58895,66796,73420,68381,72024,69958,78182,85107,78787,70355,71822,70247
