GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",999653,1074504,1086290,1144270,1168899,1167152,1226082,1246471,1215755,1312284,1309092,1307850,1354497,1335515,1428857,1517890
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",112561,127342,139715,147976,159272,178662,189241,205082,187186,178737,184649,189096,199776,224229,233750,249895
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",10170,10020,9290,12203,13252,13164,11930,22577,29083,25027,25787,24433,21102,28185,24665,25580
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",3389,7499,10825,10255,9084,11678,10089,8834,5927,4456,4848,6442,7335,7298,8358,7544
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",26,21,33,57,58,95,89,202,172,234,199,215,272,315,236,402
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",16276,15874,18279,17490,20727,25894,28557,27260,27664,26286,26162,29533,39990,41195,43095,47769
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",4249,4455,4970,5493,5784,6432,7694,7256,8576,7504,7815,8770,9622,10473,10339,11678
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",8277,10287,11184,13040,13753,14318,16909,19691,18708,20642,22201,25497,27502,28584,30335,31015
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",32924,35508,39559,43102,47875,55160,61241,62213,50423,49718,52221,48046,46518,50557,55990,59805
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",6264,7063,5933,5550,5482,6041,5608,6167,4704,4290,3953,3310,3439,4356,5401,6037
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",4853,6647,9481,9877,13261,15364,17167,18506,13081,11785,9609,9203,9247,15097,17937,20585
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",601,713,556,780,436,1041,1119,1432,1226,702,1061,962,1201,1996,2131,2123
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",5136,6125,5836,6491,6945,7667,6478,6767,5592,7889,9262,8283,8536,9881,9255,10174
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",1196,1403,1628,1538,1867,2215,2782,2959,3025,3001,3295,3670,3873,4248,4629,4951
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",15129,16997,16432,15554,14559,12912,12531,13559,12391,10497,10721,12987,12143,13556,12826,12727
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",39,34,38,1382,1304,1185,1208,971,597,532,814,803,270,260,275,268
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",1933,2270,2751,1695,1730,1775,1893,3013,2348,2730,2928,2681,4532,3923,4012,4872
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",2100,2427,2918,3469,3155,3722,3945,3674,3669,3445,3773,4259,4195,4307,4264,4365
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",848014,905599,903874,950835,961073,937066,980775,983825,970650,1078807,1069026,1055671,1091735,1041390,1122213,1194013
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",7937,9354,8349,9420,10214,19043,25632,17569,15073,10353,8059,9586,9284,10098,13034,11306
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",642,720,785,804,919,1070,1350,1067,1231,935,926,982,1091,1162,1410,1611
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",1026,911,940,1086,1146,1561,1452,1540,1604,1697,1904,2169,2188,2187,2208,2595
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",480565,490162,473952,458725,425848,391114,357534,384036,376504,395170,409956,408574,400144,411031,421402,440198
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",535,229,196,252,434,432,487,489,595,656,795,1051,740,780,783,703
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",44908,57973,66820,74927,79221,73922,83594,82159,74523,72867,74105,70347,67506,62293,75359,79232
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",20350,23934,24277,28664,25058,23915,33443,35820,39935,46554,47748,49966,53160,52343,63196,70266
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",702,989,764,1052,990,1355,765,956,1406,1365,1476,1820,2208,1810,1550,1561
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",129996,139611,156528,183421,216875,224266,258874,262116,264655,321020,291343,284388,325141,315473,364701,380558
 "30000","Montana",7,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",3268,4597,5572,7651,8249,8904,5281,5898,6570,7079,8136,8847,7949,6711,5911,5589
