GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",703011,780529,813922,860374,871252,876589,918227,935846,980656,1037885,1104411,1251249,1298004,1301494,1385629,1437434
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",75337,84284,86428,89302,88877,91657,94244,100372,98512,94950,98473,109884,119066,130575,137466,136824
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",5096,4746,4584,6329,6067,4854,4524,5073,5393,6978,7279,6906,7397,8058,7628,8574
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",2954,6187,9136,9312,8396,8652,8757,10916,11569,9023,9064,10434,12116,12349,11660,12601
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",78,20,17,29,29,30,18,31,13,19,48,20,42,20,177,23
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",3989,4080,4215,4060,5042,5757,6060,6751,7520,6730,5420,5118,5665,6305,8941,9542
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",3496,3951,4339,4805,4930,4969,3804,3468,4004,3098,2995,3620,4189,4629,4296,4144
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",15009,18267,18600,20554,20376,21533,23275,23248,23204,24103,24813,27700,30390,30774,32290,32210
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",13887,14007,13827,14408,14094,14531,15717,17326,16250,15782,18303,20402,21706,26660,29709,28271
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",1149,1188,1065,1087,514,547,416,636,1243,358,675,642,694,850,806,761
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",290,194,424,965,1766,3017,4072,3987,2111,1600,2216,2096,3123,3597,4128,3267
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",113,205,255,263,220,409,456,456,320,383,1149,1079,852,831,1006,1089
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",1260,1556,2043,2432,3037,2627,2647,3215,2816,3275,3497,3455,3853,5232,6861,6454
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",930,916,1089,1427,1762,2023,2407,2675,2165,2080,2243,2947,2958,3694,3390,3404
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",23031,24074,21439,17781,17112,16557,16278,16584,15811,15249,14314,18922,18486,19659,17886,17157
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",0,0,0,0,0,0,0,0,3,10,19,13,639,561,579,535
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",1210,1195,1644,2035,1960,2153,1874,2083,2172,2662,2639,2634,2810,3213,3796,4534
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",2847,3698,3751,3816,3572,3998,3938,3924,3917,3599,3796,3897,4146,4144,4313,4258
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",592037,658040,687905,728668,737567,738150,772965,782333,827060,887819,946462,1069219,1107206,1092645,1168561,1224586
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",7197,6130,11478,11215,10207,11810,10515,10310,10897,9309,9482,16442,21550,33521,36699,30941
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",226,271,318,326,401,510,603,499,642,610,621,655,757,832,893,1020
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",584,543,546,595,642,880,757,866,892,872,938,1089,1175,1206,1180,1350
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",259311,272705,263965,255165,253055,243046,216594,232581,242192,258042,274301,291188,307752,325300,346307,361896
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",826,606,617,623,891,839,941,1002,967,772,687,714,439,417,438,385
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",95170,135465,155539,180004,176785,180597,215135,194477,205384,206862,213587,225443,217830,207184,204385,231755
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",8532,8911,10784,12253,11954,11816,14264,15617,17728,19291,19609,20988,22797,22392,24642,24351
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",1,0,0,137,109,157,581,679,886,815,714,429,398,0,0,0
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",92859,95893,100323,132046,147656,157370,182526,188197,195588,200549,203022,248568,270570,256205,275854,295804
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",972,1593,2450,3166,3067,3359,2910,4142,3515,3353,3101,2321,2406,2941,2599,1835
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",2951,2392,2655,3271,2980,3228,3699,3905,4520,5040,4867,4898,3423,3680,3683,4379
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",9481,9172,8699,8982,8892,8999,9560,9613,9171,10168,10501,10620,11403,11539,10985,11015
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",122,125,91,85,81,57,87,131,151,126,12,1,0,1,0,0
 "38000","North Dakota",4,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",1805,2708,2146,3053,3785,4367,7190,6301,5275,5034,5215,5443,5382,5830,6933,5772
