GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",15843631,17476895,18300910,19708029,19112225,19519588,20350599,21042050,19638179,20329427,20570399,20951116,20352605,20388764,21033790,21545037
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",2540691,2794793,3002261,3113612,3028697,3198217,3261182,3514198,3140532,3320054,3194724,3303675,3515475,3513030,3559145,3755046
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",143369,131223,136575,160316,168240,150334,143856,289465,300955,446624,365285,406228,514664,342371,261424,457855
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",93752,150927,203801,168652,163170,177942,190719,234160,146001,126374,155847,194921,226177,266013,281851,247117
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",91202,122452,129412,131137,124688,184895,166511,138808,126990,113100,110897,140645,145384,156894,132640,48265
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",201570,206716,221344,212694,197258,205142,221661,293297,237297,212930,180828,239351,233771,241945,262077,290106
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",50509,53881,61532,58037,61794,62964,71297,62067,65124,49828,46991,51211,52987,53512,50424,52782
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",682155,751981,739316,786373,759360,805780,846604,870764,858020,855892,828951,850072,876989,884341,933131,953660
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",301133,336491,366524,380349,385329,382190,399342,397614,353308,344939,345367,332884,338883,369866,420403,424622
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",65646,70264,79531,93434,109037,123397,123006,109352,94984,114419,86372,72421,71963,75764,73859,76406
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",99382,117937,148811,175344,206954,245869,264510,243958,185973,206314,209098,170618,186176,200403,219135,243426
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",60499,73963,69376,73130,70456,70260,61331,47230,36617,45977,56581,48879,45522,45667,43340,40018
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",257571,277140,311059,335965,278004,275104,270048,281474,239519,298579,289982,248723,266122,268601,275970,288822
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",63528,57644,60968,58289,64149,74863,91025,96394,92158,93219,99016,113319,116305,123227,118787,119830
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",251416,268137,277356,267123,231941,219022,205601,214080,178492,167655,179774,208964,212476,234307,226678,235511
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",19271,15874,17585,19064,17025,15122,17985,15917,12314,14179,16417,12719,9631,11546,12153,11682
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",102359,94532,99338,115485,118186,123255,101378,128025,121806,138445,139053,122461,128091,136902,146084,149881
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",57329,65630,79733,78220,73106,82078,86308,91593,90975,91579,84264,90259,90335,101672,101189,115062
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",12627955,13982872,14596892,15866448,15323336,15537369,16264805,16693936,15673436,16248043,16626842,16800896,16011115,16042645,16576613,16882462
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",133940,151492,137987,158142,147822,199514,217846,173611,178280,137844,141777,197980,212783,195587,233636,375106
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",8150,8132,7786,7873,8283,9456,10751,7784,9367,9249,8126,8509,9364,9615,10639,15625
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",21041,19732,20630,24017,27448,37347,35817,41302,43385,40730,46099,48943,48428,49234,50274,57430
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",3611522,3777780,3763147,3687860,3423127,3126613,2832171,3015445,3013007,3098492,3086313,3058446,3166718,3244308,3236680,3243456
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",5653,5675,7204,8276,10201,10110,12048,13291,11943,12729,17557,21394,15100,13194,14085,12838
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",1505104,2001017,2226529,2535564,2684312,2435377,2761394,2545544,2200847,2231291,2179741,2197433,2145774,2005082,2162781,2067704
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",557064,682239,654548,779694,679885,757739,854788,970596,1024468,1130437,1049097,1048612,946152,1319079,1393453,1411414
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",28984,40554,39004,50555,36507,38926,47014,56673,104024,111455,118434,145680,212484,88287,86596,92776
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",2707688,2876857,3310365,3832282,3324510,3563473,3982003,4229145,3993712,3948323,4096917,4357345,3592174,3509272,3469557,3411623
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",228636,356416,440194,539800,550310,681996,766369,946968,862274,903276,921897,740638,773783,890856,1039745,1106561
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",95552,79097,96282,98985,175533,194364,201042,194049,218408,221559,208575,197678,159840,173947,155530,178034
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",465862,404756,395302,424385,447488,470940,496870,464264,383272,367497,334690,310740,298374,284504,269685,271027
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",8244,9331,6658,5780,5044,5144,2102,2438,4195,7274,8488,8653,6932,7024,9152,7791
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",16068,22896,26549,26878,29395,32249,46128,48857,46887,43548,48292,48534,49154,50755,62712,72513
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",4113,5407,4819,5733,7196,6969,7462,5970,4691,6640,9968,283,229,578,185,219
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",127760,125972,130770,123440,126815,126632,120079,123305,108222,104612,106425,102706,109914,113000,114065,130808
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",276176,359393,318949,347966,414052,462285,354057,215997,254011,385657,434006,307456,318389,289884,328024,343201
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",1454337,1645298,1627510,1978704,2060504,2139025,2382156,2677644,2336800,2631696,2799386,3034407,2944603,2785747,2872921,2882411
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",1372062,1410829,1382657,1230513,1164904,1239209,1134707,961052,875644,855735,1011055,965459,1000918,1012693,1066893,1201926
 "34000","New Jersey",2,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",674986,699230,701757,727969,760192,784001,824612,833916,824210,761330,748834,846546,826016,833089,898032,907529
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
