GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",1867189,2095089,2137931,2301212,2456557,2699759,3078815,3214069,2970627,2890035,2593529,2615842,2510102,2506879,2726882,2908101
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",258244,286018,304040,309645,295822,293697,327749,355539,316444,314188,295998,289436,290430,311569,317126,325620
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",40633,38079,42594,42456,41794,38381,36929,38819,41753,54198,47093,43425,43402,46209,45851,51241
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",7246,9818,11538,10407,9890,13388,19925,19958,17508,15849,13774,17702,17632,19232,19760,18533
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",523,889,862,430,380,259,86,93,144,376,272,143,201,300,399,342
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",40370,45103,44485,49341,48534,34050,45876,55856,37132,33462,30677,34210,36898,42029,42086,43438
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",8403,9599,12238,12832,14435,17463,20836,18588,21115,16223,14948,19746,20256,20963,19973,21504
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",17675,21868,21839,23193,21822,25514,26576,28564,28106,25363,24592,26667,27697,29496,29862,30570
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",60247,66624,70166,69391,67275,70181,76977,82395,79919,73862,68745,54259,52539,55470,59050,60336
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",18505,28155,28929,29325,15825,15294,17659,18442,11189,8936,8614,8257,8425,7893,8595,9500
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",8699,8265,10249,11385,10840,10654,13220,15496,9400,10328,10165,8875,8496,11040,10952,11192
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",1727,1200,1993,2211,2201,1945,1914,1829,1499,1936,2880,2281,2075,2419,2586,2520
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",15720,17015,18454,17168,20371,21462,20554,21384,17426,21808,19754,15725,16855,17004,18853,17014
 "35000","New Mexico",6,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",2635,2321,2370,2165,2525,2790,3902,4090,4027,4605,5019,6078,5799,5754,5649,5416
