GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",4041270,4323478,4173704,4584765,4708996,5065730,5397575,5685354,5072425,5227764,5141335,5181488,5338286,5818123,6120297,7019075
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",757959,775038,942569,1131700,1258244,1394023,1453306,1487946,1320074,1439221,1541553,1526819,1508639,1807998,1806398,2429318
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",262274,254827,325363,438049,484185,483472,495943,469972,517388,671198,723087,628060,578250,701162,761863,770424
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",50024,49283,63837,68197,73893,97787,111862,176014,166826,148797,190953,250669,256067,288686,260206,848217
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",9903,15702,19199,18115,16614,17477,9520,9835,5018,4125,5556,6127,6109,7911,10556,9791
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",93250,92418,127007,153613,182625,201631,173067,157851,142024,165098,182839,205147,219904,322151,252812,276270
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",5671,8826,9144,10178,10714,12167,12933,12202,12741,10750,13101,16573,17663,17858,17749,21221
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",78094,87060,100118,114613,126268,162945,195780,193412,157315,154719,147735,156386,152681,150757,160973,152715
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",102769,99180,108706,117367,136719,155722,180623,185971,128358,99628,89560,81420,80164,88784,93896,97085
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",5488,5287,11946,15625,14958,8970,8490,7234,5121,4257,3975,3268,2960,3219,3903,4881
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",27501,26436,32333,42346,50516,79561,89653,87363,37153,28945,30568,21047,25171,28615,30929,29503
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",5699,4672,6785,8223,8494,9138,10468,10568,8259,9737,8126,6178,6106,6374,6529,5160
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",33141,35007,37040,35736,38449,43836,41838,44923,32970,39426,40402,34362,32597,38370,40204,44382
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",3243,3305,4059,5123,5730,6034,7610,7812,6784,6827,7056,8024,8718,10565,9918,10967
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",71495,82568,84462,90396,92906,97645,96704,105696,80756,74212,77824,89910,99261,116467,127194,129440
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1183,1190,2271,2527,2025,1735,2207,2152,1964,2621,1898,1672,2103,2748,3075,3608
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",3995,3931,4516,5573,6738,7290,7506,8995,7743,8725,9199,8817,11779,15288,17123,16543
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",4231,5349,5784,6020,7410,8613,9102,7946,9654,10156,9674,9158,9106,9042,9468,9111
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",3154670,3411284,3089287,3300726,3286933,3499002,3758636,4010529,3573158,3621561,3432889,3468422,3647165,3819015,4114351,4387578
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",81131,83887,83482,94563,100658,129315,153083,137961,126575,93893,86278,105275,106065,118786,143271,174872
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",599,602,755,805,1098,1447,1790,1285,1576,1516,1497,1579,1795,2178,1950,2252
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",3337,3017,3105,3561,3907,5943,5629,6602,6921,6778,6827,7564,7506,7352,7289,8089
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1003576,1083097,1055657,1040510,854958,814274,764136,802192,820916,822860,820487,823171,820874,843558,876083,896692
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",11737,9254,5058,5948,7718,10929,13487,13788,22660,22782,23021,7797,6379,7040,7515,6394
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",144722,182576,185603,196730,234009,224110,251143,241613,209336,207341,210812,196979,217712,203842,223255,249001
 "32000","Nevada",8,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",128272,108657,115107,136497,119299,158781,203529,229343,216277,224274,229294,251507,236089,277691,284208,336048
