GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",59219927,63985262,64726185,68881107,72507236,76857063,80875724,86584234,85589141,95332642,99425129,104177970,110239897,111738360,115526446,119856783
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",14316557,14462738,15091923,16076534,16566137,18178554,18482053,20249262,18883595,20047429,20839128,22205959,23312428,25056923,26453429,27021463
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",2305906,2123442,1990780,2542402,2559754,2560099,2359935,2664668,2701688,3566133,3597560,3416021,3258576,3601925,3590005,3691410
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",1135973,1422728,1824884,1537901,1572057,2017090,2030726,2185461,1847672,1363891,1489146,1803751,2002056,2303935,2245513,2112097
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",284409,327657,362613,411697,378035,422777,440881,482803,487386,438950,484244,510188,529711,543668,564515,657600
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",1624257,1694713,1813843,2119273,2060660,2501279,2002215,2106273,2219577,2294666,2035199,2383515,2520881,2673181,3139147,3161855
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",491390,474750,555447,607097,670850,743384,825882,783661,884393,698000,690866,771628,836561,916902,898263,970364
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",3738093,3776755,3848875,4051018,4106043,4366054,4686731,5141814,4890549,5395859,5720596,6556651,7020386,7353390,7793799,8047669
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",1282607,1320738,1247482,1243825,1348957,1457274,1704012,1884454,1592507,1626023,1734520,1674521,1756439,1945968,2174160,2255790
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",98502,106045,112375,123264,124258,137880,165930,190655,175044,138567,148010,140118,152704,163372,170924,167259
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",565287,557310,586893,653175,801918,934072,1083840,1204084,845027,1014925,1083133,997327,1084236,1243164,1320653,1270308
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",147390,127248,116493,127306,121592,111529,114029,118574,98163,126565,122059,102160,101644,98874,96038,92580
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",923443,860539,868653,881543,943483,993773,1033064,1117104,857831,1035767,1114078,972388,1011235,1041733,1144272,1203308
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",68373,61127,63016,72037,81777,91260,111830,122592,122186,138913,163550,189297,191852,215839,230767,239021
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",980401,981936,998796,969009,968132,970190,991879,1144238,1051583,995080,1112984,1315952,1411173,1441598,1456366,1438643
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",137792,125233,150034,179956,169999,147927,158975,155074,117484,162784,178056,182308,178023,201466,209506,205946
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",245799,243554,269285,305985,323509,346681,334687,460713,470520,520614,558561,511704,525214,555669,595036,610326
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",286936,258963,282453,251047,335114,377286,437436,487093,521984,530693,606568,678430,731736,756240,824466,897286
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",43526780,48136576,48233603,51333208,54396849,57056338,60640026,64554470,65006951,73678198,76999660,80193108,85216843,84901402,87206488,90970166
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",313779,298615,315046,349959,348189,389513,416417,360491,324363,269224,258184,319405,356947,460151,562312,651922
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",50283,53323,58792,53900,60394,74694,86228,66204,79886,77709,79487,80488,90677,97291,108890,122346
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",55929,52557,55364,60683,64731,90851,83495,95625,102294,100743,107246,124200,128161,130725,138954,156865
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",8095740,9583535,8479170,7493152,8424995,7978560,7375944,7819856,7981381,8378190,8305599,8632841,9127516,9239831,9383935,9468829
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",20889,13310,14618,16438,18858,19924,22538,22070,19565,21127,23636,29529,27885,28128,29623,29251
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",6357162,7492478,8458925,9231822,10152670,9275768,10835317,10628610,9320849,9028927,8940228,8829933,8768024,8440094,8843460,8722844
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",10814774,11863942,11638860,12235942,10868435,11903618,14022867,16732033,18987645,24637413,26475967,28060302,29879916,29520185,29159538,29438381
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",1382026,1297391,1269559,1696914,1349719,1937783,2332892,2145283,2502051,2764212,2399865,2583205,2611885,2590892,3114187,3498059
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",7304308,7689476,7772491,8121998,10638195,11624983,12466183,13028185,12823299,14393403,16671759,18160830,20670331,19551658,19543058,21593595
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",1321563,1981399,2414290,3893865,3992364,5088240,3696747,4443781,4366134,4558479,4686887,4346372,4632080,5668201,7226190,8068539
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",797320,772858,783791,824125,836090,888756,1027671,960792,1065742,1106063,878604,942666,596869,706286,646260,688778
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",569590,510072,530048,577369,585800,589801,617686,542047,463028,435015,431262,400445,400971,383018,383229,387560
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",84152,87479,89147,91399,85920,84500,75575,95292,99900,138459,132834,104636,113831,128236,136105,128389
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",79132,114795,116498,114892,114406,120159,176929,173699,148359,149294,146642,150085,152613,157448,182515,170591
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",117824,150935,147998,165553,158979,141822,134577,130100,99420,108914,100865,2663,2162,4173,1290,1258
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",89504,81759,76565,85374,89014,87274,87089,91655,85155,90694,83775,80156,88422,93770,100161,103884
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",708970,752361,669298,689183,700695,578221,501940,677013,784175,1331831,1113559,593675,582011,709253,577408,638597
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",2255124,2366829,2281788,2271740,2290664,2433342,2730451,2676381,2293749,2494719,2567886,3019790,2837384,2753346,2839514,2980245
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",3108713,2973461,3061355,3358899,3616732,3748530,3949479,3865353,3459956,3593781,3595375,3731887,4149158,4238717,4229862,4120232
 "36000","New York",2,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",1376591,1385949,1400660,1471365,1544250,1622171,1753645,1780501,1698595,1607014,1586341,1778903,1710625,1780035,1866529,1865153
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
