GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",13475173,14462270,14909947,15673344,15718023,15758902,16360211,16522103,15587320,16042509,16104666,16391208,16884203,16841233,17687060,18286989
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",2605661,2806700,2946345,2966840,3015722,3051034,3114910,3279975,3010200,3068020,3179754,3236293,3304222,3580008,3641981,3774916
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",214355,211451,196071,244433,235908,216974,198839,193966,213568,283799,288691,266149,256881,286221,280127,306087
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",326897,468144,517666,474634,524018,473506,490624,540576,453543,340098,289464,366446,396593,521712,550344,563574
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",8507,9663,10914,4874,5224,32572,25316,25762,27988,26877,29499,23504,8054,8827,7824,9300
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",87080,87016,103657,83757,79974,73376,65855,66466,68144,65434,83741,73264,92216,129534,146922,166190
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",148871,153362,171296,165867,172623,180730,194404,173946,194978,157922,159452,182096,191553,209099,207810,223201
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",457541,519058,526307,530009,516638,534246,544032,603287,578290,606210,624325,681496,664909,657638,668016,704942
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",410647,411709,429219,425591,420805,431575,457457,465121,408669,399191,407892,374946,381107,396915,427163,451258
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",26409,23665,28424,23967,23585,26087,28978,29916,28852,25135,31505,32970,36488,35655,30675,34797
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",83121,83398,96569,105899,120325,143603,162931,173304,118958,148187,175011,154694,167660,165771,182677,193063
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",51189,49910,46402,45135,50197,48588,51649,54880,49091,72170,81129,79591,118328,169398,146477,133219
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",290252,292416,297837,306941,314817,323887,307347,329555,262368,328242,358362,307215,305365,314969,316407,308128
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",38181,38775,43409,45083,49464,58639,71461,75952,76875,82293,87225,85037,83232,83158,85901,88550
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",337328,338036,324184,294773,282151,277156,255528,272392,265516,254926,257177,322477,317822,314745,293697,283766
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",4698,5698,6382,38697,35754,40659,63813,57475,38000,50862,73407,53591,55711,54800,59683,66371
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",44659,41115,54549,62617,64524,64505,60600,76336,74732,81346,84698,78518,81715,88015,94780,98382
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",75928,73285,93457,114564,119716,124931,136075,141043,150629,145326,148175,154301,146589,143553,143479,144087
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",10109047,10868727,11168193,11882514,11844781,11827778,12322434,12312945,11675556,12133743,12063863,12179808,12648723,12308184,13033029,13490947
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",222315,233488,207282,209507,207392,273196,294307,230497,207674,155569,120946,136046,137860,152411,159538,170459
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",8970,9270,9980,9480,9848,12720,14792,11290,12045,12182,11681,12294,13665,15041,16500,18566
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",21421,19571,19352,21939,22224,27647,25325,28712,29039,27622,29616,31811,31560,32372,32632,36557
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",3007630,3076067,3062981,3165982,3156951,3105706,3150618,3095672,3026646,3064802,3125756,3383593,3445094,3526073,3608931,3687236
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",7171,4349,5278,3940,3510,3640,3410,3592,3219,3074,3373,3377,5469,5799,7076,6820
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",1231825,1577402,1758479,1932344,1965534,1753295,1964755,1987068,1845653,1958189,1941045,1977859,1975594,1726005,1847192,1838011
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",339335,343896,345529,329602,287524,302219,330925,339919,349782,345297,322717,317256,349443,357949,391161,378290
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",24660,27611,32500,48292,31924,39677,44143,56201,74449,81538,81111,107254,113853,102809,116835,135109
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",1526531,1499279,1662026,1984321,2252638,2318249,2628366,2711515,2532280,2691646,2558209,2624127,2909943,2793775,3154729,3324692
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",375492,640630,717787,773583,731014,881272,703211,732300,656635,625299,609169,515108,520540,511570,575391,560990
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",34042,26969,30150,32509,29435,36814,31865,32561,34433,32480,30202,28752,27425,35592,25409,22874
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",451694,411263,410320,425812,435329,442435,487409,463976,405930,395653,374216,353316,347521,353171,349105,364905
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",36591,40067,33135,33198,33736,34906,31062,37335,40660,46694,35453,32921,32410,36479,38405,41750
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",59813,89770,91655,90529,93500,92583,143867,141549,115795,116806,119427,113962,113671,121746,148883,140854
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",4190,5920,5779,6238,4799,3139,2645,2496,2122,2256,3805,124,122,413,144,163
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",248948,251109,244359,246679,223291,223105,213815,181639,169745,186806,188539,199633,196736,202124,213869,256357
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",413158,398431,379291,456946,360640,309579,328746,350801,285468,418702,569963,347288,299492,291137,321631,370584
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",733241,779241,732609,744257,677826,702396,723488,737070,594276,645766,663635,674377,742610,723413,715300,712161
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",1362021,1434396,1419702,1367356,1317667,1265200,1199683,1168750,1289706,1323361,1275001,1320709,1385715,1320305,1310298,1424569
 "39000","Ohio",3,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",760464,786842,795409,823990,857520,880090,922867,929182,901564,840746,861048,975106,931257,953041,1012050,1021125
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
