GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",3219435,3506941,3656373,3658175,3759569,4081217,4265300,4280752,3948819,4243836,4062947,4119897,4206108,4283349,4215868,4279645
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",407249,443832,447621,464591,469926,479757,502559,536479,515779,528412,551234,605444,588716,710901,692391,757718
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",34807,29173,32308,37541,35121,32924,33279,36869,49169,63784,72637,99191,85000,169329,142404,169853
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",11566,20918,21138,14685,16239,21438,24600,24743,18828,18335,20602,22318,19798,21463,21314,18940
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1483,1383,1626,2166,2269,1441,1265,1269,1563,2204,4234,4405,5791,7176,7134,8334
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",16549,17108,21105,21279,19078,20143,19263,19269,19920,17499,21853,19791,23791,24351,26466,29547
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",10518,11890,13947,15584,15789,18210,20399,19484,21627,18196,21692,25793,29995,33504,34648,39657
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",71112,84224,84562,90126,88289,96563,102941,105563,97763,103780,96680,112580,110640,118188,117260,129205
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",91187,94803,101851,104737,111384,107690,115828,121314,109760,105550,109531,104834,101959,107672,115815,121375
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",14609,17492,15244,13550,12408,12464,12748,15254,16929,17266,14619,13968,13435,13642,13407,14878
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",22279,26102,20809,23237,21259,25767,28953,37453,27369,32247,38401,39248,38201,40471,45015,46304
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",136,74,95,3707,4268,3807,3596,3136,2589,3628,2942,2503,2561,5423,5891,6071
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",20973,22099,24059,25070,26635,28201,29556,32819,36270,35046,34767,29958,27532,31968,33477,29126
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",4655,4636,4679,5195,5622,6196,7557,8366,8710,8575,8846,10477,9944,11696,13639,13068
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",86916,92116,83096,80330,83604,78279,75482,84257,78742,74123,75359,90522,89634,96727,85677,100243
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1008,1008,1629,2296,2671,987,851,229,338,518,575,527,328,489,425,443
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",9270,8010,7910,8595,9636,10212,9032,11433,12156,13873,14517,13575,13688,14474,14903,14663
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",10180,12797,13563,16493,15654,15434,17210,15019,14046,13787,13979,15754,16419,14326,14917,16012
 "40000","Oklahoma",6,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",2628677,2873850,3019852,2997933,3083751,3381192,3528733,3501812,3190471,3482220,3265614,3233968,3338144,3278804,3222129,3222777
