GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",5306933,5447932,5385755,5432723,5448187,5577171,6206926,6363132,6036136,6213568,6364226,6406993,6610629,6921567,7382264,7848160
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",744530,777489,812098,843174,887767,975619,1046487,1128769,999123,1086021,1122827,1175525,1208019,1337766,1456040,1569224
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",78341,75056,72895,91740,100911,99647,91938,99661,111870,158998,166228,166353,155313,167040,168065,189437
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",46855,54204,61890,47265,48663,62117,62431,68376,53465,47042,41397,47219,49996,53139,55177,55034
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1319,1162,1671,2263,2232,2259,2407,3466,4677,4136,5200,3759,4016,6547,5350,6818
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",36719,38994,43426,43342,49194,57285,47369,48898,55034,56460,52289,53063,62037,76263,75620,84879
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",32204,31827,35250,35703,37377,41167,45815,41947,44597,37326,38791,44558,47801,48143,47555,52167
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",145342,146353,144486,151741,148323,165937,179793,201921,199567,213058,227983,273498,287855,317499,343489,369184
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",153330,153768,155747,161716,183727,203726,236812,240390,184642,178290,182160,166191,175853,198599,239276,264015
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",16517,17020,16549,17530,18818,23806,28275,31473,27587,27788,28930,26339,27290,28518,33576,38142
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",23892,27205,35244,42628,54364,66474,86507,93071,55681,67423,69813,66349,63548,65243,77090,83643
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",13787,21418,22982,31580,30167,29079,30973,30230,23641,34666,40455,35729,26200,30450,31134,28070
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",68652,74223,76747,75706,77541,83692,89363,103021,80270,105337,118159,112096,115531,134911,153951,166740
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",5631,4257,3794,3407,3802,4308,4938,5860,6000,6789,8068,11495,12881,16173,18796,20825
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",92839,96693,97674,92940,91266,89215,86943,97824,90286,82175,69797,91379,97849,109627,111792,113615
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1504,520,603,348,1102,2572,4207,4723,3904,5608,6281,6833,6658,5994,7467,10069
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",10020,11070,13192,15546,15611,16876,18639,26939,27164,30761,32986,31105,33536,36355,41967,44268
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",17577,23720,29951,29721,24669,27459,30077,30967,30739,30163,34291,39561,41654,43267,45735,42319
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",4352818,4454675,4354200,4359006,4314793,4343934,4889695,4962633,4772474,4882594,4988373,4946784,5127753,5285572,5606197,5950258
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",85966,76993,74718,78358,78824,102287,117608,108192,109430,83319,66463,85603,83977,83005,77918,87984
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",3453,3669,4082,3763,4343,5539,6513,5109,6064,6060,6096,6347,7171,7682,8804,9739
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",5991,5486,5375,5799,6013,8290,8076,9251,9466,9411,10148,11599,12006,12355,12491,14068
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1636426,1700300,1692898,1600382,1417926,1271234,1170350,1263926,1323386,1387000,1408188,1306127,1368160,1449030,1499957,1608488
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",2050,1430,1783,2044,1986,2618,2055,2766,3442,4135,3996,4820,3896,4423,4513,5346
 "41000","Oregon",8,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",653517,723671,827119,915953,994342,1009546,1226897,1212933,1114260,1146468,1172141,1151154,1170036,1140091,1278231,1314326
