GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",3425836,3693871,3784572,3949893,4241268,4255486,4425349,4405161,4257194,4350385,4302916,4481276,4677718,4558459,5060363,5272673
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",496526,544497,581864,620050,652454,708090,746405,790389,696298,734134,753729,763420,766632,861567,869283,943837
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",71668,68141,71378,90893,83391,80626,74364,80925,85247,114768,118312,110602,103938,109341,105943,114268
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",18736,35225,42456,36358,37037,41050,40857,46209,37310,30873,35648,48144,51661,57750,55611,55788
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",828,866,1415,2127,2266,2151,3549,3326,2804,2952,3653,4213,3907,4297,6650,7256
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",13605,17612,16539,14639,19414,25472,22284,22366,29192,28873,21117,27345,33339,36638,42465,59261
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",19692,19144,20056,22841,23949,26576,30688,28526,33430,28069,29327,32859,35704,38524,38259,42645
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",74016,88272,90216,93432,92852,104741,115757,128256,120357,134950,145811,166591,177008,223951,191371,205807
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",119652,118070,124985,122160,135451,143332,167499,173077,132049,130560,137850,135285,124296,129545,144691,156857
 "45000","South Carolina",5,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",36179,37696,36025,46376,45956,50296,37744,37437,31553,28315,26809,27131,32768,34574,38547,39996
