GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",27759932,30034999,29997638,32175553,32367424,34205088,36930131,38068505,37050520,38234676,38418415,38456778,40000158,40799292,43051569,45113980
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",4725709,5108016,5144767,5317562,5448023,6006054,6239097,6791259,6319546,6444188,6515737,6561995,6835268,7574397,7739531,8138336
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",425964,392765,383695,445381,439708,401693,373777,384653,531968,725686,690277,616771,642753,714738,677334,763081
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",480299,694302,736277,668030,770257,934710,803925,909713,803691,570954,516171,382120,399858,409334,403511,403967
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",21205,26745,28312,36206,33878,37379,36420,40586,45728,40869,47055,47379,59782,60742,61227,78550
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",187053,220227,211691,237813,218340,261408,261754,298496,306682,302988,406255,482816,475727,657854,611231,653279
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",150037,153633,168888,185242,206554,228394,252989,236183,273267,243123,235885,269801,290465,308752,311286,344202
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",946661,1069128,1012577,1045954,1024758,1098386,1166396,1242751,1187021,1246537,1230682,1365597,1409898,1499396,1504343,1560054
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",938175,921011,915428,931725,974620,1123175,1267932,1367061,1144723,1062730,1076368,1069290,1113206,1263666,1386534,1469050
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",136584,152976,158952,176959,188310,202581,226869,246683,214315,208905,198580,171290,195369,216944,247502,240072
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",306531,322171,388106,458790,497625,616754,711604,784800,612831,749694,804136,780839,795394,861875,888125,900189
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",64235,62687,60356,64328,50153,49014,60762,80390,68749,86486,85792,82183,83621,100106,102442,92631
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",297361,299056,291397,297549,292453,296390,296077,334795,282745,343866,340200,285396,304145,337337,361480,404477
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",72345,65627,66716,72798,85057,100775,117023,125137,122781,137397,156866,198015,218375,239361,267650,281023
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",530419,540114,504913,475654,442733,426215,421447,467627,438812,415958,390624,481564,501206,529493,516602,525994
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",8745,10902,12538,16063,15479,12531,17169,10141,6425,8474,11559,11057,14382,18234,17560,15933
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",92601,90661,106871,91768,98506,97005,90306,118775,118478,139959,162683,157704,166731,184111,193642,196439
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",67492,86009,98051,113302,109594,119646,134648,143467,161331,160562,162602,160172,164356,172456,189062,209396
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",21642786,23489693,23413836,25358334,25321244,26506563,28865674,29402375,28863588,30033887,30099833,29792221,31109954,30978986,32946593,34589891
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",589261,613780,534355,617077,441250,575676,680663,625755,571009,464981,413616,515635,520138,579368,656015,732979
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",10626,11751,13162,14132,15600,21559,23930,17177,19609,18793,19648,20555,23825,25122,27504,30233
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",18426,16499,17308,19788,21141,30393,27950,32583,35013,34635,37369,42758,44134,48092,50431,55354
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",5844919,6216016,6033610,6183181,5992426,5923173,6003801,6248514,6554164,6848188,6893871,6695326,7004179,7317346,7723758,8060659
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",13318,9860,16199,19170,21993,22820,24792,25285,25617,27477,31388,36747,37111,39368,39141,38218
 "48000","Texas",6,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",2557885,3218450,3379771,3728424,3806853,3497674,4020863,3883426,3508641,3528641,3499470,3588421,3653176,3428785,3672747,3820582
