GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",3381963,3746890,3482356,3746886,3947117,4072039,4441380,4598164,4414657,4800158,4738007,5050285,5520954,5689311,6321533,6912867
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",708629,939661,547482,545645,595421,675247,724781,772390,696310,713934,742748,815265,866747,960379,1023369,1072308
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",48581,43759,40982,53054,53508,52377,52810,58269,66910,89324,94069,87935,93932,110841,105493,122480
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",231151,446211,71041,54038,60035,68665,67569,68295,59913,45911,42384,57305,67600,67407,69963,78464
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1962,2266,2194,3341,3784,6161,5864,6144,879,1211,1349,1591,2299,3283,2726,3051
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",67225,67461,55919,44536,55210,59633,55479,56840,51779,46105,47827,54505,56151,63057,78527,88935
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",14205,13642,13344,14542,16911,19497,22509,20996,23947,19012,18902,22336,24982,28193,28452,32070
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",99019,110680,110306,113101,119965,135915,140486,156538,153125,161491,162859,185327,205435,227895,241560,238296
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",87638,83623,85099,85729,97194,116000,134825,135662,109594,101327,104295,99033,97780,111441,129018,141147
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",10444,12332,11841,13818,14055,16745,20623,22227,16880,14611,11253,11044,12369,12960,14636,16289
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",22475,27083,27718,34655,41338,52326,59563,60969,42170,40770,45523,38140,41696,46872,52828,59622
 "49000","Utah",7,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",5277,4452,2986,3830,4784,8492,9290,12622,8557,13018,13687,12470,14396,20999,22475,13966
