GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",10162879,10848593,11204974,12375221,13136931,13467337,14244996,14514785,13872814,14487538,14386400,14246025,14907928,15774647,16383393,16998120
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1684635,1834263,1901876,2046636,2076770,2201603,2308455,2453317,2307085,2383966,2349634,2458310,2478882,2478696,2605090,2673784
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",142145,184313,163067,191090,187946,216946,191445,211121,249438,333259,269998,299793,251232,245188,228566,258027
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",26095,42948,47574,52487,61018,72327,76638,97982,88055,81911,92731,107308,102976,99321,126172,121388
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",21332,22713,23807,29097,32282,33611,31495,33485,29717,25206,29394,26324,27983,28701,30455,37921
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",101567,104354,114670,118645,121110,125712,125839,102960,107710,113326,98493,115791,179266,141784,186767,186823
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",118739,120797,136006,134932,143503,157570,173387,157503,169151,136635,134349,149094,160935,165410,159491,170720
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",332803,381388,394449,414982,404127,418753,451613,511051,480330,529157,527690,599638,609621,629209,648803,655740
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",319643,327270,350385,378506,395234,428833,465618,486244,431799,380044,400630,365483,347527,354726,376584,387059
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",50001,53031,54207,54250,50606,55271,55953,48773,41480,43200,45919,48447,49472,52383,53438,57501
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",94604,103536,122203,136956,142345,161734,184062,210666,140093,155514,146931,118398,107932,112582,122641,123717
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",20299,17754,15131,14927,18562,17812,18963,18676,13097,17109,33409,32492,41803,34045,30250,29789
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",120617,125138,122797,138182,147067,138003,145178,154064,118923,134104,127523,110528,112205,118860,129060,131042
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",79995,81697,92589,103920,107846,113287,121911,131192,141996,143385,156827,177286,168670,161989,174848,182758
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",179320,196440,183571,178699,162623,151510,148483,155755,157183,144817,137956,161905,159243,166442,162383,161982
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1148,929,1723,1448,1947,1938,3097,2939,2111,3478,3919,4174,18091,16779,17380,18382
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",28358,28056,30045,39457,43779,46278,44139,56813,56774,63677,66343,62570,64471,66857,74149,73573
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",47968,43900,49655,59058,56775,62018,70636,74095,79227,79144,77523,79077,77455,84419,84102,77363
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",8014469,8529587,8815372,9823077,10520258,10701705,11336574,11453867,10953474,11528719,11458415,11135423,11794729,12637186,13079091,13618433
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",109536,107070,104058,111444,109811,138074,146032,119254,106934,81086,58328,61921,62064,62543,66809,78282
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",11694,11598,11668,11380,12080,13772,16286,12345,14775,15722,15320,15361,16639,17899,19312,21278
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",28537,26691,28545,32772,36120,50824,48695,56277,60531,60048,65908,75815,77540,82104,84315,95262
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",2427313,2412250,2325428,2435676,2366980,2405794,2425736,2488433,2478620,2602372,2624009,2637182,2718194,2810634,2908039,2989311
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",7862,3776,3891,3587,4805,4283,4739,4985,5195,5435,5505,5787,6713,7952,8455,9848
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",1347768,1243331,1431774,1475310,1453664,1365724,1596786,1637969,1510002,1458281,1473410,1355124,1382088,1303778,1404577,1315410
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",332151,392468,356604,377231,312157,363234,362272,348704,393566,420926,417672,394753,413107,362181,386166,417684
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",22892,30118,21840,33391,25272,36547,55110,68674,92301,101766,94712,121584,121788,118623,152726,241538
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",1863575,2273567,2429641,2946690,3848025,3881656,4258343,4388052,4163558,4456278,4305357,4212767,4605035,5410799,5490338,5982069
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",200742,306170,340169,396625,431687,537044,448344,469604,404190,403154,414855,389485,409060,426600,511471,503581
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",15708,12438,14503,15780,14408,14669,14717,17799,19215,15040,15080,14570,10031,13226,11038,9779
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",242583,218315,217320,234257,242007,246636,263712,237882,207473,197756,186688,171292,164912,163313,156463,159176
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",2353,2675,2678,2517,2771,2599,2654,3143,3309,3923,3465,3286,2903,3605,3702,3526
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",84725,112872,101460,102061,105082,104491,134710,109236,96226,88307,74782,65968,62278,63169,72340,71187
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",4949,7119,8884,11410,16264,15544,19654,19096,18878,18978,33364,2281,1736,4382,1838,1184
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",27320,24392,23166,24725,24742,25322,24491,23954,24458,22124,17004,16897,18964,19209,24139,26228
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",269433,261437,309624,470346,392729,304548,330754,263322,217797,377232,315104,248301,256578,341035,319671,204369
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",195839,242035,240535,259558,266653,286706,331958,364573,362476,444836,554244,570299,655972,656685,687078,734699
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",819488,841266,843583,878317,855001,904238,851580,820563,773969,755454,783608,772751,809124,769449,770615,754022
 "51000","Virginia",5,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",463775,484742,487726,505508,539903,564029,599966,607601,612254,574853,578351,652292,634317,658764,699211,705903
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
