GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",10,"...","Total arts compensation ratio","Ratio",0.047,0.047,0.045,0.042,0.040,0.039,0.037,0.035,0.035,0.034,0.032,0.030,0.029,0.027,0.029,0.032
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",100,"..."," Core arts and cultural production","Ratio",0.353,0.358,0.348,0.308,0.280,0.265,0.248,0.243,0.258,0.250,0.250,0.241,0.249,0.237,0.254,0.245
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",111,"...","  Performing arts companies","Ratio",0.913,0.907,0.919,0.936,0.947,(D),(D),0.962,0.962,0.969,0.968,0.966,0.968,0.968,0.966,0.966
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.847,0.842,0.825,0.830,0.834,0.839,0.844,0.849,0.813,0.815,0.810,0.811,0.810,0.809,0.809
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",113,"...","  Agents/managers for artists","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.508,0.508,(D),(D)
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",114,"...","  Independent artists, writers, and performers","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.919,0.919,0.924,0.922
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",120,"...","  Museums","Ratio",0.856,0.862,0.876,0.887,0.886,0.908,(D),(D),0.934,0.927,0.926,0.927,0.926,0.924,0.928,0.930
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",131,"...","  Advertising","Ratio",0.417,0.421,0.408,(D),(D),0.351,0.338,0.344,0.348,0.347,0.348,0.359,0.357,0.356,0.355,(D)
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",132,"...","  Architectural services","Ratio",0.708,0.707,0.713,0.719,0.724,0.727,0.730,0.734,0.733,0.730,0.730,0.730,0.731,0.733,0.732,0.729
 "38000","North Dakota",4,"SAACCompRatio: Arts Compensation Ratio",133,"...","  Landscape architectural services","Ratio",(D),(D),0.939,0.944,0.943,(D),(D),(D),(D),(D),(D),0.936,(D),(D),(D),(D)
