GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",10,"...","Total arts compensation ratio","Ratio",0.049,0.050,0.048,0.045,0.042,0.040,0.038,0.037,0.038,0.038,0.036,0.035,0.033,0.033,0.032,0.031
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",100,"..."," Core arts and cultural production","Ratio",0.469,0.461,0.432,0.412,0.320,0.303,0.294,0.302,0.287,0.269,0.261,0.237,0.237,0.248,0.241,0.241
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",111,"...","  Performing arts companies","Ratio",(D),0.907,0.919,(D),0.947,0.957,0.966,0.962,0.962,0.969,0.968,0.966,0.968,0.968,0.966,0.966
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.847,0.842,0.825,0.830,0.834,0.839,0.844,0.849,0.813,0.815,0.810,0.811,0.810,0.809,0.809
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",113,"...","  Agents/managers for artists","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA),(NA),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",114,"...","  Independent artists, writers, and performers","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.919,0.919,(D),(D),(D),(D),0.922
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",120,"...","  Museums","Ratio",0.856,0.862,0.876,0.887,0.886,0.908,0.925,0.928,0.934,0.927,0.926,0.927,0.926,0.924,0.928,0.930
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",131,"...","  Advertising","Ratio",0.417,(D),0.408,0.392,0.369,(D),0.338,0.344,0.348,(D),0.348,0.359,(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",132,"...","  Architectural services","Ratio",0.708,0.707,0.713,0.719,0.724,0.727,0.730,0.734,0.733,0.730,0.730,0.730,0.731,0.733,0.732,0.729
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",133,"...","  Landscape architectural services","Ratio",0.937,0.936,0.939,0.944,0.943,0.940,0.934,0.941,0.939,0.936,0.934,0.936,0.939,0.940,0.938,0.930
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",134,"...","  Interior design services","Ratio",0.825,0.791,0.821,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",135,"...","  Industrial design services","Ratio",(D),(D),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",136,"...","  Graphic design services","Ratio",0.972,0.968,0.966,0.960,0.956,0.952,0.944,0.944,0.943,0.946,0.947,0.948,0.949,0.948,0.948,0.947
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",137,"...","  Computer systems design","Ratio",(D),(D),(D),0.022,0.022,0.022,(D),0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.925,0.928,0.930,0.947,0.965,0.969,0.974,0.974,0.975,0.974,0.976,(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",139,"...","  All other design services","Ratio",(D),(D),0.553,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",140,"...","  Fine arts education","Ratio",(D),0.440,0.441,0.442,(D),(D),(D),(D),(D),(D),(D),(D),(D),0.440,0.439,0.438
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",150,"...","  Education services","Ratio",0.064,0.073,0.077,0.074,0.063,0.062,0.062,0.062,0.059,0.053,0.051,0.051,0.048,0.051,0.051,0.056
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.120,0.125,0.120,0.115,0.112,0.114,0.109,0.111,0.111,0.114,0.112,0.110,0.107,0.106,0.103,0.102
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",211,"...","  Rental and leasing","Ratio",0.447,0.429,0.444,0.430,0.398,0.382,0.376,(D),(D),(D),(D),(D),(D),(D),(D),0.301
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",212,"...","  Grantmaking and giving services","Ratio",0.029,0.029,0.032,0.029,0.029,0.032,0.033,0.029,0.031,0.030,0.030,0.031,0.031,0.031,0.031,0.032
 "46000","South Dakota",4,"SAACCompRatio: Arts Compensation Ratio",213,"...","  Unions","Ratio",0.026,0.022,0.023,0.023,0.023,0.023,0.021,0.023,0.026,0.024,0.027,(D),0.028,0.026,0.028,0.027
