GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",10,"...","Total arts compensation ratio","Ratio",0.041,0.040,0.040,0.039,0.038,0.036,0.035,0.035,0.034,0.033,0.033,0.032,0.032,0.032,0.032,0.032
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",100,"..."," Core arts and cultural production","Ratio",0.206,0.199,0.202,0.198,0.191,0.178,0.182,0.170,0.157,0.167,0.169,0.155,0.158,0.158,0.152,0.155
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",111,"...","  Performing arts companies","Ratio",0.913,0.907,0.919,0.936,0.947,0.957,0.966,0.962,(D),(D),0.968,0.966,0.968,(D),0.966,0.966
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.847,0.842,0.825,0.830,0.834,0.839,0.844,0.849,0.813,0.815,0.810,0.811,0.810,0.809,0.809
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",113,"...","  Agents/managers for artists","Ratio",0.511,(D),0.510,(D),0.509,0.509,0.508,(D),0.508,(D),(D),0.508,0.508,0.508,0.508,0.508
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.899,0.902,0.906,0.909,0.913,0.916,0.920,0.919,0.920,0.919,0.919,0.919,0.919,0.919,0.924,0.922
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",120,"...","  Museums","Ratio",0.856,0.862,0.876,0.887,0.886,0.908,0.925,0.928,0.934,0.927,0.926,0.927,0.926,0.924,0.928,0.930
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",131,"...","  Advertising","Ratio",0.417,0.421,0.408,0.392,0.369,0.351,0.338,0.344,0.348,0.347,(D),0.359,0.357,0.356,(D),(D)
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",132,"...","  Architectural services","Ratio",0.708,0.707,0.713,0.719,0.724,0.727,0.730,0.734,0.733,0.730,0.730,0.730,0.731,0.733,0.732,0.729
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",133,"...","  Landscape architectural services","Ratio",0.937,0.936,0.939,0.944,0.943,0.940,0.934,0.941,0.939,0.936,0.934,0.936,0.939,0.940,0.938,0.930
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",134,"...","  Interior design services","Ratio",0.825,0.791,(D),(D),0.867,0.884,0.897,0.898,0.901,0.907,0.907,0.907,0.906,0.904,0.904,0.903
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",135,"...","  Industrial design services","Ratio",0.987,0.986,0.988,(D),0.988,0.990,0.987,0.987,0.985,0.988,0.990,0.990,0.990,0.989,0.989,0.988
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",136,"...","  Graphic design services","Ratio",0.972,0.968,0.966,0.960,0.956,0.952,0.944,0.944,0.943,0.946,0.947,0.948,0.949,0.948,0.948,0.947
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",137,"...","  Computer systems design","Ratio",(D),(D),(D),(D),0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.925,0.928,0.930,(D),0.965,0.969,(D),(D),0.975,0.974,0.976,0.979,(D),(D),(D)
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",139,"...","  All other design services","Ratio",0.583,0.535,(D),0.569,0.585,0.602,0.614,0.613,0.611,0.615,0.616,0.616,0.616,0.615,0.615,0.615
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",140,"...","  Fine arts education","Ratio",(D),(D),(D),(D),(D),0.440,0.434,0.451,0.434,0.439,0.438,0.439,0.440,0.440,0.439,0.438
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",150,"...","  Education services","Ratio",0.040,0.044,0.052,0.052,0.050,0.049,0.050,0.037,0.034,0.035,0.039,0.037,0.043,0.048,0.048,0.051
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.101,0.100,0.097,0.095,0.090,0.083,0.082,0.084,0.081,0.077,0.078,0.076,0.078,0.079,0.080,0.081
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",211,"...","  Rental and leasing","Ratio",0.447,0.429,0.444,(D),(D),(D),0.376,(D),(D),0.335,(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",212,"...","  Grantmaking and giving services","Ratio",(D),0.029,0.032,0.029,0.029,0.032,0.033,0.029,0.031,0.030,0.030,(D),(D),(D),0.031,(D)
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",213,"...","  Unions","Ratio",0.026,0.022,0.023,0.023,0.023,0.023,0.021,0.023,0.026,0.024,0.027,0.024,0.028,0.026,0.028,0.027
 "50000","Vermont",1,"SAACCompRatio: Arts Compensation Ratio",214,"...","  Government","Ratio",0.100,0.094,0.086,0.082,0.072,0.065,(D),0.071,0.067,0.059,0.059,0.059,0.062,0.058,0.058,0.059
