GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",10,"...","Total","Location quotient",0.715,0.727,0.715,0.731,0.699,0.705,0.724,0.688,0.686,0.661,0.652,0.634,0.642,0.648,0.639,0.627
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",100,"..."," Core arts and cultural production","Location quotient",0.843,0.860,0.817,0.830,0.866,0.817,0.776,0.765,0.777,0.752,0.746,0.737,0.722,0.722,0.700,0.672
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",111,"...","  Performing arts companies","Location quotient",1.070,1.119,0.923,1.010,1.100,0.925,0.600,0.621,0.591,0.629,0.787,0.658,0.631,0.561,0.622,0.634
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",112,"...","  Promoters of performing arts and similar events","Location quotient",(D),(D),0.048,(D),(D),(D),(D),(D),0.235,0.221,0.258,(D),0.247,0.170,0.154,0.327
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",113,"...","  Agents/managers for artists","Location quotient",(D),(D),(NA),(NA),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.042,0.037
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",114,"...","  Independent artists, writers, and performers","Location quotient",0.892,0.822,0.609,(D),0.796,0.686,0.538,0.553,(D),(D),(D),0.293,(D),(D),0.336,0.299
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",120,"...","  Museums","Location quotient",2.708,2.785,2.650,2.596,2.585,2.395,1.998,1.905,2.153,2.114,2.092,1.972,1.937,2.073,1.963,1.688
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",131,"...","  Advertising","Location quotient",0.556,0.586,0.628,0.619,0.638,0.630,0.803,0.865,0.826,0.752,0.708,0.762,0.711,0.737,0.734,0.728
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",132,"...","  Architectural services","Location quotient",0.671,0.657,0.650,0.705,0.697,0.663,0.563,0.561,0.593,0.532,(D),0.356,0.358,0.337,0.316,(D)
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",133,"...","  Landscape architectural services","Location quotient",1.012,1.062,0.858,1.090,1.273,1.328,1.410,1.282,1.140,1.170,1.215,1.571,1.555,1.294,1.260,1.228
 "10000","Delaware",2,"SAACEmpLQ: Arts Employment Location Quotient",134,"...","  Interior design services","Location quotient",0.847,0.942,1.074,0.880,0.835,0.836,0.851,0.820,0.764,0.716,0.667,0.687,0.608,0.628,0.623,0.661
