GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",10,"...","Total","Location quotient",1.104,1.130,1.123,1.105,1.097,1.075,1.047,1.038,1.055,1.069,1.057,1.044,1.032,1.022,1.002,0.983
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",100,"..."," Core arts and cultural production","Location quotient",0.909,0.901,0.873,0.936,0.801,0.785,0.767,0.751,0.775,0.786,0.786,0.741,0.741,0.743,0.741,0.756
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",111,"...","  Performing arts companies","Location quotient",(D),0.460,0.481,(D),0.533,0.517,0.505,0.445,0.389,0.376,0.402,0.413,0.451,0.401,0.378,0.402
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",112,"...","  Promoters of performing arts and similar events","Location quotient",1.682,1.388,1.351,2.126,2.077,2.117,2.043,1.685,1.684,1.770,1.823,1.766,1.644,1.690,1.824,1.758
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",113,"...","  Agents/managers for artists","Location quotient",(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA),(NA),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",114,"...","  Independent artists, writers, and performers","Location quotient",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.638,0.663,(D),(D),(D),(D),1.000
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",120,"...","  Museums","Location quotient",1.012,1.136,1.232,1.382,1.436,1.324,1.296,1.249,1.274,1.304,1.286,1.262,1.253,1.241,1.264,1.303
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",131,"...","  Advertising","Location quotient",0.524,(D),0.545,0.609,0.635,(D),0.555,0.554,0.588,(D),0.563,0.510,(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",132,"...","  Architectural services","Location quotient",0.519,0.513,0.488,0.514,0.494,0.457,0.435,0.513,0.586,0.621,0.642,0.613,0.593,0.578,0.538,0.529
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",133,"...","  Landscape architectural services","Location quotient",0.813,0.591,0.553,0.474,0.455,0.480,0.406,0.513,0.426,0.519,0.426,0.396,0.396,0.294,0.259,0.266
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",134,"...","  Interior design services","Location quotient",0.128,0.168,0.198,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",135,"...","  Industrial design services","Location quotient",(D),(D),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",136,"...","  Graphic design services","Location quotient",0.239,0.288,0.222,0.215,0.245,0.227,0.231,0.224,0.221,0.211,0.209,0.244,0.273,0.260,0.255,0.292
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",137,"...","  Computer systems design","Location quotient",(D),(D),(D),0.218,0.240,0.226,(D),0.261,0.304,0.272,0.273,0.316,0.377,0.364,0.345,0.354
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",138,"...","  Photography and photofinishing services","Location quotient",2.628,2.573,2.331,2.419,1.264,1.321,1.318,1.360,1.453,1.472,1.494,1.216,(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",139,"...","  All other design services","Location quotient",(D),(D),0.225,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",140,"...","  Fine arts education","Location quotient",(D),0.410,0.441,0.396,(D),(D),(D),(D),(D),(D),(D),(D),(D),0.736,0.722,0.727
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",150,"...","  Education services","Location quotient",0.935,0.975,1.022,0.922,0.929,0.973,0.918,0.891,0.848,0.844,0.815,0.804,0.736,0.758,0.748,0.789
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",200,"..."," Supporting arts and cultural production","Location quotient",1.154,1.189,1.189,1.153,1.177,1.155,1.125,1.118,1.132,1.146,1.132,1.129,1.113,1.102,1.076,1.046
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",211,"...","  Rental and leasing","Location quotient",0.852,0.859,0.863,0.916,1.035,1.016,1.051,(D),(D),(D),(D),(D),(D),(D),(D),0.531
 "46000","South Dakota",4,"SAACEmpLQ: Arts Employment Location Quotient",212,"...","  Grantmaking and giving services","Location quotient",0.926,1.098,1.107,1.034,1.152,1.189,1.180,1.161,1.201,0.915,0.683,0.796,0.668,0.642,0.694,0.737
