GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.036,0.035,0.035,0.033,0.032,0.031,0.031,0.031,0.030,0.030,0.029,0.029,0.030,0.030,0.029,0.029
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.270,0.256,0.253,0.254,0.248,0.242,0.238,0.228,0.219,0.206,0.199,0.201,0.198,0.198,0.203,0.199
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.913,0.907,(D),(D),0.949,(D),0.965,(D),(D),0.969,(D),0.968,0.968,0.968,(D),0.966
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.847,0.843,0.826,0.830,0.833,0.839,0.844,0.850,0.814,0.816,0.811,0.811,0.811,0.809,0.809
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",0.513,0.512,0.500,0.500,0.500,0.500,0.500,0.509,0.500,0.500,0.500,0.509,0.511,0.519,0.520,0.507
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.901,0.908,0.907,0.910,0.912,0.913,0.923,0.913,0.923,0.915,0.933,0.923,0.906,0.914,0.907,0.930
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.856,0.863,0.878,0.887,0.883,0.911,0.922,0.931,0.933,0.927,0.925,0.927,0.925,0.923,0.927,0.931
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.417,0.421,0.409,0.393,0.369,(D),(D),0.345,0.348,0.346,0.348,0.359,0.356,0.356,0.355,(D)
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.708,0.707,0.713,0.719,0.723,0.727,0.730,0.735,0.732,0.730,0.730,0.730,0.731,0.733,0.732,0.729
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.930,0.931,0.938,0.936,0.947,0.937,0.940,0.944,0.934,0.937,0.933,0.940,0.944,0.946,0.941,0.933
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",0.827,0.792,0.825,0.849,0.865,0.887,0.894,0.903,0.897,0.900,0.908,0.906,0.897,0.900,0.892,0.896
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",0.977,0.981,0.982,0.990,0.991,0.991,0.982,0.990,0.979,0.989,0.989,1.000,0.993,0.984,0.985,0.984
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",0.972,0.969,0.964,0.961,0.954,0.955,0.944,0.944,0.944,0.946,0.950,0.947,0.948,0.949,0.948,0.951
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",(D),(D),0.021,0.022,0.022,0.022,0.023,0.023,(D),0.023,0.023,(D),(D),(D),0.024,0.023
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,(D),(D),(D),0.948,0.965,0.968,0.975,0.974,0.975,(D),(D),(D),(D),(D),(D)
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",0.750,0.533,0.533,0.533,0.500,0.500,0.600,0.667,0.571,0.667,0.625,0.625,0.647,0.632,0.591,0.591
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",(D),(D),0.439,0.443,0.438,0.441,(D),(D),0.435,0.439,0.438,0.440,0.440,0.442,0.441,0.438
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.028,0.032,0.032,0.027,0.022,0.024,0.027,0.027,0.025,0.027,0.026,0.027,0.025,0.025,0.031,0.023
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.106,0.106,0.105,0.100,0.097,0.094,0.095,0.097,0.093,0.092,0.091,0.093,0.095,0.096,0.095,0.095
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",211,"...","  Rental and leasing","Ratio",0.447,0.429,0.444,0.430,0.399,0.382,0.376,0.357,0.355,0.335,0.310,0.299,0.290,0.285,0.285,0.302
 "05000","Arkansas",5,"SAACEmpRatio: Arts Employment Ratio",212,"...","  Grantmaking and giving services","Ratio",0.029,0.030,0.033,0.029,0.029,0.032,0.032,0.028,0.031,0.030,0.030,0.031,0.030,0.031,0.032,0.032
