GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.036,0.036,0.034,0.033,0.032,0.031,0.030,0.030,0.030,0.030,0.029,0.029,0.029,0.028,0.029,0.029
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.290,0.276,0.270,0.266,0.257,0.254,0.249,0.245,0.230,0.222,0.225,0.229,0.233,0.231,0.262,0.271
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.914,0.908,0.919,0.936,0.947,0.956,0.967,0.962,0.963,0.969,0.968,0.966,0.968,0.968,0.966,0.966
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.847,0.842,0.825,0.830,0.834,0.839,0.844,0.849,0.813,0.815,0.810,0.811,0.810,0.809,0.809
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",0.511,0.511,0.510,0.510,0.509,0.508,0.507,0.508,0.507,0.509,0.508,0.507,0.507,0.509,0.508,0.507
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.899,0.902,0.905,0.909,0.913,0.916,0.919,0.919,0.921,0.919,0.919,0.918,0.919,0.920,0.923,0.923
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.857,0.862,0.876,0.887,0.887,0.909,0.925,0.928,0.934,0.926,0.926,0.927,0.926,0.924,0.928,0.930
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.417,0.421,0.408,0.392,0.369,0.351,0.338,0.344,0.348,0.346,0.348,0.359,0.357,0.356,0.355,0.352
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.708,0.707,0.713,0.719,0.724,0.727,0.730,0.735,0.732,0.730,0.730,0.730,0.731,0.733,0.732,0.729
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.937,0.936,0.939,0.944,0.942,0.941,0.933,0.942,0.938,0.937,0.934,0.936,0.938,0.941,0.937,0.929
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",0.824,0.792,0.823,0.848,0.867,0.884,0.896,0.899,0.902,0.908,0.908,0.907,0.906,0.905,0.903,0.903
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",0.987,0.986,0.988,0.987,0.988,0.990,0.987,0.987,0.985,0.989,0.990,0.990,0.989,0.989,0.989,0.988
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",0.972,0.969,0.965,0.960,0.956,0.952,0.944,0.945,0.943,0.946,0.947,0.947,0.949,0.947,0.948,0.947
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.925,0.928,0.930,0.947,0.965,0.969,0.974,0.974,0.975,0.974,0.976,0.978,0.979,0.977,0.978
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",0.581,0.529,0.548,0.576,0.571,0.588,0.625,0.611,0.619,0.636,0.625,0.600,0.610,0.622,0.621,0.616
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",0.447,0.440,0.441,0.442,0.440,0.440,0.434,0.451,0.434,0.439,0.438,0.439,0.440,0.440,0.439,0.438
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.023,0.026,0.026,0.032,0.030,0.030,0.032,0.034,0.032,0.029,0.028,0.029,0.030,0.033,0.031,0.033
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.096,0.096,0.091,0.088,0.085,0.082,0.078,0.078,0.076,0.077,0.077,0.078,0.077,0.076,0.075,0.076
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",211,"...","  Rental and leasing","Ratio",0.447,0.429,0.444,0.430,0.398,0.382,0.376,0.357,0.354,0.335,0.310,0.299,0.290,0.285,0.285,0.301
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",212,"...","  Grantmaking and giving services","Ratio",0.029,0.029,0.032,0.029,0.029,0.032,0.033,0.029,0.031,0.030,0.030,0.031,0.031,0.031,0.031,0.032
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",213,"...","  Unions","Ratio",0.026,0.022,0.023,0.023,0.023,0.023,0.021,0.023,0.026,0.024,0.027,0.024,0.028,0.026,0.028,0.027
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",214,"...","  Government","Ratio",0.106,0.104,0.096,0.090,0.084,0.076,0.068,0.069,0.069,0.068,0.069,0.069,0.070,0.071,0.071,0.072
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",215,"...","  Other support services","Ratio",0.019,0.014,0.016,0.016,0.018,0.019,0.020,0.020,0.019,0.019,0.019,0.020,0.019,0.020,0.018,0.021
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",221,"...","  Publishing","Ratio",0.449,0.451,0.469,0.456,0.453,0.449,0.451,0.446,0.436,0.432,0.425,0.419,0.409,0.398,0.390,0.383
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",222,"...","  Motion pictures","Ratio",0.993,0.993,0.994,0.993,0.993,0.993,0.992,0.992,0.990,0.991,(D),0.989,(D),(D),0.990,0.991
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",223,"...","  Sound recording","Ratio",0.998,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.995,1.000,0.994,0.994,1.000,1.000,1.000,1.000
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",224,"...","  Broadcasting","Ratio",0.260,0.284,0.308,0.336,0.356,0.381,0.401,0.406,0.403,0.423,0.428,0.438,0.445,0.452,0.457,0.458
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",225,"...","  Other information services","Ratio",0.887,0.892,0.903,0.919,0.916,0.918,0.915,0.901,0.891,0.895,0.895,0.896,0.884,0.867,0.860,0.878
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",231,"...","  Jewelry and silverware manufacturing","Ratio",0.892,0.921,0.922,0.916,0.920,0.920,(D),(D),(D),(D),0.939,0.941,0.947,0.947,0.889,0.951
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",232,"...","  Printed goods manufacturing","Ratio",0.229,0.209,0.208,0.219,0.217,0.217,0.228,0.224,0.222,0.218,0.217,0.207,0.205,0.204,0.199,0.203
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",233,"...","  Musical instruments manufacturing","Ratio",0.959,0.965,0.966,0.959,0.960,0.958,0.949,0.929,0.925,0.925,0.929,0.947,0.946,0.947,(D),(D)
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",234,"...","  Custom architectural woodwork and metalwork manufacturing","Ratio",0.063,0.093,0.090,0.086,0.083,0.084,0.119,0.122,0.119,0.118,0.120,0.118,0.116,0.116,0.119,0.117
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",235,"...","  Camera and motion picture equipment manufacturing","Ratio",0.146,0.195,(D),(D),0.207,0.193,(D),(D),(D),(D),0.258,0.042,0.035,(D),(D),(D)
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",236,"...","  Other goods manufacturing","Ratio",0.112,(D),(D),(D),0.092,0.084,0.093,0.094,0.093,0.096,(D),0.087,(D),0.095,(D),(D)
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",240,"...","  Construction","Ratio",0.270,0.320,0.217,0.185,0.210,0.222,0.168,0.114,0.143,0.235,0.233,0.352,0.236,0.167,0.231,0.210
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",250,"...","  Wholesale and transportation industries","Ratio",0.022,0.024,0.022,0.022,0.021,0.021,0.022,0.022,0.020,0.021,0.021,0.022,0.022,0.021,0.021,0.022
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",260,"...","  Retail industries","Ratio",0.052,(D),0.049,0.049,0.048,0.048,0.048,0.048,0.048,0.047,0.047,0.047,0.048,0.048,0.048,0.050
 "26000","Michigan",3,"SAACEmpRatio: Arts Employment Ratio",300,"..."," All other industries 2/","Ratio",0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
