GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.045,0.044,0.042,0.040,0.038,0.036,0.035,0.034,0.034,0.034,0.033,0.032,0.032,0.030,0.032,0.033
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.261,0.271,0.273,0.269,0.259,0.244,0.241,0.235,0.249,0.239,0.242,0.233,0.238,0.240,0.243,0.244
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.918,0.906,0.920,0.933,0.948,(D),(D),0.960,0.968,0.970,0.970,0.970,0.972,0.967,0.960,0.965
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.826,0.848,0.841,0.826,0.828,0.833,0.837,0.844,0.849,0.813,0.815,0.809,0.811,0.812,0.808,0.810
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.533,0.455,(D),(D)
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.920,0.927,0.914,0.926
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.856,0.859,0.876,0.888,0.886,0.910,(D),(D),0.937,0.926,0.923,0.928,0.927,0.925,0.927,0.932
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.416,0.422,0.409,(D),(D),0.352,0.338,0.345,0.349,0.347,0.348,0.359,0.357,0.356,0.354,(D)
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.707,0.705,0.712,0.720,0.724,0.726,0.730,0.734,0.733,0.731,0.728,0.729,0.732,0.736,0.730,0.730
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",(D),(D),0.938,0.944,0.929,(D),(D),(D),(D),(D),(D),1.000,(D),(D),(D),(D)
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",1.000,1.000,0.778,0.846,(D),(D),0.875,0.909,(D),(D),(D),(D),(D),(D),0.905,0.889
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",(NA),(NA),(NA),(NA),(D),(D),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(D),(D)
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",0.955,0.958,0.971,0.950,0.947,0.963,0.949,0.950,0.947,0.962,0.940,0.950,0.948,0.941,0.943,0.958
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.023,(D),0.023,0.024,0.023,(D)
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.926,0.928,0.930,(D),0.966,0.970,(D),0.975,0.972,0.973,(D),(D),0.977,0.975,(D)
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",0.453,0.435,0.445,0.444,0.440,0.442,0.432,0.448,0.433,0.438,0.441,0.439,0.440,0.438,0.437,0.440
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.045,0.050,0.047,0.047,0.048,0.048,0.048,0.047,0.044,0.040,0.040,0.038,0.041,0.038,0.037,0.036
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.112,0.110,0.106,0.099,0.095,0.093,0.090,0.091,0.089,0.089,0.087,0.088,0.088,0.085,0.086,0.087
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",211,"...","  Rental and leasing","Ratio",(D),0.429,(D),0.430,0.398,0.382,0.376,0.358,(D),0.336,(D),0.298,0.289,0.285,0.286,0.301
 "38000","North Dakota",4,"SAACEmpRatio: Arts Employment Ratio",212,"...","  Grantmaking and giving services","Ratio",0.027,0.031,0.035,(D),(D),0.030,0.030,0.028,0.031,0.030,0.031,0.032,0.031,0.033,0.033,0.032
