GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.040,0.039,0.037,0.036,0.035,0.033,0.032,0.032,0.032,0.031,0.030,0.030,0.030,0.029,0.030,0.030
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.159,0.158,0.149,0.150,0.152,0.153,0.150,0.146,0.141,0.143,0.142,0.144,0.142,0.135,0.136,0.143
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.915,0.906,(D),0.936,0.947,0.955,0.965,(D),(D),0.969,(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.842,0.838,0.825,0.831,0.835,0.841,0.847,0.847,0.813,0.818,0.809,0.810,0.807,0.808,0.809
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",0.512,0.500,0.525,0.500,0.511,0.515,0.515,0.514,0.515,0.514,0.514,0.525,0.500,0.486,0.500,0.519
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.889,0.909,0.900,0.911,0.925,0.920,0.924,0.919,0.925,0.911,0.926,0.911,0.926,0.921,0.917,0.924
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.855,0.863,0.876,(D),0.886,0.908,0.926,0.928,0.933,0.925,0.926,0.926,0.927,0.924,0.928,0.931
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.417,0.422,0.409,(D),(D),0.351,0.338,0.344,0.348,(D),0.348,0.359,0.356,0.356,0.355,0.352
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.707,0.707,0.714,0.720,0.723,0.727,0.731,0.734,0.734,0.730,0.730,0.731,0.730,0.735,0.733,0.728
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.932,0.940,0.941,0.944,0.943,0.938,0.931,0.940,0.942,0.926,0.938,0.929,0.943,0.945,0.940,0.932
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",0.821,0.786,0.833,0.846,0.875,0.868,0.892,0.892,0.885,0.909,0.875,0.920,0.889,0.906,0.917,0.895
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",0.989,0.984,0.988,0.986,0.988,0.987,0.987,0.992,0.984,0.986,0.986,0.987,0.993,0.986,0.986,0.987
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",0.972,0.970,0.968,0.959,0.955,0.955,0.944,0.944,0.941,0.946,0.946,0.947,0.946,0.948,0.944,0.945
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",0.021,0.021,0.021,0.022,(D),(D),(D),(D),(D),(D),(D),(D),0.023,0.024,0.023,0.023
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.926,0.929,0.929,(D),(D),(D),0.974,0.975,(D),0.975,0.974,(D),(D),(D),(D)
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",0.667,0.571,0.500,0.571,0.500,0.600,0.500,0.750,0.750,0.667,0.667,0.500,0.667,0.500,0.588,0.611
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",0.449,0.440,(D),0.441,0.440,0.441,0.434,0.451,0.435,0.439,0.439,0.439,0.440,0.440,0.439,0.438
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.048,0.054,0.043,0.041,0.039,0.039,0.036,0.037,0.034,0.037,0.036,0.035,0.033,0.032,0.035,0.043
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.103,0.102,0.096,0.092,0.089,0.086,0.084,0.084,0.083,0.078,0.078,0.078,0.077,0.076,0.077,0.078
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",211,"...","  Rental and leasing","Ratio",0.447,(D),(D),(D),(D),0.381,0.376,0.357,0.354,0.335,(D),0.299,0.289,0.287,0.284,0.300
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",212,"...","  Grantmaking and giving services","Ratio",0.030,0.030,0.033,0.028,0.030,0.032,0.033,0.028,0.031,0.031,0.029,0.032,0.032,0.031,0.032,0.033
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",213,"...","  Unions","Ratio",0.026,0.022,0.023,0.023,0.023,0.023,0.021,0.023,0.026,0.024,0.027,0.024,0.028,0.026,0.028,0.027
 "33000","New Hampshire",1,"SAACEmpRatio: Arts Employment Ratio",214,"...","  Government","Ratio",0.128,0.128,0.115,0.107,0.096,0.086,0.075,0.075,0.072,0.071,0.072,0.071,0.069,0.069,0.069,0.071
