GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.039,0.039,0.038,0.037,0.036,0.034,0.033,0.033,0.032,0.032,0.030,0.029,0.029,0.029,0.029,0.029
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.295,0.293,0.287,0.279,0.307,0.303,0.291,0.282,0.268,0.255,0.254,0.248,0.245,0.248,0.249,(NA)
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.913,0.907,0.919,0.936,0.947,0.957,0.966,0.962,0.962,0.969,0.968,0.966,0.968,0.967,0.966,0.966
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.847,0.841,0.825,0.830,0.834,0.839,0.844,0.849,0.813,0.815,0.810,0.811,0.810,0.808,0.809
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",0.511,0.511,0.511,0.510,0.509,0.509,0.507,0.508,0.508,0.507,0.508,0.508,0.508,0.508,0.508,0.508
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.899,0.903,0.905,0.909,0.912,0.916,0.919,0.919,0.920,0.920,0.920,0.919,0.919,0.919,0.924,0.923
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.856,0.862,0.876,0.887,0.887,0.908,0.925,0.928,0.934,0.927,0.926,0.927,0.926,0.924,0.928,0.930
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.417,0.421,0.408,0.392,0.369,0.351,0.338,0.344,0.348,0.346,0.348,0.359,0.357,0.356,0.355,0.352
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.708,0.707,0.713,0.719,0.724,0.727,0.730,0.734,0.732,0.730,0.730,0.730,0.731,0.733,0.732,0.729
 "47000","Tennessee",5,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.938,0.936,0.940,0.944,0.943,0.940,0.933,0.941,0.939,0.937,0.934,0.937,0.938,0.940,0.938,0.929
