GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.047,0.046,0.044,0.042,0.041,0.040,0.039,0.039,0.039,0.039,0.038,0.038,0.039,0.039,0.039,0.040
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.216,0.221,0.197,0.191,0.190,0.189,0.188,0.186,0.176,0.168,0.167,0.172,0.171,0.175,0.172,0.169
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.914,0.907,0.920,0.935,0.947,0.956,0.966,0.962,0.962,0.969,0.968,0.967,0.968,0.968,0.966,0.966
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.825,0.847,0.842,0.824,0.830,0.834,0.839,0.844,0.849,0.813,0.814,0.810,0.811,0.810,0.809,0.809
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",0.510,0.509,0.510,0.512,0.509,0.507,0.510,0.509,0.508,0.505,0.507,0.506,0.509,0.509,0.505,0.510
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.896,0.902,0.907,0.909,0.911,0.916,0.918,0.917,0.919,0.920,0.918,0.919,0.917,0.917,0.923,0.923
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.857,0.861,0.876,0.887,0.886,0.908,0.924,0.927,0.935,0.926,0.926,0.927,(D),(D),(D),(D)
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.416,0.421,0.409,0.392,0.369,0.351,0.338,0.345,0.348,0.346,0.348,0.360,0.357,0.356,0.355,0.352
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.708,0.707,0.713,0.719,0.724,0.727,0.730,0.735,0.733,0.730,0.730,0.730,0.731,0.733,0.731,0.729
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.939,0.934,0.940,0.944,0.943,0.941,0.934,0.940,0.938,0.937,0.933,0.935,0.943,0.942,0.936,0.929
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",0.826,0.790,0.819,0.844,0.866,0.885,0.898,0.895,0.903,0.910,0.903,0.912,0.904,0.906,0.909,0.903
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",0.989,0.987,0.977,0.987,0.989,0.990,0.987,0.987,0.985,0.987,0.993,0.990,0.990,0.988,0.988,0.988
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",0.973,0.968,0.964,0.960,0.956,0.953,0.944,0.945,0.943,0.946,0.946,0.948,0.948,0.949,0.948,0.947
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.925,0.928,0.930,0.946,0.965,0.969,0.973,0.973,0.975,0.974,0.977,(D),(D),(D),(D)
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",0.593,0.531,0.563,0.576,0.583,0.605,0.622,0.603,0.612,0.625,0.622,0.617,0.614,0.621,0.611,0.621
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",0.448,0.441,0.441,0.441,0.440,0.440,0.435,0.451,0.434,0.439,0.439,0.439,0.441,0.440,0.439,0.438
 "49000","Utah",7,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.020,0.026,0.029,0.033,0.025,0.018,0.023,0.026,0.030,0.033,0.039,0.040,0.033,0.033,0.037,0.037
