GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.041,0.041,0.041,0.039,0.038,0.037,0.037,0.037,0.035,0.034,0.034,0.033,0.033,0.033,0.033,0.033
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.170,0.164,0.170,0.168,0.174,0.172,0.175,0.163,0.152,0.152,0.156,0.152,0.158,0.159,0.156,0.158
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.917,0.907,0.919,0.935,0.946,0.954,0.962,0.965,(D),(D),0.969,0.966,0.967,(D),0.964,0.967
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.824,0.849,0.841,0.825,0.830,0.831,0.841,0.845,0.853,0.817,0.813,0.809,0.811,0.812,0.807,0.809
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",0.513,(D),0.509,(D),0.511,0.508,0.507,(D),0.500,(D),(D),0.524,0.500,0.486,0.500,0.516
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.893,0.903,0.910,0.912,0.916,0.915,0.921,0.920,0.920,0.918,0.920,0.920,0.917,0.921,0.926,0.920
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.857,0.862,0.876,0.887,0.886,0.910,0.926,0.929,0.934,0.927,0.926,0.927,0.926,0.925,0.929,0.931
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.417,0.421,0.408,0.393,0.369,0.350,0.338,0.344,0.348,0.347,(D),0.359,0.357,0.355,(D),(D)
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.710,0.707,0.714,0.718,0.723,0.727,0.730,0.736,0.732,0.728,0.731,0.729,0.731,0.735,0.731,0.729
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.937,0.932,0.939,0.943,0.940,0.939,0.933,0.940,0.934,0.950,0.949,0.938,0.932,0.939,0.952,0.931
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",0.833,0.773,(D),(D),0.875,0.867,0.905,0.900,0.905,0.905,0.909,0.920,0.913,0.947,0.909,0.909
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",0.989,0.983,0.983,(D),0.986,0.987,0.987,0.986,0.981,0.984,0.986,0.993,0.992,0.985,0.984,0.993
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",0.973,0.967,0.968,0.960,0.955,0.954,0.945,0.944,0.942,0.947,0.948,0.948,0.950,0.948,0.946,0.946
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",(D),(D),(D),(D),0.022,0.022,0.022,0.023,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.929,0.926,0.926,0.929,(D),0.968,0.974,(D),(D),0.967,0.975,0.974,0.985,(D),(D),(D)
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",0.667,0.556,(D),0.563,0.500,0.750,0.625,0.625,0.571,0.571,0.667,0.667,0.500,0.500,0.500,0.500
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",(D),(D),(D),(D),(D),0.440,0.434,0.452,0.435,0.438,0.439,0.439,0.439,0.441,0.441,0.439
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.043,0.046,0.053,0.049,0.051,0.050,0.051,0.037,0.034,0.034,0.039,0.037,0.044,0.050,0.051,0.055
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.094,0.096,0.091,0.088,0.085,0.080,0.080,0.082,0.079,0.076,0.076,0.075,0.076,0.076,0.079,0.078
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",211,"...","  Rental and leasing","Ratio",0.447,0.430,0.444,(D),(D),(D),0.377,(D),(D),0.336,(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",212,"...","  Grantmaking and giving services","Ratio",(D),0.030,0.032,0.031,0.026,0.034,0.033,0.028,0.029,0.032,0.031,(D),(D),(D),0.032,(D)
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",213,"...","  Unions","Ratio",0.026,0.023,0.023,0.022,0.023,0.024,0.021,0.022,0.026,0.025,0.027,0.024,0.027,0.026,0.028,0.027
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",214,"...","  Government","Ratio",0.101,0.098,0.092,0.085,0.077,0.069,(D),0.076,0.072,0.061,0.063,0.062,0.064,0.061,0.061,0.063
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",215,"...","  Other support services","Ratio",0.016,(D),(D),(D),0.016,(D),(D),(D),(D),0.018,0.017,(D),0.020,0.018,0.021,0.016
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",221,"...","  Publishing","Ratio",0.449,0.451,0.469,0.456,0.453,0.450,0.451,0.446,0.437,0.432,(D),(D),0.409,0.397,(D),(D)
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",222,"...","  Motion pictures","Ratio",0.994,0.993,0.995,0.993,0.992,0.993,0.992,0.993,0.990,0.991,0.988,0.990,0.991,0.990,0.987,0.991
 "50000","Vermont",1,"SAACEmpRatio: Arts Employment Ratio",223,"...","  Sound recording","Ratio",1.000,1.000,0.900,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
