GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.040,0.039,0.036,0.034,0.033,0.031,0.030,0.030,0.029,0.029,0.028,0.027,0.027,0.026,0.026,0.028
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.195,0.203,0.189,0.191,0.194,0.193,0.191,0.182,0.164,0.165,0.159,0.162,0.153,0.159,0.154,0.153
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.913,0.907,0.919,0.935,0.945,0.956,0.965,0.964,0.962,0.970,0.968,0.964,0.967,0.964,0.968,0.967
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",0.820,0.850,0.840,0.822,0.832,(D),0.835,0.845,0.850,0.808,0.811,0.805,0.814,0.806,0.810,0.812
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",(D),(NA),(D),(D),(D),(NA),(D),(D),(D),(D),(NA),(D),0.524,0.519,0.517,0.515
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.935,(D),0.903,0.941,0.921,0.929
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.855,0.861,0.878,0.890,0.888,(D),0.921,0.929,0.935,0.928,0.925,0.928,0.926,0.925,0.924,0.933
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.417,0.422,(D),(D),(D),(D),(D),(D),0.348,0.346,0.348,0.359,0.356,0.357,0.355,0.352
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.709,(D),0.712,0.718,0.724,0.728,0.729,0.734,0.731,0.731,0.731,0.733,0.732,0.734,0.736,0.727
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.927,0.933,0.935,0.948,0.950,0.939,0.938,0.921,0.938,0.931,0.920,0.920,0.950,0.955,0.950,0.947
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",0.778,(D),(D),0.857,0.875,0.885,0.897,0.889,0.944,0.857,0.929,0.923,0.909,0.867,0.923,0.909
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",0.971,0.974,0.968,0.965,0.946,0.951,0.952,0.952,0.939,0.952,0.932,0.938,0.952,0.953,0.941,0.947
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",0.022,0.021,0.021,0.022,0.022,0.022,(D),0.022,0.022,0.023,0.023,0.023,0.024,0.023,0.023,0.024
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.926,0.929,0.930,0.946,0.965,0.968,0.974,0.974,0.974,(D),(D),(D),(D),(D),(D)
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",(D),(D),0.571,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",(D),(D),(D),(D),(D),(D),(D),0.455,0.431,0.437,(D),(D),0.441,(D),(D),(D)
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.037,0.048,0.041,0.039,0.038,0.037,0.038,0.038,0.032,0.034,0.029,0.036,0.029,0.025,0.024,0.029
 "54000","West Virginia",5,"SAACEmpRatio: Arts Employment Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.113,0.114,0.106,0.102,0.099,0.095,0.091,0.092,0.088,0.086,0.082,0.079,0.081,0.082,0.082,0.088
