GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",10,"...","Total arts employment ratio","Ratio",0.061,0.060,0.058,0.056,0.052,0.049,0.047,0.046,0.047,0.047,0.046,0.044,0.043,0.043,0.043,0.045
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",100,"..."," Core arts and cultural production","Ratio",0.436,0.418,0.424,0.423,0.422,0.417,0.427,0.433,0.423,0.410,0.404,0.393,0.390,0.388,0.388,0.403
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",111,"...","  Performing arts companies","Ratio",0.911,0.915,0.913,0.935,0.945,0.957,0.963,0.964,0.961,0.965,0.968,0.965,0.962,0.970,0.964,0.964
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",112,"...","  Promoters of performing arts and similar events","Ratio",(D),0.871,(D),(D),(D),(D),(D),(D),0.843,0.814,0.829,(D),0.815,0.809,0.815,0.815
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",113,"...","  Agents/managers for artists","Ratio",0.556,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",114,"...","  Independent artists, writers, and performers","Ratio",0.895,0.902,0.906,0.909,0.909,0.908,0.919,0.927,0.918,0.918,0.924,(D),0.919,0.919,0.920,0.917
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",120,"...","  Museums","Ratio",0.858,0.864,0.875,0.887,0.887,0.910,0.925,0.929,0.934,0.924,0.926,0.927,0.925,0.923,0.929,0.930
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",131,"...","  Advertising","Ratio",0.416,0.421,0.407,0.393,0.367,0.349,0.337,0.345,0.347,0.347,0.348,(D),(D),(D),0.356,0.350
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",132,"...","  Architectural services","Ratio",0.711,0.708,0.711,0.719,0.723,0.729,0.729,0.733,0.735,0.733,0.732,0.731,0.733,0.735,0.733,0.730
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",133,"...","  Landscape architectural services","Ratio",0.930,0.912,0.938,0.943,0.935,0.944,0.938,0.944,(D),0.938,(D),0.941,0.941,0.944,0.944,0.895
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",134,"...","  Interior design services","Ratio",0.833,0.800,0.833,0.852,0.862,0.893,0.897,0.897,0.885,0.905,0.905,0.909,0.913,0.880,0.897,0.929
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",135,"...","  Industrial design services","Ratio",0.962,0.968,1.000,0.976,0.969,1.000,0.968,0.970,0.974,(D),1.000,(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",136,"...","  Graphic design services","Ratio",1.000,(D),0.947,(D),0.957,0.962,0.949,0.925,0.919,(D),0.926,0.952,0.952,0.950,0.941,0.950
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",137,"...","  Computer systems design","Ratio",(D),(D),(D),0.020,0.024,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",138,"...","  Photography and photofinishing services","Ratio",0.927,0.924,0.930,(D),0.950,0.963,0.971,0.978,0.976,(D),0.968,0.978,(D),0.972,0.972,0.986
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",139,"...","  All other design services","Ratio",1.000,(D),1.000,(D),0.500,0.500,0.500,0.500,0.500,(D),1.000,(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",140,"...","  Fine arts education","Ratio",0.444,0.444,0.435,(D),(D),(D),0.433,0.453,0.433,0.441,0.437,0.440,0.440,0.439,0.439,0.437
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",150,"...","  Education services","Ratio",0.041,0.043,0.043,0.042,0.040,0.044,0.045,0.047,0.041,0.037,0.034,0.034,0.035,0.035,0.037,0.039
 "56000","Wyoming",7,"SAACEmpRatio: Arts Employment Ratio",200,"..."," Supporting arts and cultural production","Ratio",0.153,0.155,0.151,0.143,0.136,0.132,0.126,0.126,0.124,0.122,0.127,0.123,0.118,0.119,0.117,0.120
