GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",10,"...","Total","Location quotient",1.475,1.509,1.548,1.567,1.637,1.685,1.682,1.776,1.728,1.793,1.884,1.892,1.949,1.900,1.828,1.798
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",100,"..."," Core arts and cultural production","Location quotient",1.858,1.801,1.853,1.920,1.939,2.001,2.017,2.116,2.033,2.053,2.097,2.126,2.198,2.151,2.183,2.113
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",111,"...","  Performing arts companies","Location quotient",2.686,2.765,2.550,2.699,2.686,2.789,2.847,2.972,2.687,2.686,2.710,2.669,2.601,2.632,2.582,2.433
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",112,"...","  Promoters of performing arts and similar events","Location quotient",2.871,2.537,3.118,2.989,2.832,3.024,3.076,3.085,2.945,2.792,3.068,3.139,3.107,3.106,2.978,2.610
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",113,"...","  Agents/managers for artists","Location quotient",2.690,2.934,3.244,3.225,2.980,3.016,3.180,3.345,3.146,3.049,3.020,3.048,3.099,2.776,2.860,2.929
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",114,"...","  Independent artists, writers, and performers","Location quotient",1.615,1.510,1.458,1.683,1.684,1.874,1.644,1.663,1.598,1.607,1.442,1.529,1.626,1.548,1.799,1.731
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",120,"...","  Museums","Location quotient",1.993,1.934,2.048,2.172,2.210,2.226,2.246,2.335,2.237,2.133,2.137,2.076,2.108,2.143,2.145,2.089
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",131,"...","  Advertising","Location quotient",2.477,2.341,2.447,2.525,2.582,2.605,2.658,2.745,2.626,2.702,2.783,2.763,2.927,2.861,2.914,2.856
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",132,"...","  Architectural services","Location quotient",1.129,1.183,1.138,1.133,1.164,1.185,1.266,1.369,1.320,1.411,1.484,1.505,1.575,1.574,1.580,1.542
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",133,"...","  Landscape architectural services","Location quotient",0.522,0.549,0.579,0.609,0.585,0.587,0.682,0.791,0.818,0.668,0.743,0.742,0.774,0.759,0.745,0.692
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",134,"...","  Interior design services","Location quotient",1.629,1.524,1.468,1.447,1.570,1.549,1.646,1.785,1.742,1.781,1.842,1.866,1.956,1.940,1.886,1.783
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",135,"...","  Industrial design services","Location quotient",1.296,1.086,1.088,1.139,1.116,1.030,1.080,1.109,1.104,1.100,0.896,0.835,0.809,0.713,0.639,0.647
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",136,"...","  Graphic design services","Location quotient",1.533,1.462,1.536,1.576,1.638,1.668,1.795,1.867,1.781,1.738,1.828,1.786,1.852,1.718,1.764,1.741
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",137,"...","  Computer systems design","Location quotient",0.715,0.701,0.692,0.738,0.746,0.747,0.788,0.820,0.775,0.796,0.849,0.831,0.831,0.849,0.837,0.821
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",138,"...","  Photography and photofinishing services","Location quotient",1.337,1.307,1.401,1.459,1.533,1.583,1.678,1.823,1.713,1.683,1.822,1.832,1.892,1.797,1.834,1.816
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",139,"...","  All other design services","Location quotient",4.087,3.706,3.908,3.799,3.556,3.198,3.182,3.362,3.157,3.579,3.502,3.798,3.704,3.624,3.616,3.500
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",140,"...","  Fine arts education","Location quotient",1.751,1.778,1.918,1.954,1.934,2.034,2.055,2.170,2.145,2.085,2.168,2.131,2.147,2.112,2.153,2.083
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",150,"...","  Education services","Location quotient",1.478,1.185,1.210,0.976,1.258,1.305,1.409,1.549,1.487,1.511,1.683,1.767,1.893,1.855,1.930,2.013
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",200,"..."," Supporting arts and cultural production","Location quotient",1.409,1.468,1.501,1.510,1.596,1.639,1.634,1.727,1.695,1.770,1.876,1.884,1.938,1.884,1.785,1.764
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",211,"...","  Rental and leasing","Location quotient",0.665,0.635,0.707,0.743,0.788,0.676,0.644,0.652,0.598,0.618,0.697,0.690,0.774,0.934,1.019,1.039
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",212,"...","  Grantmaking and giving services","Location quotient",1.998,1.986,2.080,2.012,2.054,2.005,1.953,1.972,1.942,1.887,1.953,1.895,1.909,1.860,1.890,1.861
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",213,"...","  Unions","Location quotient",1.115,1.158,1.212,1.203,1.223,1.236,1.229,1.239,1.195,1.190,1.191,1.230,1.249,1.197,1.230,1.243
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",214,"...","  Government","Location quotient",0.988,1.130,1.067,0.975,1.138,1.138,1.112,1.149,1.104,1.121,1.115,1.140,1.187,1.141,1.127,1.100
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",215,"...","  Other support services","Location quotient",0.822,0.731,0.736,0.734,0.766,0.751,0.768,0.736,0.658,0.655,0.710,0.830,0.757,0.743,0.760,0.730
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",221,"...","  Publishing","Location quotient",1.576,1.602,1.681,1.717,1.772,1.734,1.731,1.777,1.606,1.491,1.473,1.395,1.398,1.351,1.288,1.212
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",222,"...","  Motion pictures","Location quotient",2.286,2.314,2.432,2.418,2.523,2.686,2.916,3.089,3.074,3.268,3.600,3.635,3.837,3.794,3.458,3.362
 "36000","New York",2,"SAACVALQ: Arts Value Added Location Quotient",223,"...","  Sound recording","Location quotient",2.659,2.416,2.800,2.787,3.028,3.117,2.721,2.467,2.391,2.507,2.361,2.273,2.424,2.370,2.378,2.356
