GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",1,"...","Personal consumption expenditures",1011821.0,1070029.3,1137444.4,1221955.0,1281280.4,1333677.0,1408977.0,1492350.8,1582926.4,1667241.0,1740937.9,1790681.3,1770156.1,1828914.3,1901821.4,1955380.6,2012235.0,2098140.9,2168716.9,2241141.1,2328038.5,2443375.0
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",2,"..."," Goods",337785.9,352419.6,379812.6,405808.7,422410.5,438195.6,462450.3,487134.9,511562.2,531773.4,548335.7,548372.0,523256.0,545436.4,574120.7,586567.2,602089.7,621639.3,630358.6,639609.2,662263.1,692420.6
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",3,"...","  Durable goods",109433.4,118348.3,129522.4,138292.5,145181.2,154519.3,161944.8,170156.9,174518.7,177411.7,181300.2,170012.3,158670.5,164382.6,170724.5,175203.8,180932.0,186687.5,192944.3,197499.9,204336.3,212271.3
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",4,"...","   Motor vehicles and parts",41122.6,44345.9,48132.5,50352.8,53788.2,57522.4,59235.6,60475.7,58954.2,55617.0,56768.6,49195.5,47058.3,51379.4,54363.1,57803.0,60164.4,62721.8,65951.3,66743.0,68652.1,71237.3
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",5,"...","   Furnishings and durable household equipment",25403.4,27307.7,30323.3,33168.4,34872.6,36916.8,39035.7,41689.0,44007.7,45963.2,45999.2,44077.8,39909.0,40458.4,41388.1,42068.3,43346.2,44607.3,46767.5,48916.6,51302.5,53429.3
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",6,"...","   Recreational goods and vehicles",27431.0,29997.9,32654.6,34889.0,36695.5,39062.8,41311.2,44213.0,46591.9,48899.6,50153.6,48818.7,44800.0,44562.5,44947.8,44783.6,45838.1,46605.5,46886.3,48455.6,50557.6,51849.6
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",7,"...","   Other durable goods",15476.3,16696.8,18412.0,19882.2,19824.9,21017.3,22362.3,23779.1,24964.9,26931.9,28378.9,27920.2,26903.2,27982.2,30025.5,30548.9,31583.2,32752.9,33339.1,33384.7,33824.1,35755.1
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",8,"...","  Nondurable goods",228352.6,234071.3,250290.3,267516.2,277229.3,283676.3,300505.6,316978.0,337043.5,354361.7,367035.5,378359.6,364585.5,381053.8,403396.2,411363.4,421157.7,434951.8,437414.4,442109.3,457926.8,480149.3
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",9,"...","   Food and beverages purchased for off-premises consumption",76215.2,77150.7,81314.3,85204.3,89820.4,92366.2,97632.5,101511.2,107064.5,111289.1,116178.1,121140.5,121477.9,124802.6,129178.4,132510.7,135215.6,139126.0,141760.9,143698.5,147380.7,153027.6
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",10,"...","   Clothing and footwear",50166.4,51855.4,54868.6,56789.3,55740.7,55951.0,57075.9,58566.4,60636.9,62675.8,62970.5,61675.2,59093.9,61772.1,65583.5,67641.1,69670.1,71521.0,72035.7,72616.5,72405.7,74707.3
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",11,"...","   Gasoline and other energy goods",20781.3,17973.0,19527.4,24505.1,23918.2,22512.5,26984.3,32213.6,38716.8,43511.1,47051.0,53372.8,39774.5,45893.4,55468.0,55495.9,54776.8,52581.7,40703.3,35785.7,39296.2,44465.3
 "92000" ,"Mideast",2,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",12,"...","   Other nondurable goods",81189.6,87092.2,94579.9,101017.5,107750.0,112846.6,118812.9,124686.9,130625.3,136885.7,140835.9,142171.1,144239.2,148585.7,153166.3,155715.7,161495.3,171723.1,182914.5,190008.6,198844.2,207949.1
