GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",1,"...","Personal consumption expenditures",15661.3,16535.6,17628.9,18847.8,19865.0,21036.0,22310.2,23942.2,25786.8,27703.0,29811.3,31188.5,30706.1,31759.3,33343.7,34814.6,36152.9,37719.1,39354.4,40839.6,43106.1,45358.7
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",2,"..."," Goods",6158.2,6408.9,6902.1,7368.1,7690.5,8210.5,8751.1,9525.6,10272.7,11194.9,12256.9,12771.0,11886.0,12306.3,12931.9,13412.4,13920.7,14663.6,14851.9,15123.3,15852.7,16569.9
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",3,"...","  Durable goods",2258.1,2406.1,2615.5,2819.1,3002.3,3322.3,3598.5,3916.1,4124.1,4389.9,4762.7,4650.2,4270.7,4379.1,4484.4,4678.4,5057.6,5430.6,5713.3,5954.5,6243.1,6425.7
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",4,"...","   Motor vehicles and parts",953.5,1010.0,1099.0,1152.4,1249.7,1348.1,1370.6,1408.4,1393.9,1388.1,1467.0,1306.5,1259.1,1388.4,1438.3,1571.4,1682.1,1795.7,1894.8,1911.7,2004.5,2065.5
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",5,"...","   Furnishings and durable household equipment",474.9,500.0,546.6,592.9,637.7,720.9,788.5,893.9,985.6,1065.5,1166.7,1147.1,996.7,978.2,972.1,1009.8,1086.9,1169.3,1257.4,1336.4,1402.1,1454.2
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",6,"...","   Recreational goods and vehicles",569.3,616.6,663.6,734.3,769.8,876.3,1017.7,1146.5,1249.9,1376.1,1494.3,1516.7,1351.5,1331.8,1378.5,1396.4,1545.6,1672.5,1720.7,1839.5,1929.3,1946.3
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",7,"...","   Other durable goods",260.5,279.5,306.3,339.4,345.1,377.0,421.6,467.2,494.6,560.2,634.8,679.9,663.4,680.7,695.5,700.8,743.0,793.2,840.4,866.9,907.2,959.7
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",8,"...","  Nondurable goods",3900.1,4002.8,4286.6,4549.0,4688.2,4888.2,5152.6,5609.5,6148.6,6805.0,7494.2,8120.8,7615.2,7927.3,8447.5,8734.0,8863.1,9233.0,9138.6,9168.8,9609.6,10144.3
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",9,"...","   Food and beverages purchased for off-premises consumption",1632.5,1713.0,1771.3,1790.6,1830.1,1918.1,2051.6,2179.1,2315.2,2508.7,2739.8,2880.8,2898.4,2905.9,3041.7,3160.7,3241.0,3444.8,3562.7,3626.2,3745.1,3943.4
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",10,"...","   Clothing and footwear",566.0,563.1,591.8,604.7,617.3,643.1,675.6,713.1,748.7,788.7,822.9,819.9,794.4,827.5,853.3,875.8,886.8,918.0,944.4,957.9,962.1,975.7
 "30000" ,"Montana",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",11,"...","   Gasoline and other energy goods",539.7,494.8,580.8,748.3,774.1,751.8,749.1,947.5,1208.1,1425.8,1672.5,2064.5,1506.3,1710.9,2006.1,2074.7,2008.1,1994.7,1562.9,1388.5,1564.4,1747.0
