GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",1,"...","Personal consumption expenditures",38193.0,40709.3,43363.3,46452.4,48501.0,50931.5,53384.5,57875.4,63079.8,68877.7,73880.2,76599.7,75295.8,77743.2,81188.3,85003.1,88321.1,93283.6,98448.0,104919.4,111095.6,119239.9
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",2,"..."," Goods",15232.8,16161.5,17633.8,18244.5,18430.1,19157.6,20080.9,22128.6,24188.2,26576.8,28952.4,28968.9,26780.8,27536.1,28659.4,30204.2,31315.7,32855.8,34001.4,35789.7,38095.3,41541.6
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",3,"...","  Durable goods",5965.9,6342.9,6873.4,7134.4,7160.7,7597.0,7751.1,8601.8,9565.5,10291.5,11330.7,10375.0,9198.7,9337.9,9614.7,10275.6,11046.7,11738.8,12650.6,13703.1,14863.5,16146.1
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",4,"...","   Motor vehicles and parts",2292.2,2439.9,2524.0,2627.9,2698.8,2913.9,2836.9,3007.7,3182.4,3318.6,3648.3,3225.1,2897.7,2990.8,3176.4,3499.3,3848.6,4087.8,4516.2,4765.2,5221.1,5607.3
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",5,"...","   Furnishings and durable household equipment",1476.5,1567.1,1678.7,1759.0,1763.8,1835.0,1887.6,2127.6,2331.0,2624.1,2917.5,2654.8,2297.3,2280.3,2249.1,2374.6,2516.1,2676.5,2871.0,3110.3,3335.6,3644.0
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",6,"...","   Recreational goods and vehicles",1540.4,1638.8,1935.3,1975.0,1937.2,2047.6,2163.0,2522.6,3001.7,3125.7,3394.1,3146.2,2691.1,2701.1,2757.1,2900.0,3111.9,3363.4,3509.4,3992.3,4406.0,4824.6
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",7,"...","   Other durable goods",656.8,697.0,735.5,772.6,760.9,800.6,863.5,943.9,1050.5,1223.1,1370.8,1348.9,1312.5,1365.7,1432.1,1501.7,1570.1,1611.0,1754.1,1835.2,1900.8,2070.1
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",8,"...","  Nondurable goods",9266.9,9818.7,10760.3,11110.1,11269.4,11560.6,12329.8,13526.8,14622.8,16285.3,17621.7,18593.9,17582.2,18198.2,19044.7,19928.6,20269.0,21117.0,21350.8,22086.6,23231.8,25395.5
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",9,"...","   Food and beverages purchased for off-premises consumption",3541.2,3922.7,4183.7,4136.1,4082.0,4122.5,4355.8,4804.1,5110.4,5598.9,6155.1,6581.9,6588.3,6673.0,6754.2,6837.2,6923.2,7336.2,7530.7,7809.6,8083.1,8528.5
 "49000" ,"Utah",7,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",10,"...","   Clothing and footwear",1710.9,1756.1,1843.7,1851.0,1863.5,1907.2,1992.7,2087.8,2208.5,2411.1,2541.2,2514.1,2505.9,2488.6,2578.4,2752.9,2839.5,2896.8,3037.4,3175.9,3277.4,3584.7
