GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",19416,20274,21392,22579,23118,23728,24672,26095,27652,29051,29996,29693,28596,29121,29951,30410,30822,31770,32438,33059,34471,35906
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7275,7495,7994,8501,8601,8707,9117,9844,10650,11321,11547,10989,9936,10151,10643,10791,10858,11176,11101,11129,11573,11972
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2713,2918,3108,3357,3406,3515,3619,3905,4170,4367,4293,3649,3146,3197,3354,3454,3548,3656,3787,3845,4015,4173
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1121,1201,1287,1335,1400,1418,1432,1493,1554,1541,1527,1153,962,1021,1100,1211,1282,1338,1431,1442,1503,1586
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",645,694,723,790,797,828,854,952,1058,1117,1037,885,743,733,774,769,767,805,831,872,926,971
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",618,679,734,836,818,853,885,973,1035,1127,1107,1018,872,858,870,866,889,900,912,916,960,971
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",329,343,364,395,391,416,447,488,522,582,623,592,570,585,609,609,610,614,614,616,625,644
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4561,4577,4885,5145,5195,5192,5499,5939,6480,6954,7254,7340,6790,6954,7290,7337,7310,7520,7314,7284,7558,7799
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1716,1732,1823,1826,1884,1908,2001,2171,2326,2454,2562,2613,2540,2546,2561,2568,2559,2659,2683,2711,2780,2829
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",765,767,798,835,835,851,881,925,980,1024,1035,989,949,974,998,1014,1024,1046,1057,1057,1059,1079
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",621,542,589,719,670,595,681,776,964,1075,1187,1283,908,1011,1235,1277,1260,1200,921,804,906,1014
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1460,1535,1676,1764,1805,1838,1936,2066,2209,2401,2470,2456,2393,2422,2495,2479,2468,2615,2653,2711,2814,2877
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",12141,12780,13398,14078,14518,15021,15555,16251,17002,17729,18449,18705,18660,18970,19307,19619,19964,20594,21337,21930,22898,23934
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",11944,12566,13146,13798,14216,14701,15261,15913,16740,17347,17971,18161,18157,18478,18791,19071,19393,20015,20766,21319,22271,23268
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",3511,3649,3753,3920,4119,4220,4306,4477,4694,4940,5149,5356,5626,5748,5827,5860,5969,6176,6459,6674,6849,7030
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2393,2450,2524,2668,2863,3135,3367,3569,3886,4007,4184,4388,4568,4721,4795,4905,4948,4979,5169,5329,5584,5851
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",742,797,851,894,868,843,855,877,928,980,998,975,883,894,983,1021,1044,1095,1108,1137,1206,1262
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",714,765,836,839,859,883,927,997,1038,1136,1195,1172,1135,1131,1089,1122,1147,1193,1228,1269,1333,1383
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1423,1467,1535,1612,1605,1633,1716,1851,2019,2151,2270,2221,2113,2127,2195,2263,2333,2445,2600,2649,2832,3004
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1796,1919,2069,2251,2199,2219,2253,2264,2269,2147,2100,1971,1728,1722,1725,1700,1757,1850,1927,1918,2045,2140
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1365,1519,1579,1614,1702,1769,1838,1878,1907,1986,2074,2079,2104,2136,2176,2201,2196,2278,2275,2342,2422,2598
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",197,214,252,280,302,320,294,338,262,382,478,543,503,492,517,548,571,578,571,611,627,666
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",1353,1467,1529,1588,1666,1758,1837,2001,2049,2220,2395,2501,2528,2592,2650,2725,2789,2867,2946,3073,3149,3251
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1156,1252,1277,1308,1365,1438,1543,1664,1787,1837,1917,1957,2024,2100,2134,2177,2218,2288,2376,2462,2522,2585
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
