GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",21212,22150,23411,25112,25915,26676,27748,29356,31059,32764,34297,34614,33195,34274,35614,36757,37484,39014,40743,42549,44502,46981
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",6866,7154,7735,8439,8638,8898,9227,9820,10364,10813,11150,10818,9815,10162,10729,11114,11214,11566,11834,12011,12504,13180
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2500,2740,3044,3390,3488,3602,3687,3936,4133,4233,4251,3785,3320,3414,3536,3703,3761,3896,4147,4253,4455,4715
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",864,973,1098,1156,1233,1312,1310,1342,1368,1303,1257,1026,879,917,987,1094,1153,1214,1321,1364,1431,1452
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",538,584,655,735,776,804,831,886,945,983,961,848,753,762,773,776,777,807,861,857,892,966
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",793,857,937,1118,1113,1101,1134,1245,1323,1419,1464,1361,1189,1214,1219,1242,1239,1260,1329,1406,1497,1619
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",305,326,353,382,365,385,412,462,497,528,570,551,499,520,557,590,592,615,636,626,634,678
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4367,4415,4691,5049,5150,5296,5540,5884,6232,6579,6899,7033,6495,6749,7193,7411,7453,7670,7687,7757,8049,8465
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1684,1692,1788,1873,1957,2012,2083,2148,2253,2361,2510,2561,2468,2494,2589,2658,2682,2774,2832,2838,2885,2987
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",942,972,1009,1059,1014,1045,1055,1156,1215,1193,1211,1164,1042,1087,1156,1221,1217,1263,1294,1309,1323,1389
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",450,392,420,514,494,484,551,666,772,869,919,1042,739,854,1067,1090,1048,998,762,704,815,927
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1291,1359,1474,1603,1685,1756,1851,1914,1991,2157,2260,2265,2246,2314,2380,2442,2506,2635,2800,2907,3027,3161
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",14346,14996,15676,16673,17276,17778,18521,19536,20695,21951,23146,23796,23380,24112,24885,25643,26271,27449,28909,30539,31998,33801
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",14039,14682,15301,16215,16722,17120,17886,18952,20109,21266,22313,22870,22476,23192,23915,24562,25141,26286,27735,29257,30670,32382
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",4603,4810,4993,5242,5566,5699,5864,6128,6523,6973,7271,7566,7763,7861,8029,8166,8319,8613,9034,9414,9766,10118
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2878,2948,2972,3074,3199,3403,3622,3857,4104,4317,4615,4867,4987,5398,5586,5707,5808,6018,6408,6838,7129,7543
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",876,909,956,1044,1025,986,1004,1054,1129,1207,1271,1257,1153,1175,1251,1318,1399,1482,1540,1659,1782,1897
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",733,745,840,889,912,925,1013,1123,1185,1252,1313,1323,1252,1307,1307,1369,1397,1453,1534,1621,1707,1780
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1340,1414,1455,1557,1596,1649,1737,1877,2006,2153,2288,2348,2232,2270,2363,2469,2562,2756,2997,3211,3364,3618
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1973,2119,2191,2347,2227,2209,2265,2380,2521,2576,2654,2570,2305,2381,2488,2537,2655,2793,2943,3016,3216,3466
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1637,1736,1894,2062,2198,2250,2380,2533,2641,2788,2902,2939,2783,2800,2892,2997,3000,3171,3279,3498,3706,3959
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",307,315,375,458,554,658,635,585,585,685,833,926,905,920,970,1081,1130,1163,1175,1282,1328,1419
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",1715,1758,1884,2064,2291,2542,2595,2641,2785,2965,3331,3564,3680,3821,4029,4355,4462,4586,4776,5079,5257,5498
 "06000" ,"California",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1408,1443,1509,1607,1737,1883,1959,2056,2199,2280,2498,2638,2776,2901,3058,3273,3332,3423,3601,3797,3929,4080
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
