GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",20159,21157,22330,23736,24544,25318,26342,27630,28963,30128,31230,31891,31364,32272,33504,34350,35012,36238,37388,38540,40019,41729
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7365,7622,8144,8599,8695,8872,9124,9526,9811,10101,10409,10349,9796,10206,10808,11078,11261,11529,11628,11812,12285,12740
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2687,2858,3094,3206,3241,3361,3375,3492,3516,3488,3553,3305,3087,3193,3327,3443,3548,3683,3840,3975,4129,4255
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1144,1206,1307,1300,1350,1382,1331,1308,1253,1148,1146,1019,976,1049,1112,1175,1219,1300,1378,1403,1453,1504
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",598,633,681,736,735,762,776,816,834,831,823,764,692,702,721,743,763,788,845,896,944,970
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",612,663,722,764,764,811,838,911,950,990,1030,980,891,893,913,930,958,972,972,1022,1070,1092
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",333,356,384,406,392,406,431,456,479,519,555,542,527,549,582,595,608,622,646,654,662,689
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4679,4763,5050,5393,5453,5512,5749,6034,6296,6613,6856,7045,6709,7013,7481,7635,7714,7846,7787,7837,8156,8485
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1733,1748,1801,1875,1929,1958,2018,2104,2166,2239,2326,2396,2396,2418,2508,2570,2587,2645,2694,2736,2823,2904
 "93000" ,"Great Lakes",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",869,901,934,953,933,917,927,936,952,964,950,930,894,925,953,979,983,999,1015,1028,1026,1051
