GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",21366,21790,22699,24157,24885,25566,27025,28510,30601,32348,33736,34980,34425,35336,36697,38020,38962,40844,42258,44001,46279,48759
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7327,7235,7738,8215,8512,8741,9271,9980,10654,11143,11503,11583,11208,11387,11812,12086,12374,12830,12983,13421,14134,14933
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2230,2262,2490,2705,2871,3105,3421,3721,3934,4031,4076,3847,3540,3539,3670,3845,3974,4129,4265,4453,4734,4991
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",732,767,863,957,1033,1187,1339,1371,1351,1279,1233,1013,896,907,964,1028,1091,1147,1224,1251,1295,1325
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",508,507,554,595,649,687,763,849,943,963,964,916,827,818,821,833,854,892,932,978,1039,1094
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",624,633,702,769,831,887,948,1097,1191,1299,1366,1408,1334,1303,1301,1368,1404,1448,1462,1570,1718,1814
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",366,355,370,384,358,344,372,403,449,489,513,510,483,511,584,615,625,642,646,655,682,758
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",5097,4974,5248,5510,5641,5636,5849,6259,6720,7112,7427,7736,7667,7848,8142,8241,8400,8701,8718,8968,9400,9942
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",2163,2119,2227,2321,2436,2470,2506,2623,2793,2926,3059,3173,3301,3338,3451,3441,3561,3679,3754,3871,4099,4345
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",815,757,753,758,715,651,664,687,738,749,745,734,698,733,794,843,828,864,868,882,871,966
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",425,373,400,486,441,414,475,559,658,761,803,908,651,735,844,827,777,718,523,498,553,632
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1694,1724,1869,1945,2049,2102,2205,2391,2532,2676,2820,2920,3017,3043,3053,3131,3233,3441,3573,3717,3877,3999
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",14039,14555,14962,15942,16373,16825,17754,18530,19947,21206,22233,23398,23217,23949,24885,25934,26588,28013,29275,30581,32145,33827
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",13344,13746,14181,15060,15435,15800,16647,17407,18700,19735,20754,21769,21640,22389,23293,24198,24867,26184,27424,28572,30049,31590
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",3912,4108,4350,4644,4898,5032,5191,5409,5754,6142,6490,6976,7071,7394,7781,8041,8286,8720,9139,9514,9927,10302
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",3158,3184,3210,3289,3493,3664,3983,4048,4405,4509,4786,5037,5137,5100,5110,5327,5389,5649,6031,6441,6842,7264
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",717,755,780,889,830,821,860,923,982,1015,1010,1027,962,1008,1124,1190,1264,1308,1315,1389,1473,1568
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",756,746,752,814,814,814,842,902,962,1012,1056,1103,1087,1133,1141,1291,1363,1410,1429,1440,1493,1541
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1115,1091,1105,1214,1173,1195,1298,1438,1554,1666,1737,1720,1645,1726,1847,1996,2080,2201,2325,2445,2601,2725
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1500,1583,1687,1851,1801,1806,1861,1962,2138,2266,2447,2582,2517,2760,2930,2918,2992,3204,3365,3444,3631,3891
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",2187,2277,2297,2359,2427,2468,2612,2724,2904,3124,3229,3323,3220,3268,3361,3435,3492,3692,3820,3898,4081,4299
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",695,809,781,883,939,1025,1108,1123,1248,1471,1479,1629,1577,1561,1592,1736,1721,1830,1851,2009,2096,2237
 "15000" ,"Hawaii",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",2229,2424,2399,2578,2693,2878,3045,3167,3462,3829,3924,4165,4249,4340,4478,4764,4826,5123,5365,5749,5996,6313
