GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",18569,19530,20625,21757,22364,22920,24007,25399,26674,27976,29016,29955,29783,30569,31850,32709,33362,34501,35361,36361,37706,38944
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7198,7454,7986,8397,8452,8542,8966,9626,10047,10629,10967,11185,10791,11156,11945,12237,12438,12733,12659,12842,13300,13641
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2655,2840,3036,3091,3124,3199,3305,3512,3509,3574,3626,3490,3433,3544,3683,3825,3963,4060,4175,4259,4373,4455
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1177,1266,1352,1331,1392,1387,1352,1383,1343,1276,1316,1212,1223,1331,1379,1468,1523,1587,1689,1716,1762,1808
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",543,576,624,653,655,693,722,774,782,796,786,766,731,721,743,768,788,803,822,874,910,922
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",603,652,694,721,711,743,826,922,944,1020,1030,1010,974,971,1028,1043,1091,1095,1086,1080,1102,1115
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",332,346,366,385,367,376,404,432,440,482,494,501,505,520,533,546,561,575,578,589,598,610
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4543,4613,4950,5306,5328,5343,5661,6114,6538,7055,7341,7696,7358,7612,8262,8412,8475,8673,8484,8583,8927,9185
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1616,1668,1756,1814,1862,1845,1905,2010,2103,2198,2308,2415,2493,2447,2595,2664,2707,2818,2905,2991,3061,3100
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",739,760,796,810,796,787,806,825,844,859,838,848,855,874,871,881,878,887,897,908,906,937
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",732,659,748,932,883,816,923,1115,1321,1504,1636,1875,1386,1615,1990,1995,1981,1912,1533,1381,1543,1717
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1456,1527,1650,1750,1787,1895,2028,2164,2270,2495,2559,2558,2623,2675,2805,2872,2910,3055,3148,3303,3417,3431
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",11371,12076,12638,13360,13912,14377,15042,15774,16627,17347,18049,18769,18992,19414,19906,20471,20924,21768,22702,23519,24405,25304
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",10789,11398,11910,12584,13047,13494,14098,14871,15720,16390,17131,17723,17882,18258,18697,19195,19627,20446,21345,22100,22934,23743
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",2876,2994,3132,3346,3564,3654,3823,4006,4313,4516,4679,4776,4782,4815,4910,5041,5226,5417,5590,5832,6066,6278
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2698,2876,3015,3192,3429,3667,3812,4042,4279,4478,4680,4904,5086,5223,5348,5481,5533,5800,6111,6325,6431,6564
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",562,604,648,665,664,646,646,679,720,762,799,817,810,806,827,842,872,929,953,968,999,1020
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",837,870,901,874,865,882,928,989,1011,1067,1146,1191,1234,1263,1248,1297,1331,1356,1433,1528,1550,1597
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1031,1077,1109,1193,1205,1254,1314,1386,1462,1530,1598,1668,1653,1660,1728,1814,1869,1938,2036,2108,2159,2242
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1101,1180,1273,1419,1388,1432,1502,1623,1728,1758,1856,1935,1852,1962,2108,2204,2292,2466,2644,2736,3021,3202
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1683,1798,1832,1895,1932,1959,2073,2146,2206,2281,2373,2431,2466,2529,2528,2517,2503,2541,2579,2603,2708,2840
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",582,678,728,776,865,883,943,902,907,957,918,1046,1111,1156,1209,1276,1297,1322,1357,1419,1471,1560
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",2098,2216,2297,2378,2572,2696,2804,2844,2924,3001,3023,3207,3382,3509,3623,3756,3813,3867,4018,4191,4343,4543
 "19000" ,"Iowa",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1517,1539,1569,1602,1707,1813,1860,1942,2017,2044,2105,2161,2272,2353,2415,2479,2517,2546,2662,2772,2872,2982
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
