GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",21327,22370,23422,25187,25980,26756,27812,29226,30800,32255,33665,34267,33418,34336,35477,36236,36868,38372,39835,41213,42979,45085
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7338,7548,7990,8615,8696,8843,9065,9558,9976,10414,10907,10674,10028,10380,10946,11124,11265,11517,11726,11964,12489,13032
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2752,2912,3142,3350,3387,3497,3488,3633,3727,3739,3937,3595,3311,3408,3548,3630,3739,3844,4024,4185,4336,4462
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1140,1211,1327,1331,1403,1415,1382,1383,1364,1277,1292,1132,1070,1119,1175,1232,1268,1336,1421,1446,1471,1516
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",602,626,660,749,756,787,805,838,879,883,904,824,739,743,752,768,797,822,887,945,995,1010
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",635,672,725,805,787,842,828,898,941,994,1107,1025,924,942,974,978,1000,993,990,1058,1111,1144
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",376,402,430,465,441,454,473,513,542,584,634,613,579,605,647,651,673,693,726,735,760,791
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4585,4636,4849,5265,5310,5345,5577,5925,6249,6675,6970,7079,6717,6972,7398,7495,7526,7673,7702,7779,8153,8570
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1596,1600,1638,1763,1817,1847,1932,2048,2136,2263,2376,2396,2350,2355,2434,2452,2478,2542,2601,2630,2724,2831
 "17000" ,"Illinois",3,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",980,1016,1030,1090,1056,1031,1044,1081,1130,1144,1142,1117,1054,1091,1142,1163,1169,1200,1233,1251,1253,1298
