GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",18081,19128,20347,21603,22377,22916,23959,25298,26512,28039,29409,30160,29564,29900,31087,31926,32499,33567,34439,35324,36478,37897
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7306,7650,8153,8489,8602,8560,8880,9310,9716,10253,10766,10833,10238,10496,11075,11460,11608,11861,11882,11992,12234,12591
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2611,2803,2989,3031,3094,3118,3182,3382,3373,3499,3694,3551,3338,3404,3458,3660,3737,3840,4005,4136,4206,4304
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1127,1205,1276,1266,1308,1324,1284,1291,1277,1256,1300,1173,1112,1190,1219,1348,1356,1389,1456,1469,1496,1551
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",541,588,621,660,668,683,732,812,815,884,929,897,831,820,826,858,876,936,982,1056,1082,1089
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",627,673,736,734,751,748,791,882,888,925,987,998,927,919,910,931,975,984,1016,1064,1080,1101
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",316,337,356,372,366,362,375,397,394,434,478,483,468,475,504,522,529,532,551,548,548,564
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4695,4847,5164,5457,5508,5442,5698,5928,6343,6754,7072,7282,6900,7092,7617,7800,7871,8020,7877,7856,8028,8287
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1811,1869,1959,2025,2041,2008,2103,2168,2366,2464,2595,2674,2662,2614,2748,2784,2793,2860,2915,2950,3008,3034
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",739,792,800,819,820,805,800,780,790,833,873,871,834,853,880,901,901,909,922,929,925,945
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",568,510,574,689,652,605,700,809,973,1093,1170,1283,939,1095,1363,1376,1401,1364,1071,955,1037,1147
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1576,1676,1831,1924,1995,2025,2095,2172,2214,2364,2434,2454,2466,2530,2626,2740,2776,2887,2969,3021,3058,3161
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",10775,11478,12194,13114,13775,14356,15079,15988,16796,17786,18643,19327,19326,19404,20012,20466,20891,21706,22557,23332,24244,25307
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",10477,11092,11710,12574,13202,13782,14464,15354,16227,17088,17999,18564,18558,18633,19168,19548,19980,20775,21633,22347,23218,24205
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",3080,3230,3347,3597,3832,3911,4049,4242,4548,4759,4895,5036,5100,5077,5180,5257,5408,5629,5841,6109,6350,6638
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2785,2878,3030,3152,3426,3649,3849,4134,4378,4547,4810,5049,5188,5282,5489,5705,5745,5865,6091,6189,6352,6592
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",599,625,641,664,691,672,679,700,741,792,804,830,806,798,821,828,847,886,911,945,964,995
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",497,544,636,736,773,877,949,1032,1052,1131,1271,1259,1194,1125,1107,1127,1185,1235,1254,1271,1290,1310
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1103,1164,1152,1198,1233,1272,1346,1462,1521,1630,1647,1684,1690,1716,1779,1855,1892,1975,2096,2141,2210,2300
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1103,1192,1316,1482,1429,1470,1545,1679,1831,1947,2147,2275,2188,2281,2378,2377,2483,2647,2855,2990,3209,3414
 "20000" ,"Kansas",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1309,1460,1587,1744,1820,1931,2047,2104,2156,2282,2425,2431,2392,2353,2414,2399,2420,2538,2584,2702,2844,2954
