GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",18600,19473,20459,21734,23127,24457,25669,27207,28824,30436,31931,33499,33757,35704,38788,42330,44349,46536,46342,45871,46814,48499
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7678,7842,8271,8880,9331,9747,10331,10995,11668,12538,13213,13650,13175,14200,15735,17255,18223,18907,17958,17128,17214,17706
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2972,3058,3194,3369,3598,3840,4001,4200,4314,4527,4787,4547,4613,4970,5430,6079,6308,6554,6589,6507,6520,6613
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1323,1275,1335,1376,1508,1552,1559,1572,1551,1496,1589,1542,1623,1851,2047,2279,2394,2492,2499,2382,2413,2468
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",612,652,668,702,730,777,816,875,945,985,1024,984,969,1016,1106,1273,1322,1387,1425,1397,1361,1365
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",698,768,811,888,957,1082,1161,1260,1292,1440,1512,1353,1337,1375,1486,1657,1707,1734,1698,1809,1856,1874
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",339,362,380,403,403,429,466,493,525,606,661,669,683,728,790,870,884,940,967,919,890,906
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4707,4784,5077,5511,5733,5907,6329,6794,7355,8011,8426,9103,8563,9230,10306,11176,11915,12353,11368,10621,10694,11093
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1682,1695,1784,1837,1908,1983,2072,2177,2237,2330,2387,2486,2550,2566,2696,2899,3062,3162,3174,3159,3144,3188
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",841,864,857,866,866,877,893,901,936,1015,1040,1084,1041,1111,1192,1320,1344,1439,1451,1429,1332,1348
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",856,784,849,1101,1108,1061,1270,1511,1862,2095,2277,2734,2094,2529,3311,3699,4105,4165,3063,2359,2511,2790
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1328,1441,1586,1707,1850,1986,2094,2206,2319,2572,2722,2799,2878,3024,3107,3258,3404,3588,3680,3674,3707,3767
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",10922,11631,12188,12855,13796,14710,15338,16213,17156,17898,18718,19848,20582,21504,23053,25075,26126,27629,28384,28743,29600,30793
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",10394,11015,11488,12084,12912,13748,14353,15220,16196,16897,17798,18788,19412,20270,21740,23637,24656,26124,26838,27126,27920,29020
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",2499,2616,2764,2943,3150,3222,3351,3512,3754,3929,4117,4252,4240,4328,4563,4958,5141,5257,5599,6084,6324,6669
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2966,3161,3250,3388,3759,4154,4231,4500,4781,5000,5292,5679,6080,6258,6616,6837,7082,7442,7896,8174,8445,8700
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",569,583,611,635,652,641,655,687,731,751,799,861,872,945,1103,1296,1463,1708,1606,1444,1406,1472
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",767,785,756,796,874,969,992,1030,1059,1067,1094,1166,1235,1308,1377,1594,1745,1903,1850,1740,1753,1794
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1116,1148,1198,1248,1272,1347,1433,1513,1627,1732,1875,1993,2076,2180,2413,2780,2921,3119,3090,2925,2908,3005
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1062,1193,1321,1505,1523,1677,1838,2084,2257,2355,2469,2617,2593,2804,3071,3335,3460,3693,3903,3914,4113,4255
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1416,1528,1588,1569,1681,1738,1853,1895,1986,2061,2151,2221,2315,2447,2597,2836,2844,3002,2893,2845,2972,3126
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",528,616,700,771,884,962,985,993,960,1001,921,1060,1171,1234,1312,1438,1470,1505,1546,1616,1680,1774
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",1738,1850,2029,2184,2397,2603,2620,2691,2710,2753,2719,2944,3194,3397,3573,3767,3817,3924,4108,4281,4448,4641
 "38000" ,"North Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1210,1234,1329,1413,1513,1641,1636,1698,1751,1752,1798,1884,2023,2163,2261,2329,2347,2418,2562,2665,2768,2867
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
