GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",24306,25582,26877,28730,30207,31719,33395,35111,37104,39150,40504,41231,40509,41275,42449,43554,44661,46223,47694,49047,50541,52729
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",8231,8489,9098,9685,10184,10695,11248,11679,12270,12799,13056,12813,12065,12429,12928,13152,13480,13947,14208,14378,14809,15335
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2862,3086,3378,3614,3811,4131,4350,4453,4567,4736,4694,4349,4001,4120,4212,4287,4457,4598,4762,4883,5025,5208
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1021,1086,1169,1231,1320,1416,1435,1455,1407,1336,1359,1183,1115,1234,1321,1405,1487,1541,1614,1634,1670,1729
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",662,716,804,877,918,953,1083,1066,1140,1255,1153,1079,960,964,960,960,993,1019,1068,1129,1195,1261
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",696,765,829,877,928,1045,1087,1156,1225,1310,1322,1254,1135,1120,1107,1092,1135,1165,1172,1219,1260,1273
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",484,519,576,629,645,716,745,777,795,834,860,833,791,802,824,829,842,873,907,900,900,944
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",5368,5404,5720,6071,6373,6564,6898,7226,7703,8063,8361,8464,8065,8309,8716,8865,9023,9349,9446,9495,9784,10127
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1891,1875,1948,2021,2210,2330,2423,2543,2640,2723,2837,2913,2868,2916,2988,3014,3080,3211,3271,3281,3379,3472
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",1255,1258,1315,1359,1313,1328,1337,1353,1395,1426,1457,1401,1326,1361,1395,1459,1463,1487,1514,1516,1504,1534
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",479,407,425,510,504,457,556,664,821,948,1047,1154,851,972,1211,1237,1219,1167,904,780,843,906
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1742,1864,2032,2181,2346,2449,2583,2666,2848,2965,3021,2996,3020,3061,3122,3155,3261,3484,3756,3918,4058,4215
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",16075,17093,17779,19045,20023,21024,22147,23432,24834,26351,27449,28419,28444,28846,29521,30402,31182,32276,33486,34669,35732,37393
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",15320,16232,16872,18018,18894,19771,20751,21954,23208,24553,25597,26315,26307,26629,27196,27924,28619,29645,30798,31816,32768,34251
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",4947,5147,5417,5642,6001,6213,6479,6851,7287,7785,8171,8497,8633,8670,8801,8909,9088,9369,9735,10085,10400,10784
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",3130,3317,3315,3534,3757,4104,4327,4599,4841,5042,5276,5473,5760,5807,5889,6186,6311,6529,6849,7111,7288,7591
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",1208,1300,1347,1441,1461,1433,1457,1491,1537,1608,1598,1577,1513,1497,1613,1650,1751,1824,1857,1906,1950,2009
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",905,941,996,1051,1133,1233,1295,1364,1441,1549,1666,1764,1750,1782,1815,1899,1969,1990,2056,2120,2122,2204
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1255,1287,1320,1383,1431,1493,1587,1678,1767,1886,1930,1955,1897,1938,1972,2042,2111,2205,2276,2360,2429,2611
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1753,1935,2119,2377,2264,2262,2332,2515,2684,2781,2875,2887,2613,2719,2833,2837,2957,3103,3257,3222,3367,3569
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",2123,2306,2358,2591,2847,3033,3274,3456,3650,3901,4082,4162,4141,4216,4273,4401,4432,4625,4768,5011,5212,5483
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",755,860,907,1027,1129,1253,1396,1478,1627,1798,1851,2104,2137,2217,2324,2477,2563,2631,2688,2854,2965,3142
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",2861,3063,3174,3403,3650,3987,4291,4628,4976,5311,5470,5751,5894,6043,6168,6384,6566,6765,7031,7409,7693,8061
 "34000" ,"New Jersey",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",2106,2203,2267,2376,2521,2734,2895,3150,3349,3513,3619,3647,3758,3826,3844,3906,4003,4134,4343,4555,4729,4919
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
