GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",17350,18097,19125,20029,20714,21343,22313,23770,25156,26420,27454,28406,27875,28443,29444,30227,30798,32055,32975,33757,34687,36258
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",6627,6831,7326,7666,7798,7976,8356,8970,9428,9931,10380,10516,9682,9837,10301,10527,10674,10999,11033,11026,11297,11888
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2495,2628,2822,2900,2983,3109,3177,3422,3515,3571,3712,3500,3145,3134,3190,3334,3450,3583,3717,3773,3855,4022
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1029,1101,1176,1197,1280,1350,1321,1368,1392,1345,1376,1179,1025,1072,1131,1231,1298,1362,1446,1455,1480,1543
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",570,595,630,656,651,667,697,751,775,805,831,777,669,653,657,683,700,725,746,758,786,820
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",520,540,598,612,623,643,676,775,817,845,883,915,828,780,762,767,784,801,816,837,858,897
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",376,392,417,435,429,449,482,528,531,576,622,629,622,629,640,653,668,695,708,724,731,763
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4132,4202,4504,4766,4814,4867,5179,5548,5913,6360,6668,7016,6537,6703,7111,7193,7224,7416,7316,7252,7441,7866
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1610,1652,1733,1765,1788,1773,1861,1952,2071,2214,2343,2442,2439,2422,2514,2554,2580,2669,2746,2762,2782,2896
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",656,660,697,688,705,728,761,788,759,778,792,778,763,767,768,789,789,810,822,831,841,855
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",628,571,635,807,761,747,862,1019,1237,1391,1476,1731,1254,1408,1692,1690,1683,1640,1367,1202,1301,1518
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1238,1318,1439,1507,1561,1620,1694,1789,1847,1977,2056,2064,2081,2106,2137,2161,2171,2297,2382,2457,2518,2597
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",10724,11266,11799,12363,12917,13367,13957,14800,15727,16488,17074,17890,18193,18606,19143,19700,20124,21056,21942,22731,23390,24370
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",10380,10816,11295,11817,12330,12766,13311,14161,15026,15707,16328,17056,17340,17742,18227,18724,19129,20040,20912,21644,22259,23163
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",3025,3140,3262,3451,3679,3738,3862,4063,4304,4490,4598,4755,4778,4793,4922,5077,5261,5492,5746,5925,6162,6417
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2475,2513,2571,2620,2784,3005,3114,3539,3850,3896,4086,4417,4750,4919,5075,5242,5248,5530,5779,6108,6213,6448
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",616,652,680,730,758,752,761,768,803,815,849,870,791,809,846,867,895,900,908,936,972,1012
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",736,810,845,805,817,840,899,940,968,1045,1146,1222,1258,1265,1252,1317,1336,1371,1450,1495,1517,1542
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1242,1266,1304,1389,1423,1499,1580,1667,1754,1875,1939,2002,2010,2037,2084,2151,2223,2364,2478,2547,2598,2690
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1123,1206,1297,1424,1381,1407,1474,1541,1666,1749,1823,1863,1809,1973,2091,2117,2207,2357,2466,2530,2609,2775
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1162,1229,1335,1397,1488,1525,1621,1644,1682,1838,1886,1927,1944,1946,1957,1952,1959,2027,2085,2103,2188,2279
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",344,451,504,546,587,601,647,639,701,781,746,834,853,864,916,976,995,1017,1030,1087,1131,1207
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",1420,1594,1697,1785,1870,1934,2049,2125,2325,2477,2481,2645,2760,2848,2960,3103,3155,3268,3425,3643,3787,3973
 "35000" ,"New Mexico",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1077,1144,1193,1239,1284,1333,1403,1486,1623,1696,1735,1811,1907,1984,2044,2127,2160,2251,2395,2555,2656,2766
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
