GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",22269,23450,24805,26461,27447,28225,29653,31446,33460,35264,36810,37731,37052,38113,39630,40742,42077,44274,45833,47668,49857,52701
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7035,7304,7821,8294,8583,8807,9210,9734,10302,10720,11084,11105,10534,10951,11537,11727,12121,12646,12859,13076,13676,14478
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",1988,2140,2332,2485,2598,2725,2845,3000,3107,3173,3312,3130,2881,2946,3054,3091,3202,3332,3419,3492,3640,3828
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",662,714,772,805,856,915,957,977,970,920,944,821,775,826,872,918,950,994,1034,1046,1084,1130
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",497,535,595,652,684,722,739,807,845,878,924,900,811,822,849,862,894,927,967,1003,1052,1093
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",542,585,628,666,701,719,753,791,835,867,899,871,783,760,742,710,718,741,741,762,807,857
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",287,308,337,361,357,369,395,424,457,508,545,538,512,537,591,603,640,670,676,681,696,747
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",5047,5164,5489,5809,5985,6082,6366,6735,7195,7547,7771,7974,7653,8005,8483,8636,8919,9314,9441,9585,10036,10650
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1483,1490,1568,1624,1697,1736,1797,1884,2044,2121,2200,2285,2297,2378,2479,2562,2634,2727,2795,2850,2952,3117
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",1195,1231,1301,1340,1317,1321,1341,1385,1442,1522,1522,1489,1405,1485,1610,1661,1751,1810,1807,1833,1836,1918
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",371,319,346,441,425,401,481,560,664,740,798,922,680,775,924,894,890,862,667,575,649,747
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1997,2125,2274,2405,2547,2624,2747,2906,3044,3164,3252,3280,3271,3367,3470,3519,3644,3915,4172,4326,4598,4869
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",15234,16145,16983,18167,18863,19419,20443,21711,23158,24543,25727,26626,26518,27162,28092,29015,29956,31628,32973,34591,36181,38223
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",14752,15553,16351,17455,18059,18535,19525,20747,22107,23401,24564,25281,25160,25773,26633,27389,28315,29920,31240,32727,34236,36139
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",4138,4306,4510,4752,5077,5212,5428,5660,6120,6438,6757,7010,7084,7118,7313,7391,7582,7934,8297,8571,8893,9267
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",3464,3634,3777,3933,4197,4480,4766,5074,5274,5495,5744,5908,6184,6333,6455,6543,6690,6966,7174,7571,7957,8551
 "36000" ,"New York",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",1063,1130,1189,1271,1272,1228,1271,1358,1425,1506,1577,1634,1607,1656,1765,1828,1925,2060,2147,2238,2345,2456
