GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",16206,16957,17774,18833,19660,20039,21013,22072,23590,24959,26107,27158,26476,27238,28492,29423,30008,31141,31602,32167,32966,34500
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",6638,6835,7232,7643,7831,7810,8122,8569,9156,9756,10216,10459,9875,10248,10853,11238,11471,11730,11546,11502,11707,12144
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2513,2704,2898,2961,3022,3063,3171,3321,3479,3554,3768,3569,3337,3409,3503,3669,3776,3846,3916,3919,3962,4082
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1217,1305,1411,1415,1477,1503,1516,1518,1511,1465,1558,1394,1327,1410,1468,1611,1690,1723,1762,1716,1706,1761
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",488,529,568,588,596,604,639,688,752,797,832,816,762,751,762,770,786,821,851,867,883,919
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",531,581,615,632,634,636,679,758,839,884,944,925,832,813,809,809,813,804,789,824,860,869
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",277,289,305,325,315,319,337,356,377,408,434,434,416,435,464,480,487,498,514,512,513,533
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4125,4131,4333,4682,4809,4747,4951,5248,5677,6201,6448,6889,6539,6839,7350,7569,7696,7884,7631,7582,7745,8062
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1485,1491,1524,1558,1584,1543,1588,1642,1734,1799,1883,1971,2003,2018,2087,2118,2208,2321,2368,2383,2394,2440
 "40000" ,"Oklahoma",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",741,741,767,810,813,810,828,842,885,919,925,921,897,916,953,982,969,965,973,977,975,985
