GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",20890,21801,23045,24214,24721,25475,26323,27960,29527,31097,32221,32497,31457,32123,33279,34009,35010,36540,38021,39160,40870,42717
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7828,8052,8575,8914,8894,9042,9274,9975,10550,11186,11525,11192,10276,10578,11023,11267,11648,12127,12318,12406,12904,13530
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2931,3116,3386,3412,3378,3494,3536,3788,3983,4121,4190,3713,3284,3367,3439,3552,3742,3934,4107,4266,4548,4729
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1217,1299,1383,1347,1345,1373,1300,1331,1354,1314,1308,1053,921,956,975,1043,1101,1156,1255,1301,1386,1418
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",678,713,787,798,780,798,831,917,995,1060,1068,970,837,853,848,876,929,992,1052,1102,1187,1246
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",770,821,902,945,933,989,1059,1164,1228,1300,1349,1245,1095,1112,1141,1144,1206,1257,1260,1331,1437,1498
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",265,282,314,322,320,334,347,376,406,447,465,444,430,447,475,489,505,530,541,532,538,566
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4897,4936,5189,5503,5516,5547,5738,6188,6567,7065,7335,7479,6992,7211,7584,7715,7906,8193,8211,8140,8356,8802
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1950,1989,2045,2135,2216,2273,2375,2562,2668,2838,2982,3030,2962,2982,3072,3136,3220,3365,3466,3436,3526,3650
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",890,896,918,918,906,900,885,941,990,1036,1009,954,906,942,988,1023,1038,1080,1105,1102,1110,1175
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",611,538,585,741,650,575,643,775,918,1034,1109,1238,874,987,1157,1145,1138,1078,826,722,806,924
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1446,1513,1641,1709,1743,1798,1835,1911,1991,2157,2235,2257,2251,2300,2366,2413,2511,2670,2813,2880,2914,3053
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",13063,13748,14470,15299,15827,16433,17049,17984,18977,19912,20696,21305,21181,21546,22256,22742,23362,24413,25703,26754,27966,29187
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",12674,13283,13982,14707,15211,15761,16359,17280,18314,19167,19937,20427,20267,20594,21221,21611,22176,23190,24450,25411,26587,27727
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",4154,4371,4576,4827,5114,5330,5469,5727,6052,6294,6511,6668,6731,6654,6861,6940,7109,7308,7613,7820,8121,8415
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2455,2563,2698,2871,3136,3474,3630,3917,4222,4457,4732,4924,5103,5276,5440,5554,5706,6079,6561,6834,7087,7320
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",823,855,920,961,948,906,933,963,1010,1075,1134,1139,1042,1034,1077,1113,1172,1236,1277,1345,1414,1481
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",972,995,1079,1067,1070,1080,1122,1192,1255,1311,1393,1418,1377,1410,1430,1514,1558,1636,1718,1830,1923,1990
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1356,1393,1473,1546,1546,1584,1670,1771,1894,1994,2078,2097,2008,2046,2121,2219,2317,2455,2659,2757,2929,3177
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1474,1573,1648,1762,1678,1655,1687,1767,1887,1937,1956,1982,1833,1990,2072,2048,2098,2198,2275,2320,2455,2580
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1440,1533,1587,1673,1720,1732,1847,1943,1994,2099,2133,2199,2172,2184,2220,2223,2215,2279,2346,2503,2658,2764
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",389,465,489,592,616,672,690,705,663,744,759,878,914,952,1035,1131,1186,1222,1253,1343,1380,1459
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",1824,1936,2002,2208,2292,2454,2531,2690,2725,2886,3017,3214,3379,3540,3731,3930,4038,4188,4449,4683,4805,4993
 "41000" ,"Oregon",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1436,1471,1514,1616,1677,1781,1841,1985,2062,2141,2257,2336,2465,2588,2696,2800,2852,2965,3196,3339,3426,3534
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
