GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",20455,21552,22812,24381,25456,26357,27858,29331,30877,32241,33563,34580,34081,35267,36556,37225,38002,39145,40239,41316,42760,44805
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7175,7466,8033,8530,8732,8960,9481,9916,10283,10566,10894,11052,10626,11074,11630,11827,11990,12149,12185,12324,12623,13105
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2497,2679,2900,3041,3145,3285,3405,3569,3587,3557,3620,3434,3274,3417,3559,3666,3756,3827,3960,4044,4173,4285
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1048,1130,1214,1232,1295,1361,1382,1417,1351,1253,1270,1107,1079,1176,1234,1300,1351,1405,1486,1500,1546,1599
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",552,581,626,679,706,738,759,813,850,854,861,836,764,774,789,802,811,821,862,906,951,978
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",585,636,697,744,773,804,855,911,944,982,1001,1011,960,977,1012,1036,1059,1056,1073,1101,1137,1144
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",311,332,362,385,371,382,409,428,442,468,488,481,470,490,525,528,535,545,538,537,538,564
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4679,4787,5133,5489,5587,5676,6075,6346,6696,7009,7274,7618,7352,7657,8071,8161,8233,8322,8225,8280,8450,8820
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1710,1736,1828,1920,1966,1993,2135,2162,2256,2350,2464,2593,2582,2606,2656,2724,2723,2717,2741,2783,2793,2866
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",898,931,983,1011,972,959,997,997,1011,1010,1006,993,973,1004,1042,1044,1051,1066,1069,1072,1064,1079
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",518,456,499,625,611,571,673,825,985,1090,1166,1343,1020,1192,1441,1422,1376,1323,1028,928,1004,1139
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1552,1665,1823,1933,2038,2153,2270,2362,2444,2559,2638,2688,2777,2856,2932,2971,3083,3216,3387,3498,3590,3736
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",13280,14086,14779,15852,16724,17397,18377,19415,20593,21674,22669,23529,23456,24193,24925,25398,26013,26996,28054,28992,30137,31700
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",12654,13335,13954,14950,15703,16320,17251,18258,19414,20361,21289,22024,21951,22690,23378,23816,24384,25318,26347,27189,28261,29706
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",3210,3347,3494,3723,4001,4108,4268,4466,4780,4995,5192,5375,5408,5473,5632,5760,5978,6265,6560,6813,7077,7376
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",3180,3294,3406,3590,3888,4156,4419,4724,5019,5250,5508,5728,5875,6203,6425,6581,6676,6920,7236,7478,7717,8073
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",796,843,898,972,992,965,988,1032,1059,1087,1099,1116,1069,1098,1165,1193,1242,1293,1337,1371,1407,1470
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",871,928,972,1029,1049,1091,1184,1262,1315,1390,1479,1554,1587,1634,1640,1722,1797,1827,1918,2009,2055,2153
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1116,1161,1182,1276,1318,1373,1438,1518,1598,1664,1765,1809,1799,1878,1976,2073,2148,2226,2340,2406,2479,2605
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1678,1807,1954,2171,2109,2183,2317,2520,2775,2931,3068,3182,2970,3106,3212,3147,3181,3310,3385,3385,3580,3813
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1801,1954,2047,2189,2346,2444,2637,2735,2869,3045,3179,3259,3243,3298,3327,3341,3362,3478,3570,3726,3946,4218
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",626,751,824,902,1021,1077,1126,1157,1179,1313,1379,1505,1505,1503,1547,1582,1629,1678,1707,1803,1875,1993
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",2266,2453,2590,2737,2987,3188,3312,3496,3652,3884,4088,4250,4332,4403,4488,4571,4680,4832,5004,5186,5391,5654
 "42000" ,"Pennsylvania",2,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1640,1702,1765,1835,1966,2111,2187,2339,2473,2570,2709,2745,2827,2900,2941,2989,3051,3154,3297,3383,3515,3660
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new per capita PCE by state statistics for 2018; revised statistics for 2010-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
