GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",18168,19032,20136,21157,22073,23083,24445,26061,27847,29282,30770,31880,31695,33134,34666,35890,37189,38441,39689,40961,42491,44149
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",6987,7120,7606,8035,8303,8580,9063,9709,10415,10957,11562,11773,11174,11774,12448,12787,13134,13555,13493,13521,13842,14172
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2640,2758,2988,3101,3220,3344,3476,3688,3844,3979,4292,4134,4002,4220,4297,4468,4694,4917,5135,5179,5274,5385
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1246,1299,1390,1437,1522,1582,1622,1643,1593,1549,1671,1489,1465,1642,1670,1745,1812,1949,2034,2026,2068,2106
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",525,536,593,623,645,671,698,728,796,839,873,851,800,817,838,883,927,957,1017,1040,1060,1096
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",540,566,617,633,641,657,694,816,912,1004,1105,1112,1042,1044,1062,1100,1165,1193,1256,1283,1301,1305
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",330,357,387,409,412,434,463,501,544,587,643,681,695,717,728,740,791,817,829,830,845,878
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4347,4362,4619,4934,5084,5236,5588,6021,6570,6978,7270,7639,7172,7553,8150,8319,8440,8639,8358,8342,8568,8788
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1605,1634,1670,1728,1825,1871,1943,2071,2177,2244,2315,2400,2459,2487,2601,2635,2672,2782,2874,2941,2950,2985
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",746,748,761,759,743,748,770,771,825,835,835,841,848,868,888,912,916,946,978,1001,997,1001
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",735,662,751,951,927,920,1107,1320,1589,1798,1923,2170,1587,1849,2219,2252,2266,2215,1716,1523,1675,1810
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1262,1319,1436,1495,1589,1696,1768,1859,1979,2101,2198,2228,2278,2349,2444,2520,2587,2697,2790,2876,2946,2991
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",11181,11912,12530,13122,13770,14503,15382,16353,17432,18325,19208,20107,20521,21360,22218,23103,24055,24886,26195,27440,28649,29976
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",10749,11309,11917,12479,13046,13722,14562,15493,16596,17448,18380,19165,19499,20283,21062,21844,22723,23547,24851,26027,27195,28443
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",2686,2805,2945,3143,3354,3449,3567,3748,4011,4176,4357,4418,4395,4446,4588,4922,5127,5170,5546,5820,5982,6186
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","   Health care",2818,2967,3171,3322,3613,3975,4292,4558,5006,5261,5534,5955,6328,6605,6858,7014,7426,7721,8053,8406,8820,9154
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","   Transportation services",509,538,575,584,603,593,621,668,695,714,743,769,752,771,810,826,869,905,949,995,1041,1071
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","   Recreation services",721,743,755,744,750,780,847,908,961,1021,1114,1145,1183,1244,1236,1281,1323,1353,1438,1479,1499,1546
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","   Food services and accommodations",1196,1237,1335,1412,1424,1534,1612,1710,1789,1908,1984,2058,2074,2124,2170,2224,2277,2372,2554,2627,2643,2733
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","   Financial services and insurance",1321,1435,1575,1768,1712,1756,1857,2039,2238,2371,2567,2732,2653,2958,3273,3470,3660,3962,4241,4561,5007,5447
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","   Other services",1498,1584,1562,1506,1591,1635,1765,1863,1896,1995,2081,2088,2113,2136,2127,2107,2042,2064,2071,2139,2203,2306
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",431,603,613,643,724,782,820,859,837,877,827,942,1023,1077,1156,1259,1331,1338,1344,1414,1454,1533
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"...","   Gross output of nonprofit institutions",1663,1917,1922,1965,2127,2299,2417,2573,2638,2723,2768,2961,3176,3339,3495,3731,3822,3940,4069,4261,4379,4552
 "46000" ,"South Dakota",4,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",1232,1314,1309,1322,1402,1517,1597,1713,1801,1845,1940,2019,2153,2262,2339,2472,2491,2602,2725,2847,2925,3019
