GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",2914067,3120831,3002926,3163485,3314937,3566629,3795551,3976707,4123623,4377273,4153258,4222759,4097749,4358096,4381071,4540792,4667961,5021502,5305481,5462762,5670481,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",2944752,3145796,3027261,3190794,3343307,3600454,3838076,4024868,4173901,4428875,4207505,4271071,4155373,4413488,4446190,4608429,4736311,5090707,5372714,5534076,5738896,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",9836,-12468,-45805,-52863,-49902,-11101,-13830,409,-25421,-7110,8184,12009,5286,3416,19967,19485,24142,32907,25302,19995,28044,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",-833,-23558,-56755,-64408,-59934,-21736,-25090,-12896,-41700,-24578,-9405,-7691,-11575,-15364,55,331,5010,13408,5952,1217,6385,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",10669,11090,10950,11545,10032,10636,11259,13305,16278,17468,17588,19700,16860,18779,19912,19154,19132,19499,19350,18778,21659,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",965,948,931,978,964,1085,1054,992,1028,1182,1698,2402,1350,2551,3113,3301,3582,4310,4249,5011,5267,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,718,1128,0,0,0,0,0,0,0,0,0,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",838,894,867,923,941,1064,1030,975,1028,1182,980,1224,1311,2442,2853,3055,3294,3839,4249,5011,5266,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",127,54,64,55,23,20,24,17,0,0,0,50,39,108,260,246,287,471,0,0,1,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",119683,106235,95329,98495,98091,111536,111401,115976,145794,149751,146302,162002,153668,171718,169273,172762,177553,194100,199545,194481,216207,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",11,"23","  Construction",18799,22785,23936,25670,25186,28141,30818,33586,35330,34735,32305,30829,30614,31967,32773,32991,34022,36145,37946,39094,41864,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",12,"31-33","  Manufacturing",225189,244442,233411,244966,252161,269176,279899,289505,287540,296908,315198,317672,313304,335126,354779,418973,356145,363811,368568,379167,419541,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",75335,81050,81888,85096,94682,100660,102540,105390,100981,102721,95461,114903,99743,105353,115970,104098,121390,128008,133360,131673,139085,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",14,"321","    Wood product manufacturing",10657,11522,10849,11573,10264,10761,10646,11827,12045,11975,11691,11741,11613,12267,12333,12417,12794,13148,13590,14009,14642,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",3152,3581,3537,3641,3924,4153,4375,4598,4727,4923,4722,4858,5143,5320,5461,5132,5375,6255,6547,7232,7855,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",16,"331","    Primary metal manufacturing",2514,2942,2361,2201,2178,2449,2376,2464,2247,2355,2461,3725,2975,3144,3054,2544,2575,3022,2685,2661,2693,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",11778,11280,12754,12758,11489,12156,12053,12754,11645,14999,10029,27302,11091,13797,24295,17217,30954,24585,23317,20171,21266,(NA)
 "23000","Maine",1,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",18,"333","    Machinery manufacturing",5504,6220,6596,7650,8161,8210,8061,8070,7999,7921,7697,8179,9319,9498,9696,9571,9813,10558,11885,11427,11686,(NA)
