GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",3527983,3473279,3546794,3715374,3643426,3750997,3877242,4422270,4311982,5170174,5601917,5953708,5369845,5224517,5285952,5759609,5944244,6745842,6382492,6190341,6657202,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",3557966,3502118,3575277,3741614,3669734,3779662,3910374,4458471,4370392,5220367,5647050,5998431,5431216,5287043,5352511,5821600,6013543,6807232,6437259,6249943,6721046,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",-34428,-79723,-190492,-168963,-213608,-79249,-92556,-79340,-193389,-92717,-69012,-53145,-36110,-67583,-42829,-34893,-19801,-16859,-25500,-59550,-39209,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",-37573,-83623,-194074,-172784,-217339,-83011,-96249,-83432,-197332,-97070,-73935,-58919,-41153,-72737,-48295,-40201,-25185,-22062,-30123,-65195,-45270,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",3145,3900,3582,3821,3730,3762,3694,4092,3943,4353,4923,5774,5042,5153,5466,5308,5385,5204,4623,5645,6061,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",549427,505391,454840,708109,746284,611439,731167,837697,1051227,1203842,1394361,1616382,888095,1028565,1093957,1090759,1140446,1509215,1241707,987403,1243416,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",441299,403836,358375,590013,624076,508077,615590,713803,909243,1040490,1208852,1398635,735628,860327,906579,877374,913491,1242381,1036014,811735,1056646,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",92633,85886,82058,99376,103660,85682,96593,102271,117249,129859,148450,174950,113069,131245,138641,151135,159903,183724,129872,106923,114380,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",15496,15669,14406,18721,18548,17681,18985,21622,24735,33493,37059,42797,39398,36993,48737,62250,67052,83110,75821,68745,72389,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",148298,146724,153007,150877,151587,151303,152292,167322,159824,192903,210436,227427,254383,245237,248835,277723,277671,285722,273892,285905,288193,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",11,"23","  Construction",56588,59690,64059,63584,56090,55911,56450,65259,68506,90406,92831,89705,84692,68855,63882,68078,67413,76741,73346,78674,86083,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",12,"31-33","  Manufacturing",51438,54037,56959,58822,59017,61459,61562,60689,58504,69865,78937,81383,84115,80352,94254,103133,113056,109503,112557,106449,99044,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",34204,36362,38073,38782,38517,40225,39915,38541,36679,39908,44239,44443,45667,41504,47226,48966,51339,49569,48284,42798,39532,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",14,"321","    Wood product manufacturing",1104,1199,1363,1240,880,909,919,1069,1073,1333,1296,1271,1213,1057,1094,1140,1034,1057,1158,1277,1379,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",2445,2761,2776,2824,2444,2589,2564,2616,2655,3101,3509,3589,3948,3470,3521,3355,3122,3334,3459,3617,3932,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",16,"331","    Primary metal manufacturing",3183,3094,2999,2333,1485,1414,1063,1206,1042,1128,1305,1399,1492,1360,1381,1419,1323,1154,1481,1476,1462,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",2108,2130,2289,2272,2037,2082,1926,2133,2077,2356,2770,3086,3081,2887,3109,3304,3347,3353,3519,3660,3586,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",18,"333","    Machinery manufacturing",1596,1738,1903,2029,1761,1745,1632,1580,1573,1817,2097,2187,2446,2183,2093,2273,2141,2167,2116,1982,2595,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",16900,18160,19067,20578,23444,25151,26038,24068,22215,22946,24833,24011,26522,24768,29587,30654,30364,29047,26917,23601,19686,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",658,686,750,829,682,493,479,470,441,512,521,519,416,-147,-201,15,428,420,462,511,555,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",1504,1567,1699,1599,1420,1183,837,834,922,1034,958,900,971,924,1027,1143,1029,1066,1003,1006,826,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",2136,2215,2374,2349,1837,1848,1676,1792,2010,2970,3970,4376,2617,2304,2648,2732,2607,2713,2839,2746,2580,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",23,"337","    Furniture and related product manufacturing",313,348,371,370,315,356,350,383,366,461,627,638,594,475,483,406,378,367,366,408,378,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",24,"339","    Miscellaneous manufacturing",2256,2462,2482,2360,2213,2456,2429,2392,2305,2250,2352,2467,2367,2222,2485,2525,5565,4890,4962,2512,2554,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",17234,17675,18886,20041,20500,21234,21647,22148,21825,29957,34698,36940,38448,38849,47027,54167,61717,59934,64273,63650,59512,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",26,"311-312","    Food and beverage and tobacco product manufacturing",6848,6706,7230,8289,9138,9755,9330,9037,9302,15335,16759,17738,14935,18747,20896,24620,28603,25861,27330,31671,33222,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",297,269,300,285,202,216,174,200,204,225,260,232,215,199,201,202,204,185,143,140,150,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",476,577,504,449,245,238,228,216,173,165,205,209,183,192,204,199,194,226,230,247,254,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",29,"322","    Paper manufacturing",1244,1388,1511,1523,1178,1252,1233,1288,1191,1258,1385,1365,1378,1231,1328,1304,1252,1116,1154,1266,1361,(NA)
 "35000","New Mexico",6,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",30,"323","    Printing and related support activities",885,974,1060,1007,758,730,668,703,694,721,819,834,871,712,733,752,704,699,729,786,820,(NA)
