GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",22760933,23864536,24856978,25616684,26370636,27516405,29264609,32107933,35359138,37024747,39144159,37716269,36365447,37340576,39177356,40899593,42519263,43744084,45834693,46523264,48234316,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",23407077,24407285,25373215,26117096,26908250,28159464,29952380,32823053,36093888,37774273,39869945,38424354,37136089,38144315,40061239,41693783,43330090,44539639,46609529,47367570,49040294,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",18802,-111272,-282183,-370571,-345439,-77839,-159854,-75726,-306240,-121370,-722,43906,37951,22182,98481,101290,123737,164283,139385,112607,132097,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",8341,-122098,-293559,-383130,-358495,-91144,-173644,-91403,-323614,-140457,-20318,22727,19915,3898,79586,82052,103446,145382,121437,93993,111982,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",10461,10826,11376,12559,13056,13306,13790,15677,17374,19087,19596,21180,18036,18284,18895,19238,20290,18901,17949,18614,20115,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",201964,219105,207579,206570,198044,197911,200957,231647,286980,327556,359192,362277,375365,435483,518990,648618,707120,872398,867760,749886,1002414,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",37862,45514,44366,47751,45207,50404,54295,66719,97400,133023,150377,164166,170788,221352,265803,362763,430352,565448,599511,512039,737479,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",157579,166185,155162,150152,145268,138757,137538,154044,174884,176438,186433,176338,173295,169985,190446,204070,195840,205220,176338,163847,181463,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",6522,7407,8050,8667,7568,8751,9123,10884,14696,18095,22382,21773,31283,44146,62741,81785,80927,101730,91911,74000,83472,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",1703719,1737806,1749992,1777313,1660321,1679080,1782062,1935014,2107473,2256544,2360254,2343568,2336679,2360288,2424219,2544317,2520305,2492308,2592418,2632359,2718649,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",11,"23","  Construction",121576,135701,149163,156249,198020,209134,206218,231680,302665,308475,320024,239718,257729,221209,221157,226937,230567,248050,249596,263416,289094,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",12,"31-33","  Manufacturing",1362421,1426857,1486684,1547100,1566504,1593484,1603457,1742268,1955379,2056605,2128069,1873079,1876269,1725074,1911946,1909504,2067506,2101772,2144552,2120706,2263283,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",637631,676326,736103,762366,726933,762191,772301,836392,987414,1012526,1052453,898075,899518,775850,788539,791239,875991,888443,898937,837676,908528,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",14,"321","    Wood product manufacturing",17541,19021,20717,21535,19875,21792,23777,27505,33999,35509,36589,30692,29455,26685,25479,24694,27339,26554,27953,28592,30785,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",48734,52034,53768,53992,51565,52806,55666,58170,70050,67345,70652,62672,65408,58255,57501,54695,52994,56287,56491,58788,62834,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",16,"331","    Primary metal manufacturing",141319,143989,145005,151907,129250,131849,132639,143957,149388,160774,186550,181878,191414,180608,187826,184289,187632,184270,180184,180483,195443,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",84058,88679,95659,105841,94993,103422,112112,126880,149357,151974,164180,134059,135388,119534,128716,122573,135745,127054,129963,129117,144635,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",18,"333","    Machinery manufacturing",89981,98535,104649,103488,99852,98652,96962,107659,128566,133618,141915,119683,119868,104814,106336,106699,106772,105280,106066,105414,113660,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",98105,103903,120383,132827,138465,148139,136052,138183,157649,160257,148121,123207,120919,109362,112491,113180,121923,127602,131297,116521,125738,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",39871,42848,46064,48297,50075,53516,58385,55586,84827,73199,72225,54164,45269,7403,-2751,11661,38828,42781,45830,49820,53581,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",27184,31324,36922,36818,32953,33176,34387,39928,47378,51712,52075,45554,46119,41009,40882,41513,40753,43247,47616,50999,55819,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",42661,45514,56700,53267,46591,50026,51126,59884,69210,78108,80029,68819,69555,61837,63112,61309,60469,58464,59236,54986,59403,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",23,"337","    Furniture and related product manufacturing",8738,9476,10473,10866,10748,11214,11528,13447,17818,19306,20154,14965,15016,12207,12196,12846,12713,12130,12776,13274,13930,(NA)
 "42000","Pennsylvania",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",24,"339","    Miscellaneous manufacturing",39440,41003,45764,43527,52567,57600,59668,65193,79173,80724,79963,62381,61108,54135,56753,57780,90826,104774,101524,49680,52701,(NA)
