GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",43635246,46521874,48396390,51943379,54857950,55921472,57533260,60659835,64103400,69916407,73548676,77534914,75579507,77859944,82376361,86871330,90071349,94041002,96070431,94110521,96953504,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",33269772,35820991,37116274,39867794,42016011,42292637,43285847,45715060,48283825,53086868,55539789,58607515,55937105,57336079,61843308,66420441,68983281,72396293,73693747,71462925,74132849,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",244885,245786,278265,274815,299004,239096,270914,365490,355159,365268,474219,510757,411239,414179,437522,530733,477888,511185,381251,424951,438618,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",189506,187220,211791,206083,233842,169583,196401,276350,265484,250289,360663,399430,296700,296523,318110,403920,344867,362366,221685,252831,255969,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",55379,58566,66474,68732,65163,69512,74513,89140,89675,114979,113556,111328,114539,117656,119413,126812,133021,148819,159567,172119,182650,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1661403,1678125,1604854,1697991,1975029,1827558,2076609,2358366,2800613,4308790,4282658,5044985,4078044,4330061,5614141,6344256,6709406,6996400,6549408,5079520,5860949,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",1071901,1083492,998055,1020445,1114012,1050721,1182089,1314296,1506887,2528813,2206391,2563099,2243613,2349685,2980938,3506891,3722154,3762541,4046814,3218062,3218302,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",72031,82872,85038,98006,90398,94331,93933,97624,108929,119821,134858,128877,110262,111158,115470,127075,133467,139352,146421,155364,167097,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",517471,511761,521761,579539,770619,682506,800587,946446,1184797,1660156,1941408,2353009,1724169,1869218,2517734,2710290,2853785,3094508,2356173,1706094,2475551,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",532464,552198,598193,652234,812752,838228,785407,830940,874581,959957,1114209,1142399,1234873,1238578,1285510,1411268,1513625,1821962,1623274,1574513,1478289,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",1723309,1906798,2087632,2292954,2564779,2460991,2498960,2514558,2759937,3070270,3251655,3667198,3414136,3490607,3587113,3906544,4373020,4518038,4766731,4798792,4846271,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",12,"31-33","  Manufacturing",6404312,6725130,6891550,7340068,7375903,7032056,7027254,7225265,7522354,8017488,8244327,8445275,7545994,7514408,8196643,8965982,9252882,9818212,9771899,9115562,9424505,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",4354904,4553964,4699920,5040456,5034394,4752356,4703462,4881848,5098026,5546610,5798171,6016360,5171018,5064082,5643155,6374557,6590965,6988313,6916987,6242163,6466422,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",14,"321","    Wood product manufacturing",111573,120368,130626,140401,157735,164351,170117,172185,181798,175655,169848,151651,113965,98333,97952,98103,102437,109407,121207,125947,126334,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",310470,341080,354351,380302,376965,374566,390454,413425,429244,448151,458502,464071,406608,396553,388943,403390,419913,442035,479467,478148,491228,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",16,"331","    Primary metal manufacturing",172227,175793,163410,198105,195743,161871,179582,210124,234196,261765,267378,294326,228091,224077,262430,285723,282848,258623,242579,230098,254912,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",876099,953937,1037656,1103168,1170262,1111909,984806,1008186,1058085,1187203,1238540,1352667,1172411,1122608,1280050,1509201,1549102,1677237,1638480,1410449,1511946,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",18,"333","    Machinery manufacturing",1031991,1102409,1086311,1213046,1257569,1113355,1172477,1277574,1405619,1576532,1794476,1915999,1655687,1652761,1949331,2274658,2356440,2499115,2376565,1995561,2069491,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",581435,616634,650244,654021,563807,397866,386671,348473,347291,372460,397618,409196,382021,357176,370354,395224,382307,387595,392527,356561,367238,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",107309,118612,110146,125166,134484,139409,141672,152083,157630,165703,175616,174089,173826,186290,187552,189183,186842,194728,206053,212892,219495,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",570475,565985,611420,646796,600060,723753,713749,680550,623507,600647,499065,466302,337756,314666,317744,344107,347523,392758,(D),(D),(D),(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",340113,292773,273420,289758,292520,252351,268284,314250,326940,402577,452429,453498,414738,433968,499456,576158,657869,713835,(D),(D),(D),(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",23,"337","    Furniture and related product manufacturing",104120,108438,114868,107430,104322,100693,96794,103134,108507,111033,100018,102484,64994,58173,71439,81772,83937,90516,100887,100625,104090,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",24,"339","    Miscellaneous manufacturing",149092,157935,167466,182264,180927,212233,198858,201865,225210,244885,244682,232077,220921,219478,217903,217038,221747,222463,219030,217813,191673,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",2049407,2171166,2191630,2299611,2341509,2279700,2323792,2343417,2424327,2470878,2446156,2428915,2374975,2450326,2553487,2591424,2661918,2829899,2854911,2873400,2958083,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",26,"311-312","    Food and beverage and tobacco product manufacturing",593151,665426,690636,751382,794137,802206,831452,866578,885029,898690,910857,935024,944776,966907,940850,963912,977324,1036858,1036644,1067685,1120761,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",38175,39393,36424,34915,26939,22541,19859,22679,26096,27881,28926,27445,24709,24740,24089,27233,27775,27343,27728,29390,29322,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",110286,106141,104095,100990,84843,74118,61200,44205,45126,44572,52836,50534,46887,50919,56401,50951,50864,52823,52188,50971,34584,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",29,"322","    Paper manufacturing",166738,177582,187592,197057,188782,191083,189651,192764,199530,190238,188877,189053,186383,186921,197888,206471,216083,226342,231103,226007,224048,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",30,"323","    Printing and related support activities",195684,199488,201096,202830,203508,183734,176184,170647,167552,166793,164437,155953,137480,139015,132435,120156,114906,116463,110266,116314,111999,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",185671,181367,172458,172023,197863,179491,212123,193907,200710,233693,234164,247631,262794,263983,272690,306840,315502,355182,355720,352368,410248,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",32,"325","    Chemical manufacturing",210824,221657,200723,208909,204522,179976,174494,175219,186600,197742,200527,211924,204539,208356,282957,264102,306383,338213,351537,348108,340666,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",548877,580111,598606,631506,640916,646552,658828,677417,713685,711269,665532,611350,567405,609484,646177,651759,653081,676674,689726,682557,686456,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",34,"42","  Wholesale trade",2030140,2192516,2218659,2393315,2562155,2664452,2591497,2770239,2987477,3264675,3426833,3580198,3326171,3294861,3612447,3918201,4076859,4352092,4229938,4038788,4197693,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",35,"44-45","  Retail trade",3316252,3575488,3701594,3950571,4134246,4254842,4342583,4407779,4607912,4787084,4923137,5052961,5005052,5144294,5369503,5635828,5811555,6011741,6286980,6309128,6277899,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",36,"48-49","  Transportation and warehousing",1955621,2109113,2125972,2244341,2205317,2120075,2155559,2268542,2359768,2529837,2726932,2688482,2602540,2645459,2865816,3077058,3241732,3389186,3688702,3589743,3931868,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",37,"481","   Air transportation",562834,641825,660040,718615,737060,703109,680387,653503,641375,681775,684448,624086,596114,628536,705437,667286,652059,621888,637321,640705,712482,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",38,"482","   Rail transportation",124694,134863,132771,129071,117270,(D),118379,133844,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),221641,202071,203177,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",39,"483","   Water transportation",(T),(T),(T),(T),(D),0,0,0,0,(D),(D),0,0,0,0,0,0,0,0,0,0,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",40,"484","   Truck transportation",671440,720889,728362,746637,771081,739416,729599,762679,831668,930731,1001129,991229,942214,887279,994532,1111414,1165447,1219607,1259878,1194187,1333503,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",41,"485","   Transit and ground passenger transportation",67960,45570,53170,50965,14254,(D),18978,21915,23495,26068,28099,28047,23057,29710,38558,43640,43374,41517,41973,33213,36338,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",42,"486","   Pipeline transportation",128369,128957,117442,120135,95684,91625,101310,138179,112182,114514,177039,195381,197539,214591,215504,272454,319468,410720,425089,352925,384951,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",43,"487-488, 492","   Other transportation and support activities",309946,328392,334558,363201,(D),332926,387162,426463,(D),(D),502599,(D),(D),(D),(D),(D),(D),(D),664023,674103,700043,(NA)
 "40000","Oklahoma",6,SAGDP4N,"Compensation of employees","Thousands of dollars",44,"493","   Warehousing and storage",90377,108617,99629,115717,136274,123244,119743,131959,150857,152818,165620,157533,154408,168442,157085,187119,242179,248860,438777,492538,561375,(NA)
