GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",16427957,17496417,18428816,19782293,20642901,21615203,22878323,23946939,24809619,26111170,26870482,27202560,26181690,27214907,27573195,28261118,29133785,30463238,31664724,32263603,33293781,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",13213711,14170766,14885769,15953204,16656441,17396305,18404290,19224035,19955282,21056018,21624369,21838689,20881680,21666429,22019070,22726261,23551710,24731694,25780288,26330863,27169342,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",31168,34509,36446,40691,(D),(D),37889,40363,35904,45026,46051,43550,43470,(D),(D),50692,(D),(D),(D),(D),(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",12904,13061,11922,13952,14730,18315,16578,16140,13194,15349,18073,17223,16453,15860,13575,19624,20171,21522,18001,20469,16505,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",18264,21449,24523,26738,(D),(D),21311,24223,22710,29678,27978,26326,27017,(D),(D),31068,(D),(D),(D),(D),(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",10106,11865,12608,13481,(D),(D),10756,10975,14050,16089,17271,15507,12231,(D),(D),12506,(D),(D),(D),(D),(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",(T),(T),(T),(T),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",7271,(T),9540,10054,(D),11546,9939,(D),13990,16030,17001,15311,(D),11606,(D),(D),12254,14294,15144,15080,(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",106466,105856,103744,128602,(D),(D),113341,102297,107192,121288,118715,127984,132060,139507,142226,130982,139877,141066,144850,157497,162236,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",603010,698378,807107,881311,963762,(D),1156613,1173305,1236104,1337894,1353617,1302441,1142748,1066782,1054428,1097096,1114876,1161989,1230413,1335315,(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",12,"31-33","  Manufacturing",3004979,3074983,3156038,3287551,3256055,3136814,3055705,3110718,3093973,3096461,3165483,3029776,2687749,2730037,2764687,2754679,2844964,2969414,3057831,3014852,3086433,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",2038009,2062133,2115663,2248025,2254527,2130652,2035596,(D),2076903,2057801,2097419,2017963,1790586,1810430,1838343,1823394,1878678,1946989,1988497,1944594,2007702,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",14,"321","    Wood product manufacturing",28694,27857,29793,33922,34472,(D),37580,(D),(D),(D),33711,(D),31859,27117,28701,30682,32783,(D),26431,(D),(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",52336,48144,53158,55108,46603,44058,41028,34014,36453,40936,38620,37473,35385,37757,40029,40183,40626,45892,44670,44381,45012,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",16,"331","    Primary metal manufacturing",137453,139226,151843,149131,124229,106538,100037,97629,94258,(D),(D),(D),(D),101374,(D),114115,118153,110443,(D),(D),(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",423152,433417,434446,454024,423877,402958,372353,376966,375143,377041,367321,355305,318000,326328,331448,336842,335732,355344,351162,319213,328862,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",18,"333","    Machinery manufacturing",169678,172413,169480,178809,161668,136953,131756,137457,138209,138570,134319,128255,111713,116399,123683,129871,130417,136619,143062,158627,158218,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",283280,304429,329988,390599,364652,342965,352810,386645,362412,362829,355805,354413,330166,329836,310877,309159,310034,306763,302082,326015,341137,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",118088,119809,136261,145807,171448,(D),163356,161366,165519,148911,170124,124887,115442,110665,121348,114169,136947,133019,(D),115240,130300,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",31117,28144,23376,12760,(D),(D),(D),(D),(D),(D),7272,6897,5190,(D),(D),(D),(D),(D),(D),9355,(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",104356,126428,139969,154684,(D),(D),(D),(D),(D),(D),(D),(D),230715,(D),(D),(D),(D),339628,372596,346993,(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",23,"337","    Furniture and related product manufacturing",64600,65072,73739,75725,71027,75535,75663,83072,86583,88686,87817,(D),(D),66795,66488,64452,67257,78230,81674,82134,76763,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",24,"339","    Miscellaneous manufacturing",625255,597195,573610,597457,666272,618562,546483,546197,553304,551982,554808,532333,448701,449252,454491,404704,407510,407297,421523,406898,398172,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",966970,1012850,1040375,1039526,1001528,1006162,1020109,(D),1017069,1038660,1068063,1011813,897163,919607,926345,931285,966286,1022424,1069334,1070258,1078731,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",26,"311-312","    Food and beverage and tobacco product manufacturing",120788,122122,130549,132968,141026,141748,137350,136916,137150,138489,144815,149102,147625,156890,156933,141450,151115,164398,176466,192865,194598,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",278371,285565,272959,265250,238478,227121,218614,201927,(D),(D),(D),158031,(D),(D),(D),(D),(D),(D),142821,(D),(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",19696,18680,21051,22450,(D),15698,(D),(D),13620,(D),(D),(D),(D),8600,(D),6854,(D),(D),(D),6772,6844,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",29,"322","    Paper manufacturing",78901,71401,75056,79041,79995,(D),75541,71557,69149,70888,72585,89321,72536,79115,76843,77813,(D),81029,93894,92253,83729,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",30,"323","    Printing and related support activities",144421,149473,142233,136206,135175,123482,107711,101412,106414,104954,102455,99157,82066,80172,(D),84518,86264,93087,96806,95174,95270,(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",604,(T),(T),(T),(D),(D),(D),5224,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44000","Rhode Island",1,SAGDP4N,"Compensation of employees","Thousands of dollars",32,"325","    Chemical manufacturing",168163,189943,218810,223465,217711,258603,304063,334052,345904,377536,404247,344738,305655,301919,298214,314351,334664,363313,375924,359676,371091,(NA)
