GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",1,"...","All industry total",-717929,-763057,-977560,-901455,-1051424,-836793,-1019443,-970442,-1242693,-1125289,-1091218,-1026230,-1133634,-1098706,-1315814,-1174951,-1210193,-1106405,-1098998,-1155185,-1138391,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",2,"..."," Private industries",-542286,-616356,-818913,-744147,-873848,-617052,-753231,-653913,-903412,-774459,-755139,-675229,-738659,-737405,-886651,-751412,-758251,-707930,-689205,-726827,-715053,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",-107210,-185516,-373884,-338238,-336648,-203642,-232588,-198824,-377463,-303132,-212775,-210460,-188217,-219073,-219808,-168760,-169675,-132486,-165526,-193402,-174727,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",4,"111-112","   Farms",-107210,-185516,-373884,-338238,-336648,-203642,-232588,-198824,-377463,-303132,-212775,-210460,-188217,-219073,-219808,-168760,-169675,-132486,-165526,-193402,-174727,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",9,"213","   Support activities for mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "26000","Michigan",3,SAGDP5N,"Subsidies","Thousands of dollars",10,"22","  Utilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
