GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",1884918,1912920,1933971,1904000,1853702,2028893,2705729,3218032,3246376,3332286,3670454,3664459,3516240,3715319,3653234,4008233,4196829,4522710,4974767,5141290,5365132,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",1884918,1912920,1933971,1904000,1853702,2028893,2705729,3218032,3246376,3332286,3670454,3664459,3516240,3715319,3653234,4008233,4196829,4522710,4974767,5141290,5365132,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",31,153,142,132,120,22,20,22,38,36,34,39,32,23,35,31,30,30,28,30,35,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",31,153,142,132,120,22,20,22,38,36,34,39,32,23,35,31,30,30,28,30,35,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",2792,3913,4060,5693,3839,4320,4449,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",2496,3620,3737,5406,3611,4193,4387,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",296,293,191,172,146,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",0,0,132,116,82,64,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",158421,167018,170209,175166,171849,177975,210917,233943,255263,267008,276937,291997,290191,249643,248732,260970,275905,287990,304477,313410,315135,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",10676,10952,10843,10725,8268,9811,11624,13478,15696,16246,17110,17800,17902,18332,23237,25568,25227,28920,33617,34718,35551,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",21807,23130,22092,22825,18385,16345,19746,22198,22357,20133,21529,22263,23242,23922,27299,26159,26926,24038,24811,24547,24025,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",5783,7719,7266,5642,5711,5351,6287,7336,6167,5090,3864,4174,4001,3444,3086,3270,3710,3655,4561,5227,5403,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",171,198,89,45,18,21,76,125,58,99,14,16,37,9,11,9,9,12,12,11,12,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",406,352,324,331,260,278,360,391,470,430,446,491,484,390,419,522,544,729,889,984,900,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",495,455,392,358,359,269,364,584,449,502,541,469,480,221,186,208,220,112,266,126,599,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",467,550,434,248,103,303,379,418,340,406,541,575,631,587,690,683,916,646,749,531,585,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",522,450,467,432,391,366,331,292,234,232,208,126,134,65,79,112,216,178,220,405,517,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",2199,4187,3880,2864,3613,3168,3559,4100,3624,2092,1523,1793,1685,1628,1101,1069,977,1045,1420,1952,1995,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",219,221,213,174,195,18,58,98,105,58,19,21,8,5,39,17,30,9,20,48,133,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",282,307,315,322,1,12,20,19,11,11,12,2,0,0,1,11,12,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",374,373,563,333,308,440,531,647,425,780,128,156,0,0,0,0,0,0,6,6,5,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",94,101,137,121,113,115,147,158,180,197,211,223,258,258,320,365,370,376,417,437,298,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",24,"339","    Miscellaneous manufacturing",554,525,452,416,350,361,460,505,271,283,220,301,283,281,240,275,416,547,563,725,360,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",16024,15411,14826,17182,12673,10995,13459,14862,16190,15043,17666,18089,19242,20478,24213,22890,23216,20382,20250,19320,18622,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",26,"311-312","    Food and beverage and tobacco product manufacturing",3437,3399,3467,3217,3205,3587,4667,4729,5336,4032,4381,4462,5358,5496,5327,4969,4794,4621,5156,5893,5825,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",236,220,255,213,125,102,111,121,127,144,167,224,187,146,83,106,111,129,187,182,245,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",317,306,285,251,182,178,233,225,243,225,245,263,245,258,241,271,250,251,279,251,253,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",29,"322","    Paper manufacturing",292,290,251,153,105,95,96,68,43,40,31,35,37,32,34,34,34,26,27,25,31,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",30,"323","    Printing and related support activities",3002,2720,2780,2275,1916,1668,1903,1965,2001,1830,1930,1969,1758,1642,1055,1266,1236,1107,1120,1201,1062,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",1862,1579,1275,1500,2061,1324,1440,2737,2074,2513,3098,2785,2766,3975,4268,64,12,47,45,3,14,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",32,"325","    Chemical manufacturing",6769,6802,6404,9573,5025,3993,4947,4986,6344,6236,7786,8321,8862,8904,13178,16153,16754,14174,13404,11734,11151,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",108,95,109,1,54,48,63,32,22,23,28,30,29,24,27,26,25,27,33,30,40,(NA)
 "11000","District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",34,"42","  Wholesale trade",160412,152632,149361,151803,145525,146665,150427,157130,157137,154279,149803,161369,152469,168762,167521,184318,187137,186645,201965,191466,196312,(NA)
