GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",104038023,107885847,113929098,122035157,125868272,132871438,136843897,149007977,160108463,174166953,183156962,196610816,184811958,192001581,204083754,204060945,217683890,227435923,239644427,244349382,253387209,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",104032552,107880279,113922919,122028870,125862073,132864896,136836942,148999693,160099849,174155723,183145319,196598994,184800990,191989742,204071378,204048712,217669641,227421152,239628593,244332210,253369739,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",979414,877829,1008121,996412,967028,892962,1039574,1040105,1098098,1245969,1421445,1680782,1486814,1633605,1802586,1849851,1949962,2102359,1940787,1871756,2065218,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",575007,529540,628232,594857,608485,566482,666919,691037,690374,783058,872966,967806,946026,990632,1049789,1086984,1125616,1305259,1230104,1146224,1257856,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",404407,348288,379889,401555,358543,326479,372655,349068,407724,462911,548479,712976,540788,642973,752797,762866,824346,797100,710683,725532,807362,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1938085,1442306,1315017,1761144,1740641,1554760,1721474,2083543,2592799,3165999,5028188,10644771,4835290,6058828,7393416,8016498,8367710,5865064,3469278,3473970,3214784,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",1642234,1147751,1019149,1444366,1449581,1281198,1444716,1789240,2278671,2814182,4601818,10141897,4296147,5399075,6570552,7178527,7457312,5109902,2800838,2777167,2475232,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",210170,204175,214636,223239,212841,200132,208939,224818,241670,261107,318535,360929,382540,499219,654276,659328,732760,549969,494551,521955,577951,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",85681,90380,81233,93539,78218,73429,67818,69485,72459,90710,107835,141944,156603,160535,168588,178643,177637,205192,173889,174849,161601,(NA)
 "98000","Far West",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",4308534,4472990,4620217,4859838,5086819,5613989,5822134,6260815,6566906,7382861,8343819,8928094,9232993,9396162,9548010,9421503,9475016,9498038,9781203,10338304,10626153,(NA)
