GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",11125312,11396331,11993708,12577661,12991533,13345002,14542977,15087045,18287342,18588676,16358779,17665810,17536629,17887628,17142284,18251019,18882907,19191827,19252182,19482819,20103098,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",11125312,11396331,11993708,12577661,12991533,13345002,14542977,15087045,18287342,18588676,16358779,17665810,17536629,17887628,17142284,18251019,18882907,19191827,19252182,19482819,20103098,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",161387,156634,172182,169460,166676,182363,191009,206007,201324,216964,250823,269904,259842,261221,297573,312100,320979,376687,352516,333572,364110,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",153796,148904,164076,161117,156320,172681,180394,194411,187480,201435,234752,254373,246403,245970,282256,295615,303773,349750,329283,308022,338034,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",7591,7730,8106,8343,10356,9682,10615,11596,13845,15529,16071,15532,13439,15251,15317,16485,17206,26937,23232,25550,26076,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",83349,81876,79216,82226,73178,74960,77335,75920,92428,99953,85766,87104,92544,100518,100986,115602,124656,131714,119581,109655,107304,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",2702,1594,1837,2417,2292,2138,2410,2504,2632,4161,4771,4834,5456,9950,11742,15370,15421,19062,17125,13780,11873,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",79896,79567,76711,79140,70175,71848,74135,72587,88455,94704,79782,80631,85292,88234,87154,97745,106196,109289,99127,92441,91997,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",752,716,668,669,711,975,789,828,1341,1088,1214,1640,1796,2334,2090,2487,3040,3363,3329,3433,3433,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",601436,577126,587565,661129,634838,647474,699655,733623,963993,1007039,824767,962409,1024475,1094024,1017699,1046029,1064687,1047898,1031772,1015633,1047346,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",93513,99479,103642,108997,103831,110866,109451,109886,142097,136569,114943,112503,104058,111980,97116,103981,103580,92811,95922,102290,110995,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",1383536,1373432,1388600,1521231,1617064,1703995,1712797,1718271,2286378,2279839,1723920,1799600,1871042,1939926,1738068,1753154,1894562,1914116,1918220,1870968,2032720,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",810628,804878,826406,888976,908775,973444,980079,960117,1308059,1283683,958749,1030961,1060724,1077413,881060,918657,949714,977498,992351,933006,991773,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",24760,25315,26569,27570,22432,22568,22375,21960,29709,29169,21958,22487,21207,19937,16813,17884,17599,16250,16917,17769,19474,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",34111,33107,34430,36939,33879,35401,35476,34463,46928,45650,34754,36860,38532,39555,32925,34371,35135,36126,35427,34943,36197,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",279389,272280,266677,278840,240944,252621,253312,237610,313941,298459,229074,263859,285555,285547,232193,238625,236265,232034,230522,229729,232386,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",72874,73390,75851,83272,75676,77553,74906,73689,102872,100934,75382,79214,77595,80242,67851,69964,71794,73625,74666,77268,83813,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",78020,83809,90942,101204,96661,99712,96926,95800,135254,135177,98968,110432,108053,106180,87001,93091,92679,89742,91079,92349,95347,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",49243,47950,46281,48669,63345,69940,69573,66474,93437,95382,65356,72827,73336,69732,53945,53532,53672,56662,56441,48856,48589,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",33496,31124,29478,30652,34537,34643,31760,30474,39984,35233,22859,22260,22578,21836,15241,14921,15419,14796,14961,15736,16173,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",173470,171905,187000,202002,249057,279836,289595,292962,391930,391806,295348,305436,311798,330181,269880,287940,296860,305479,307450,326486,364279,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",19955,20875,23349,27646,29089,27910,29167,28551,42297,42593,31342,30751,29296,28260,24624,25366,25569,25017,23913,24036,26691,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",11896,12344,12857,14783,13789,14822,14930,15242,21492,21841,17079,17233,17277,17587,14409,15147,15867,14270,14142,14890,15877,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",24,"339","    Miscellaneous manufacturing",33413,32779,32973,37399,49366,58439,62059,62891,90216,87441,66631,69603,75496,78355,66178,67816,88854,113496,126835,50943,52947,(NA)
 "18000","Indiana",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",572908,568555,562194,632254,708289,730551,732718,758155,978319,996156,765171,768639,810319,862513,857008,834498,944848,936618,925869,937963,1040947,(NA)
