GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",32484511,34200740,35476783,36883786,37973908,39668653,42762581,45349509,47500472,48349638,49087918,49186104,50155924,51736883,53521310,56813873,59296938,62868193,64903794,66936351,69350682,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",32477498,34193275,35468867,36875926,37965928,39660803,42754763,45341399,47491717,48341504,49078656,49176524,50146903,51728397,53512836,56807259,59293273,62865798,64901338,66934119,69348477,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",94734,88099,105935,100795,100735,99573,109086,117914,131852,140965,161449,178686,163239,170359,187269,191373,195655,217679,208689,200216,221392,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",69418,62123,78215,71669,70724,67138,74539,77952,83840,91921,110809,121975,112518,112497,130622,136487,142042,165781,157559,147744,161888,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",25315,25976,27720,29126,30011,32435,34547,39961,48012,49044,50641,56711,50720,57862,56647,54886,53613,51898,51130,52471,59504,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",23959,26821,28502,29282,27010,29454,31589,33499,36070,41797,42563,39616,39305,38887,40714,44304,48932,57945,61653,70745,73240,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",521,389,153,127,0,7,355,396,351,304,1111,1546,443,503,893,1224,1406,1483,1230,958,167,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",21235,24241,26010,26770,25749,28169,29656,31471,34279,39805,39003,35362,35941,34852,35372,38593,42720,50384,54363,63639,67665,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",2203,2191,2339,2385,1261,1277,1578,1633,1440,1689,2449,2708,2920,3532,4449,4487,4806,6077,6060,6149,5408,(NA)
 "91000","New England",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",1306475,1307190,1284007,1365001,1263362,1285632,1393103,1562169,1650197,1639816,1751940,1900177,2036535,2083763,2166700,2244804,2311748,2392788,2336249,2373048,2627578,(NA)
