GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",1421687,1463009,1507136,1549301,1600196,1715537,1909545,2067255,2295709,2367931,2484372,2330951,2421112,2540305,2597413,2713198,2849867,2965337,3092553,3196467,3358844,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",1421687,1463009,1507136,1549301,1600196,1715537,1909545,2067255,2295709,2367931,2484372,2330951,2421112,2540305,2597413,2713198,2849867,2965337,3092553,3196467,3358844,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",16170,15043,19154,18161,18476,18068,19353,19810,20653,22027,25415,27997,25936,26032,29989,31033,32099,36987,35227,33363,36707,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",14801,13615,17701,16651,16989,16552,17781,18097,18829,20015,23221,25526,23535,23474,27303,28558,29522,34335,32588,30556,33552,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",1369,1428,1453,1510,1487,1516,1572,1713,1824,2012,2194,2471,2401,2559,2685,2476,2576,2652,2638,2807,3155,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",4256,4804,5173,5456,4787,4697,4920,4842,4979,7826,8573,7084,7373,6759,7158,8038,8898,9780,11192,13126,13853,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",190,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",4066,4651,5118,5427,4769,4683,4901,4830,4968,7817,8561,7056,7355,6736,6854,7707,8592,9483,10881,12784,13507,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",0,0,55,29,19,15,19,12,11,9,12,28,18,22,305,332,305,297,311,342,346,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",71637,77628,76257,76711,70630,78401,85750,101019,112263,120318,133002,124839,138437,151528,155812,162274,164172,176295,182619,143167,143414,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",9367,10340,11583,12081,11132,11289,12108,14605,15887,16740,17043,15749,15428,16094,16089,15836,16269,17504,18644,19630,21339,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",76354,82863,85148,86638,101886,100657,103605,106724,118369,127047,137114,123330,134417,135580,142292,150889,160999,173702,183707,196073,218037,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",44727,48931,50632,54337,70471,69666,70029,71524,78705,83859,90051,83439,88993,86580,87324,86322,89381,94929,98433,95598,104188,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",3004,3108,3016,3221,2631,2494,2788,2609,2859,3120,3656,3580,3747,3801,3935,3767,4046,3667,3692,3898,4035,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",3364,3888,3667,3827,3701,3851,4156,4400,4829,5194,5483,5264,6238,6343,5764,5769,5641,6731,6550,7019,7585,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",1390,1002,1290,1377,1611,1685,1637,1666,1449,1301,1418,1147,1090,1229,1336,1279,1215,1425,1287,1389,1543,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",4082,4376,4429,4812,4297,4297,4797,5077,5409,5499,5726,5503,5933,5877,7506,8055,10715,11811,13407,14539,15140,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",5548,6737,7175,7984,7641,6590,6746,6989,7373,7746,8324,7966,9887,9633,9428,8786,8783,9336,10599,11365,12264,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",17789,19023,19819,21248,37379,37994,36853,35881,40719,43081,47092,42128,45111,42690,42667,42123,40945,41060,41637,38537,42662,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",1448,1626,1466,1535,2012,2005,2391,2623,3140,3193,3569,3308,4020,3981,3785,4233,3850,3925,3854,4009,4409,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",939,1240,1389,1467,1207,1399,1664,1915,1959,2630,2889,2717,2447,2139,2014,1965,2170,2607,2906,2939,3061,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",3682,4156,4317,4651,4660,3814,3825,4370,4977,4768,4948,4477,4646,5007,5320,5165,5321,5858,6048,6025,6942,(NA)
 "50000","Vermont",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",987,1129,1240,1339,1300,1269,1171,1216,1394,1494,1650,1531,1536,1527,1488,1606,1597,1478,1468,1476,1601,(NA)
