GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",10995952,9333166,9683154,10432833,11267508,11811886,13069963,15095582,18425002,21730347,23391269,22949391,22485365,23978151,24535131,24190751,22231360,22963247,19959903,19190343,21410115,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",10408386,8718594,9053657,9779474,10577753,11073322,12297288,14293169,17569593,20841328,22471298,21994945,21546089,23037642,23555938,23188377,21208637,21917247,18944595,18169979,20381398,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",278630,243865,265944,307253,(D),239727,247122,221674,252045,265977,212647,206366,203845,230096,216277,177012,174276,195760,236629,195833,183399,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",20473,19719,21174,29407,27507,24041,15331,14910,17246,13123,10486,1098,-2349,-3257,-3118,-272,-1820,2488,3155,3893,-334,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",258157,224146,244770,277845,(D),215687,231791,206764,234800,252854,202161,205268,206194,233353,219394,177284,176097,193272,233474,191940,183732,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",3385764,1334881,1543396,2231022,(D),2577129,3242187,5089155,7805689,10663330,11503113,10050525,9492288,9726787,10754333,10052971,7817628,8110636,4056995,3088771,5203036,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",2975092,966573,1245725,1923456,1336081,2374999,2985329,4662495,7258739,9158449,9516720,8322908,7751655,7391230,8166734,7912264,5912448,6207302,2879802,2120489,3676899,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",390288,355563,352001,276563,(D),123432,175848,326076,408280,1121867,1582892,1176691,1361994,1811278,1956131,1482619,1325469,1256381,863213,951830,1457762,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",20384,12745,-54330,31003,220127,78698,81010,100584,138670,383014,403501,550926,378639,524279,631468,658087,579712,646953,313979,16453,68376,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",265994,242902,264541,246192,239958,201720,220792,241569,240299,295207,282087,298758,352528,361195,411483,409141,393783,426910,408045,414627,422412,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",11,"23","  Construction",338338,361403,389235,426012,475460,484749,541018,606269,683920,677489,710965,609297,729658,680538,613521,491469,305809,260206,278800,354207,383105,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",12,"31-33","  Manufacturing",341297,567479,343359,301458,398925,398456,523158,616056,602964,704394,816392,772021,754159,376993,176926,132265,373604,655108,837075,587523,705404,(NA)
 "02000","Alaska",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",23158,22623,18523,18193,(D),(D),32488,35154,42196,42943,42237,38348,48307,40701,27876,30522,32108,56870,76139,84091,77887,(NA)
